Gene = AZIN2
index = 124
Annotated 5SS: [  182   396   700  1242  3015 11110 12304 13601 15757 17067 37004]
Annotated 3SS: [  274   487  1064  2840 10936 12168 13434 15593 16953 36788 38930]
SMsplice 5SS: [  182   396  1242 10778 11110 13601 15757 17067 37004]
SMsplice 3SS: [  277  1064 10709 10936 13434 15593 16953 36788 38930]
top_k =  100
Partition function (log Z): -22.57858676904006

Sorted 5' Splice Sites (High to Low Probability):
Position 1242: 0.988886756021871
Position 396: 0.9314763470286601
Position 3015: 0.19790885357153443
Position 166: 0.1555060241235475
Position 2030: 0.10060033871088128
Position 700: 0.09498667495012823
Position 186: 0.09136393052577657
Position 600: 0.005051726488560129
Position 608: 0.00476558511755663
Position 889: 0.0037246692158098248
Position 236: 0.0018821951778898772
Position 1646: 0.0011284868663476643
Position 48: 0.0010252654045722468
Position 617: 0.0009971690206408129
Position 195: 0.0006075460148904029
Position 8: 1.311715751815374e-05
Position 332: 1.2507716493457083e-05
Position 324: 1.130615331254565e-05
Position 412: 1.0365054996249576e-05
Position 1345: 4.994611392069458e-06
Position 391: 4.422898436032285e-06
Position 270: 2.938550755632985e-06
Position 42: 2.816789323180585e-06
Position 1262: 1.5873044793184267e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 1064: 0.9394124806052134
Position 7729: 0.2990454561322182
Position 2840: 0.22877264801215172
Position 5244: 0.12962884722672857
Position 277: 0.09854553949379347
Position 274: 0.09018223913692094
Position 487: 0.08996482902902016
Position 7052: 0.08898365863203757
Position 3481: 0.05530445765967963
Position 1084: 0.053724688654477236
Position 7760: 0.05176898706239439
Position 1904: 0.046833609204438374
Position 2111: 0.043772098216979125
Position 2695: 0.03854688182375749
Position 1949: 0.03796641389618355
Position 1697: 0.03400974576013067
Position 1864: 0.03320067283850059
Position 1606: 0.02425774220614387
Position 3504: 0.022590389812985442
Position 1751: 0.01957269096898505
Position 5647: 0.019347747158744485
Position 1997: 0.014767708691863531
Position 1925: 0.01394099362682271
Position 2060: 0.013004020292007444
Position 1444: 0.011887734947974548
Position 3944: 0.0113313866749798
Position 1645: 0.01068780220455629
Position 1584: 0.010226229296886654
Position 4010: 0.00849785892631775
Position 3528: 0.008473211416012393
Position 1510: 0.0072613152326229495
Position 524: 0.0058239067683710805
Position 2233: 0.0036352967641342334
Position 661: 0.0028669100836267404
Position 352: 0.0023377826506161166
Position 1134: 0.0019129598955817412
Position 845: 0.001864827409194101
Position 797: 0.0017119111512433048
Position 279: 0.001205046816835728
Position 1844: 0.0011852471540078132
Position 324: 0.0008052453571062013
Position 355: 0.00034577125583969376
Position 943: 0.0003233354947677329
Position 1034: 0.00018420218845053223
Position 442: 0.00015321752571220893
Position 1232: 7.670447444503384e-05
Position 1453: 3.2015631494743275e-05
Position 1285: 9.24690980662136e-07
Position 490: 2.2121172614972887e-07
Position 598: 8.199508040407405e-09
Position 331: 2.8858836891783487e-09
Position 181: 2.024320942790247e-09
