Gene = SEC61G
index = 1240
Annotated 5SS: [  85 1752 3468]
Annotated 3SS: [1651 3364 6825]
SMsplice 5SS: [ 209 1752 3468]
SMsplice 3SS: [1651 3321 6825]
top_k =  100
Partition function (log Z): -1.331823784946228

Sorted 5' Splice Sites (High to Low Probability):
Position 3468: 0.9313879138152686
Position 1752: 0.9313809281208412
Position 209: 0.6130489050636823
Position 1278: 0.4387087122752302
Position 89: 0.22236946891705717
Position 85: 0.1435957223594327
Position 6217: 0.12641784438091355
Position 2957: 0.12166337791392161
Position 983: 0.11152712164419416
Position 954: 0.04921723871299772
Position 1667: 0.03741865307337459
Position 4004: 0.03668238426011794
Position 5153: 0.03605537840001764
Position 111: 0.03449972466456333
Position 6409: 0.024242967362939027
Position 1626: 0.02029397515282051
Position 807: 0.013947547482092211
Position 1318: 0.011642802634469722
Position 491: 0.011262805028567885
Position 1949: 0.011173343317918971
Position 858: 0.008260181664453619
Position 1428: 0.007404133590603277
Position 2130: 0.002897412371167907
Position 2203: 0.0012884327481309935
Position 1100: 0.0010852820831850805
Position 1238: 0.0008170375321374003
Position 107: 0.0006448389647005107
Position 25: 0.0006033884263664098
Position 581: 0.0005462574833207313
Position 76: 0.00041894922597158335
Position 567: 0.0003544358118159339
Position 80: 0.00032140413861060803
Position 74: 0.0001407220975870561
Position 3472: 7.0523231015125e-05
Position 978: 2.1663827266968605e-05
Position 408: 9.679001140370913e-06
Position 530: 7.584122464528998e-06
Position 19: 7.326488513171931e-06
Position 562: 4.829392991673892e-06
Position 56: 4.825774238075443e-06
Position 49: 1.8859133011483933e-07
Position 58: 1.9229819969944783e-08
Position 93: 1.859257249739626e-08
Position 178: 1.1096502179355184e-10
Position 237: 1.0649259742006477e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 6825: 0.723910193593527
Position 1651: 0.5549919943064009
Position 3321: 0.4997579396901325
Position 3364: 0.47121727467799557
Position 1526: 0.43399597834660875
Position 1162: 0.3825319188811437
Position 717: 0.18269074208387
Position 3573: 0.12158619106340121
Position 5956: 0.10892557918578108
Position 2754: 0.07414907318966324
Position 5980: 0.058038991982154606
Position 5007: 0.0527739033024831
Position 1123: 0.04979655367875109
Position 2915: 0.035104896773725525
Position 6341: 0.028428363567952995
Position 5228: 0.02667270886692822
Position 156: 0.016485269711142593
Position 6447: 0.014502834689774206
Position 3791: 0.012949002704618594
Position 1831: 0.01242315469540897
Position 2620: 0.012409407950532872
Position 1095: 0.011280921468072217
Position 372: 0.010934519407359547
Position 3884: 0.010907873603746943
Position 1077: 0.008715017271795009
Position 3550: 0.007819936731794246
Position 6552: 0.005338256770845565
Position 3930: 0.00465863557529707
Position 2016: 0.004487408299858601
Position 1374: 0.0038424239192670425
Position 4748: 0.003085875821477193
Position 3695: 0.002282634491632939
Position 912: 0.0018206936372921808
Position 821: 0.0014163001659342682
Position 783: 0.0006088323877358213
Position 335: 0.0003893892908035359
Position 3301: 0.000307945294425689
Position 3887: 9.210097019867047e-05
Position 3260: 4.939430805564628e-05
Position 491: 1.625869134843213e-05
Position 1272: 1.583457611080243e-05
Position 432: 1.0531504614397139e-05
Position 804: 9.310117162944359e-06
Position 1413: 8.756953522267534e-06
Position 229: 3.6827938415042676e-06
Position 278: 1.4421930944387316e-06
