Gene = PI4KB
index = 1025
Annotated 5SS: [  387  1486 12085 17447 20084 21522 24117 25464 25814 28850 33249 33640]
Annotated 3SS: [ 1283 11147 17401 19855 21293 24006 25358 25689 28583 33115 33518 34623]
SMsplice 5SS: [  387  2913 21522 24117 25464 25814 28850 33249 33640]
SMsplice 3SS: [ 2739 21293 24006 25358 25689 28697 33115 33518 34194]
top_k =  100
Partition function (log Z): -17.93625516938176

Sorted 5' Splice Sites (High to Low Probability):
Position 387: 0.9957989219686185
Position 2913: 0.947753429943821
Position 12085: 0.04863302725368779
Position 4888: 0.028393088774153707
Position 8871: 0.02498019503376721
Position 17: 0.013495752803587686
Position 50: 0.010415308248426739
Position 2114: 0.007662334450199518
Position 2233: 0.0076164279510742275
Position 2816: 0.006117969685447143
Position 1650: 0.005426654584408538
Position 4696: 0.003615884150962675
Position 1977: 0.0020419700450959454
Position 1486: 0.0016973095977272958
Position 2262: 0.0008384891955571423
Position 173: 0.0006851987203274274
Position 2107: 0.0006014737352121824
Position 557: 0.0005571521710860074
Position 524: 0.00047312711131295495
Position 1321: 0.00035465231334517143
Position 152: 4.359451798286544e-05
Position 149: 2.8484267830418827e-05
Position 143: 2.0354230888597936e-05
Position 22: 7.434074205816904e-06
Position 178: 1.2888717567518509e-06
Position 176: 6.961587908019519e-07
Position 376: 5.3021523447438325e-08
Position 334: 2.0741128808121363e-08
Position 253: 4.900799450253824e-09
Position 311: 1.0297799828400364e-09
Position 273: 2.988705178125515e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2739: 0.9606650875267497
Position 15332: 0.29540305190952
Position 17514: 0.23168473811249796
Position 11147: 0.17243631174050678
Position 8370: 0.17059965914163155
Position 11839: 0.06161851053130033
Position 4629: 0.022884148341010883
Position 4607: 0.02217448440289039
Position 8696: 0.01972211856634945
Position 277: 0.015367745083428894
Position 5370: 0.01515244313704239
Position 2040: 0.014967443469684578
Position 8587: 0.010611141936059734
Position 11808: 0.009658056420565152
Position 8952: 0.009647343048243816
Position 8366: 0.008076639010875405
Position 4758: 0.0076542942218081975
Position 5179: 0.005869307130525353
Position 5529: 0.004793001645350758
Position 5727: 0.004616517631089992
Position 466: 0.004308813184797352
Position 5182: 0.004009963534973991
Position 8165: 0.003424081394605061
Position 2785: 0.003064687788655604
Position 1569: 0.002989112588399993
Position 7949: 0.0023440781727340396
Position 1283: 0.0020305552252372922
Position 1519: 0.001896452166912549
Position 6358: 0.0018271969278825955
Position 1951: 0.0017986625840470873
Position 234: 0.0015384044479687844
Position 258: 0.0014466456629670967
Position 1882: 0.0014009680795651965
Position 1153: 0.0013984127085730862
Position 201: 0.001018134500781659
Position 3144: 0.0008126967447155503
Position 5791: 0.0007635289118765534
Position 2097: 0.0007560021030932565
Position 242: 0.0007212650712930104
Position 3147: 0.0006929011494233143
Position 5294: 0.0006853033465937749
Position 2106: 0.0005634352773859842
Position 5476: 0.000485069068708448
Position 1606: 0.0003565021639770179
Position 692: 0.0003291859189286762
Position 3936: 0.00032530906425396134
Position 3960: 0.0003181474025861452
Position 2950: 0.00031474627291830127
Position 218: 0.0002660714736961743
Position 3021: 0.0002471380112511694
Position 3713: 0.00021250442653693421
Position 786: 0.0002107271765223479
Position 960: 0.00018915988422972077
Position 3003: 0.00014792837682175267
Position 282: 0.0001363295625179555
Position 549: 0.00012474362656426195
Position 1105: 0.00010430718723399358
Position 670: 0.0001021603090209162
Position 512: 8.327307475195118e-05
Position 2741: 7.629426088393893e-05
Position 591: 6.795838627968024e-05
Position 4821: 6.688157221457441e-05
Position 159: 9.395950942855031e-07
Position 287: 5.294431761059272e-07
Position 208: 3.7671602154865666e-07
Position 163: 2.086233593457446e-07
Position 89: 1.3218405769658982e-07
Position 167: 1.0113516197777657e-07
Position 172: 5.355307966745364e-08
Position 332: 5.32970479904255e-08
Position 170: 3.237681193411916e-08
Position 86: 2.9332860654834306e-08
Position 384: 2.400638538763347e-08
Position 325: 1.3903493777743538e-08
Position 308: 1.2804165781702303e-08
Position 341: 1.1081155113920849e-08
