Gene = UROD
index = 1539
Annotated 5SS: [ 139  873 1069 1208 1645 1924 2430 2690 2860]
Annotated 3SS: [ 759  988 1144 1446 1761 2291 2588 2792 3189]
SMsplice 5SS: [ 139  873 1069 1208 1924 2430 2690 2860]
SMsplice 3SS: [ 709  988 1144 1761 2336 2588 2792 3189]
top_k =  100
Partition function (log Z): 1.8982914632217416

Sorted 5' Splice Sites (High to Low Probability):
Position 1208: 0.9681025561481541
Position 2690: 0.9044685503761167
Position 1924: 0.8874868618831325
Position 873: 0.8408831538058202
Position 1069: 0.7663377760978866
Position 2430: 0.7122720837357613
Position 139: 0.6947283485838497
Position 2860: 0.5931959413382819
Position 1645: 0.13514613666016914
Position 1650: 0.07961967748819705
Position 2396: 0.0724185882569529
Position 1549: 0.06948777425182215
Position 1696: 0.06304844414280253
Position 2705: 0.04351684585681729
Position 1637: 0.0426937432957063
Position 1613: 0.04261489981265758
Position 1897: 0.04130577540487716
Position 658: 0.018170358868969592
Position 78: 0.01689119079740348
Position 160: 0.008458650526629478
Position 2847: 0.006996909420595397
Position 1462: 0.0068288102687695815
Position 401: 0.005989517295005385
Position 1280: 0.0050755593751940845
Position 1326: 0.0032073171108560282
Position 635: 0.0004082441400385889
Position 133: 3.1106178596205225e-05
Position 1199: 2.4132397702027918e-05
Position 143: 5.973417859048802e-08
Position 162: 1.2680422230562648e-08
Position 187: 1.162113966864266e-08
Position 257: 1.0046264512494905e-08
Position 300: 4.884363143821663e-09
Position 26: 4.072918195093541e-09
Position 86: 2.134887925837902e-09
Position 102: 1.8044351907426081e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1144: 0.947146698245283
Position 2588: 0.9205763194046709
Position 1761: 0.9084355519972275
Position 988: 0.7622381146248146
Position 3189: 0.6522744485513894
Position 2792: 0.6265643924624388
Position 1446: 0.45946156663883825
Position 2336: 0.44903142786673444
Position 709: 0.42056481403603996
Position 3166: 0.2788640722215651
Position 2291: 0.21804717974947002
Position 2319: 0.08344006331459722
Position 759: 0.06561757062938667
Position 601: 0.05152553901299193
Position 2300: 0.03426223820876011
Position 3126: 0.028230559761963165
Position 506: 0.027029388779852188
Position 990: 0.017730252245506853
Position 2624: 0.016998151349949704
Position 2177: 0.014291919581459573
Position 716: 0.00760392935884568
Position 3345: 0.005534071124915842
Position 1068: 0.00422480160551146
Position 2760: 0.004169494626236775
Position 806: 0.003488995663470003
Position 766: 0.003379449659289994
Position 721: 0.00319785909865273
Position 395: 0.0028545930050455637
Position 482: 0.0027993388467885062
Position 1025: 0.0025521016707703913
Position 784: 0.001704309552469119
Position 1427: 0.0009195853324423123
Position 1014: 0.000704337457422936
Position 853: 0.0005131791487645178
Position 237: 0.000463498880926663
Position 605: 0.0004273274749605789
Position 297: 0.0003832803641131862
Position 1207: 0.0003396548465926497
Position 525: 0.0003248895160674115
Position 1108: 0.0003082029254604503
Position 411: 0.000294452129409821
Position 261: 0.00017858855656637166
Position 995: 0.0001708405897661475
Position 633: 0.000136316768920621
Position 348: 0.00010500770075908564
Position 310: 9.466654533145406e-05
Position 447: 8.886749729489292e-05
Position 1120: 6.465251706657145e-05
Position 324: 3.1335475972912895e-05
Position 335: 1.3400753202035368e-05
Position 423: 7.494792343280514e-06
Position 200: 2.683290541304086e-07
