Gene = CPOX
index = 404
Annotated 5SS: [  775  2712  3092  5011  8283 12317]
Annotated 3SS: [ 2567  2980  4868  8063 12211 12952]
SMsplice 5SS: [  705  2712  3092  5011  8283 12317]
SMsplice 3SS: [ 2567  2980  4868  8063 12211 12952]
top_k =  100
Partition function (log Z): 1.0567109055096426

Sorted 5' Splice Sites (High to Low Probability):
Position 8283: 0.9999999999999989
Position 3092: 0.9999999999999987
Position 12317: 0.9840684876402747
Position 5011: 0.8805181476599637
Position 4062: 0.6100013935442836
Position 2712: 0.5657947677633552
Position 705: 0.4696474883487243
Position 13032: 0.3686158442949187
Position 726: 0.25202167549769466
Position 109: 0.20141605205946037
Position 13213: 0.14792425978951745
Position 775: 0.14464860598862153
Position 5921: 0.07376978098137564
Position 8894: 0.06534734345587631
Position 5015: 0.06333545395754095
Position 8158: 0.030890255163529626
Position 12154: 0.029527052612511488
Position 6609: 0.028249870439779185
Position 157: 0.021680766566532242
Position 203: 0.020688439474379237
Position 12619: 0.018413400421537475
Position 2624: 0.0155018999495834
Position 964: 0.012586786567908398
Position 151: 0.011568120972433295
Position 438: 0.007510140269369451
Position 12577: 0.007006075032522361
Position 2941: 0.004733308545180028
Position 1053: 0.004233881697227302
Position 470: 0.0040802539114939305
Position 2056: 0.003949562637331517
Position 12646: 0.0017726667922623057
Position 8506: 0.0011066005533959663
Position 474: 0.00033883742781138715
Position 873: 9.578106045690195e-05
Position 877: 1.5036093934903704e-05
Position 825: 1.0542177869221825e-05
Position 820: 9.11930118685631e-06
Position 758: 8.683952810574315e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 2980: 0.9728561262875755
Position 12211: 0.8855761169267901
Position 4868: 0.8336508389852968
Position 8063: 0.797175592569023
Position 12952: 0.6720483466005043
Position 2567: 0.5059222211504484
Position 3923: 0.3365309625906034
Position 13922: 0.2208056578174297
Position 12978: 0.1947077956206595
Position 3966: 0.1788209881693235
Position 13128: 0.15062004588496536
Position 8086: 0.13747750262291045
Position 14015: 0.11097392672596833
Position 4950: 0.11018064260025603
Position 13451: 0.10460048056150799
Position 8250: 0.0962371599715952
Position 12051: 0.09198937583175117
Position 604: 0.07965416804240814
Position 4000: 0.07392748806538134
Position 8770: 0.05812382522694606
Position 5824: 0.05616329819097035
Position 12270: 0.04574633617726717
Position 2657: 0.04277459863444746
Position 601: 0.04156899045196057
Position 2617: 0.032599847928042935
Position 12512: 0.0322928485220274
Position 12867: 0.028052360459693542
Position 509: 0.020836051494881807
Position 3030: 0.020435273999548916
Position 5650: 0.017606482790405272
Position 6471: 0.016907785941030384
Position 3871: 0.013246613266372137
Position 6456: 0.011342084498748803
Position 2865: 0.008883861340321632
Position 13975: 0.008850669671610403
Position 3843: 0.0074753414526032985
Position 8649: 0.007223518228930228
Position 13394: 0.006131715068029194
Position 569: 0.004267119681438387
Position 963: 0.004233881697227309
Position 1935: 0.003949562637331511
Position 12489: 0.0033340354918076636
Position 3065: 0.002558046917732644
Position 12446: 0.0012781646133727144
Position 8402: 0.0011066005533959683
Position 13176: 0.00031991061015977445
Position 4711: 2.2120031951809866e-05
