Gene = STYXL1
index = 1352
Annotated 5SS: [  342 17583 19362 26153 34262 42745 44246 47114]
Annotated 3SS: [17478 19299 26010 34115 42598 44147 47000 51403]
SMsplice 5SS: [  342 14196 14368 17583 19362 26153 34262 42745 44246 47114]
SMsplice 3SS: [14059 14296 17478 19299 26010 34115 42598 44147 47000 51403]
top_k =  100
Partition function (log Z): -25.027537150284157

Sorted 5' Splice Sites (High to Low Probability):
Position 342: 0.9999863729651559
Position 14368: 0.9988864727262284
Position 14196: 0.9988864727262249
Position 17583: 0.9971532389319729
Position 19362: 0.8739183851412571
Position 7293: 3.5587535513977824e-05
Position 192: 1.1225310777994334e-05
Position 91: 2.1509577340778013e-06
Position 347: 2.5076633230339253e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 14059: 0.9990477655875714
Position 14296: 0.9988864727262284
Position 17478: 0.9971532389319729
Position 19299: 0.8961986615562103
Position 27467: 0.7037035359975194
Position 23393: 0.08141577977952855
Position 23061: 0.050454478767441004
Position 22776: 0.027078827322674387
Position 22222: 0.02618775381877974
Position 20391: 0.02272299923005142
Position 20947: 0.011450207238512852
Position 22524: 0.01054118943593492
Position 21818: 0.009741191065464153
Position 20788: 0.006704971026371811
Position 20856: 0.004520495878756424
Position 20563: 0.0044570662253202884
Position 21455: 0.0038463051495420788
Position 20763: 0.0032402478672756588
Position 18462: 0.003157938205305863
Position 19526: 0.0025135890304882258
Position 18911: 0.002041699922103465
Position 19446: 0.0015472057304166927
Position 18306: 0.0011123033144603489
Position 11296: 0.00022368903416440775
Position 13206: 0.00018017309797247307
Position 14536: 0.00016841130532459052
Position 5018: 0.00013757393417444783
Position 7181: 0.00010922843670555723
Position 12546: 8.208907169781132e-05
Position 12061: 5.463362083752224e-05
Position 520: 3.6215449908939603e-05
Position 8443: 2.703637094309864e-05
Position 4418: 1.7689354457390122e-05
Position 593: 1.4707569991974238e-05
Position 4244: 9.860491088913574e-06
Position 4390: 7.76865348311562e-06
Position 6829: 7.668515329447584e-06
Position 4166: 7.269689807642865e-06
Position 6272: 5.64486889994126e-06
Position 7515: 5.515512051526002e-06
Position 423: 5.470992564482097e-06
Position 6684: 4.868978678207255e-06
Position 445: 4.797117991146827e-06
Position 3476: 4.580269672508818e-06
Position 3881: 4.338480288023773e-06
Position 749: 4.057780395347408e-06
Position 6809: 3.963585584195437e-06
Position 4470: 3.777366994648335e-06
Position 3439: 3.7022228562125085e-06
Position 5947: 2.9144839462880583e-06
Position 3461: 2.6835121089814724e-06
Position 5683: 2.6052129232430557e-06
Position 429: 2.5876629657076927e-06
Position 4977: 2.018928402962844e-06
Position 3054: 1.9565996820062993e-06
Position 4082: 1.3036030316497734e-06
Position 2737: 7.419795162704445e-07
Position 2310: 7.323313736382675e-07
Position 819: 7.307635062260061e-07
Position 907: 5.087132188077706e-07
Position 2470: 4.887643145797358e-07
Position 2334: 4.703392615318747e-07
Position 1058: 4.064076829596752e-07
Position 910: 4.00386751820846e-07
Position 1390: 3.68957699267355e-07
Position 565: 3.6151330128280373e-07
Position 451: 2.2132171603935617e-07
