Gene = TSPAN12
index = 1499
Annotated 5SS: [  538  1660 18331 19581 42629 47895 51809]
Annotated 3SS: [ 1523 18247 19444 42553 47786 51664 69459]
SMsplice 5SS: [  154   538  1660 14810 18331 18820 19581 19757 24016 35597 42629 45386
 47470 47698 47895 51809 57166]
SMsplice 3SS: [  368  1523 14604 18247 18731 19444 19649 23873 35504 42553 45228 47365
 47549 47786 51664 57024 69459]
top_k =  100
Partition function (log Z): -30.086094654643187

Sorted 5' Splice Sites (High to Low Probability):
Position 1660: 0.9980775078515582
Position 538: 0.9297142825277982
Position 14810: 0.7576596649600903
Position 19581: 0.7075461430425201
Position 154: 0.4957922977184509
Position 124: 0.4372163043663319
Position 19757: 0.3091773294941193
Position 484: 0.06965262303957757
Position 302: 0.053281218675445684
Position 1319: 0.00528871453823474
Position 1335: 0.0026726542465896163
Position 222: 0.002221455161704989
Position 258: 0.0020152271871983784
Position 1664: 0.0018127952316893577
Position 1272: 0.0009858417672170346
Position 1037: 0.0008920556066765147
Position 5549: 0.0002828947713926181
Position 2682: 0.00012218216737434822
Position 3038: 7.302476562459146e-05
Position 1686: 5.624649604766727e-05
Position 226: 4.639602502391278e-05
Position 1125: 3.421616695329242e-05
Position 1029: 2.6417630483731522e-05
Position 86: 2.4700631925336607e-05
Position 1485: 8.585994217245624e-06
Position 1204: 8.48599831987018e-06
Position 1195: 6.089052623713173e-06
Position 703: 4.194285110832605e-06
Position 1352: 3.992263093696166e-06
Position 413: 4.232635823022479e-07
Position 131: 3.3435611050346296e-08
Position 458: 3.7257957733418844e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1523: 0.9872063489254927
Position 368: 0.9780008081865362
Position 19444: 0.9326576044589493
Position 14604: 0.7576596649600903
Position 21940: 0.6784603406819556
Position 19649: 0.3382631318546826
Position 15405: 0.04113073181832834
Position 15598: 0.013906236082003195
Position 1551: 0.012771500359896201
Position 371: 0.00915848138060613
Position 1154: 0.008969580894455771
Position 9823: 0.005822702814177234
Position 505: 0.0015873442274892274
Position 5510: 0.0013860734507601417
Position 5342: 0.0013596042085078448
Position 455: 0.0012130791385786639
Position 2975: 0.001050928688761045
Position 8770: 0.000617093916070044
Position 11173: 0.00061424727330341
Position 865: 0.000504169984490395
Position 915: 0.00042740244074545935
Position 1788: 0.00041508239707039663
Position 3494: 0.00032557948281892974
Position 2588: 0.00017912515256643326
Position 8322: 0.00016616836472229285
Position 3473: 0.00013294232624766342
Position 6769: 0.0001138631381622943
Position 2939: 7.756377441894511e-05
Position 7119: 7.738082256515533e-05
Position 4131: 6.47024325461692e-05
Position 6150: 5.888565327616216e-05
Position 6430: 5.8358755736382714e-05
Position 1828: 3.8451246058906006e-05
Position 4934: 3.5948365080912735e-05
Position 1944: 2.4431622165690383e-05
Position 4362: 2.141434831880948e-05
Position 3861: 1.933649914424931e-05
Position 3362: 1.9281344666016902e-05
Position 2054: 1.701908896142431e-05
Position 3000: 1.5111502066856337e-05
Position 1318: 1.4174328656444875e-05
Position 2908: 1.3851857061648494e-05
Position 813: 1.2226130549058822e-05
Position 995: 8.890848328623948e-06
Position 2391: 8.129773118819823e-06
Position 1850: 7.641166789873903e-06
Position 584: 4.18230665644804e-06
Position 196: 3.4658142578361616e-06
Position 1315: 1.845662525622315e-06
Position 200: 1.6137216288105453e-06
Position 1357: 7.314852680557818e-08
Position 338: 6.094699020886857e-08
Position 231: 5.102835317800707e-08
Position 458: 5.049915264662401e-08
Position 402: 3.770909856622821e-09
Position 420: 2.9760003626335946e-09
Position 398: 2.5878083024797848e-09
Position 209: 2.157880027042781e-09
Position 222: 1.5405664788917217e-09
Position 475: 1.5055575026375224e-09
Position 396: 1.3163161167269164e-09
Position 426: 7.845162840745458e-10
Position 628: 7.004818702529208e-10
Position 271: 6.789898814239644e-10
Position 529: 5.668782354836426e-10
Position 220: 4.6446913192415446e-10
Position 273: 2.2058703777146917e-10
Position 289: 9.457122791042504e-11
Position 180: 4.8477326257724784e-11
Position 310: 1.9815232201757733e-11
Position 283: 3.728637041277666e-12
Position 167: 2.5434298117321495e-12
