Gene = AAED1
index = 0
Annotated 5SS: [ 192  577 3623 3892 9389]
Annotated 3SS: [  507  3568  3785  9256 13394]
SMsplice 5SS: [ 192 3623 3892 9389]
SMsplice 3SS: [ 3568  3785  9256 13394]
top_k =  100
Partition function (log Z): -4.301343849381444

Sorted 5' Splice Sites (High to Low Probability):
Position 3892: 0.9999575118667986
Position 192: 0.964516204100605
Position 9389: 0.9000730709106052
Position 3623: 0.4854099682707272
Position 577: 0.30310100756665204
Position 1961: 0.27707292220543583
Position 6183: 0.16800509062599114
Position 12992: 0.10870435701776084
Position 803: 0.08974192707314088
Position 13072: 0.033361011123429755
Position 772: 0.031590397709362644
Position 138: 0.029190974750275364
Position 9137: 0.020355751197906773
Position 438: 0.0032633478833017566
Position 182: 0.0016466145849745274
Position 720: 0.0015076907395519304
Position 1408: 0.001282887281670834
Position 464: 0.000702814810595365
Position 30: 0.00036118995027799826
Position 727: 0.00029382624209539426
Position 114: 0.000171229460436067
Position 186: 0.00015726424403845918
Position 177: 4.93166547371061e-05
Position 143: 3.72790717591688e-05
Position 155: 1.458520149703309e-05
Position 180: 1.3874742015711649e-05
Position 391: 6.324092553045353e-06
Position 232: 4.355515735828178e-06
Position 174: 7.198969799278426e-07
Position 423: 4.476786007995082e-07
Position 18: 6.12672652124678e-09
Position 51: 5.476330839383382e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 3785: 0.9994260867857916
Position 9256: 0.8252419015228021
Position 13394: 0.6427013621209554
Position 3568: 0.4859413933517346
Position 1893: 0.2771154103386381
Position 507: 0.2451820770522615
Position 12909: 0.17612812829563532
Position 6094: 0.1600769908253779
Position 11156: 0.0930071952835422
Position 690: 0.09203195257951234
Position 9346: 0.07753348854561937
Position 278: 0.05296420416351674
Position 15190: 0.05089661624172556
Position 13465: 0.044988983971121305
Position 12329: 0.025548218997839187
Position 9292: 0.023295039637826302
Position 8910: 0.020355751197906773
Position 6099: 0.016332992933127673
Position 327: 0.015889003922318203
Position 9873: 0.015699851134819778
Position 11152: 0.013857088509417356
Position 618: 0.012858065929517689
Position 11545: 0.010848799582713436
Position 10969: 0.008043594834868578
Position 4006: 0.006423973120032857
Position 9932: 0.006037021935992567
Position 10062: 0.005726296783940895
Position 717: 0.004082965924588431
Position 5744: 0.0031341914518171615
Position 531: 0.0024755400939100143
Position 5723: 0.0013222078619545227
Position 1175: 0.0012828872816708326
Position 8533: 0.0010774658929363697
Position 4746: 0.000897664911145165
Position 4933: 0.0004605372620723904
Position 4866: 0.00044515654480096556
Position 563: 0.00043558522309615965
Position 668: 0.0003484059692486228
Position 5023: 0.00020746265994733617
Position 4654: 0.00016881068255386703
Position 541: 5.163359062490644e-05
Position 384: 4.4337657331072344e-05
Position 543: 2.791639229883653e-06
Position 337: 2.6844680881516042e-06
Position 134: 1.982328676538896e-06
Position 107: 9.433782899772423e-08
Position 293: 3.286474719397478e-08
Position 297: 1.932126950408086e-08
Position 242: 1.497444217290319e-08
Position 306: 6.570207738939408e-09
Position 343: 4.9618245956483024e-09
