Gene = MEST
index = 836
Annotated 5SS: [  247  3430  5143  5921  6183  6385  7823  8440  8798 10628 11904]
Annotated 3SS: [ 3274  5062  5842  6045  6325  7781  8368  8695 10550 11839 12845]
SMsplice 5SS: [  247  3430  4117  5143  5921  6183  6400  8440  8798 11904]
SMsplice 3SS: [ 3274  3984  5062  5842  6045  6268  8368  8695 11839 12845]
top_k =  100
Partition function (log Z): 7.261369410366694

Sorted 5' Splice Sites (High to Low Probability):
Position 6183: 0.9962610109672948
Position 8440: 0.9825368884237837
Position 247: 0.9715954784962815
Position 5143: 0.9189339302631327
Position 11904: 0.8691362889923226
Position 5921: 0.8078653034648299
Position 6400: 0.7428061736672111
Position 3430: 0.7362029015410612
Position 4117: 0.5985820836954903
Position 8798: 0.572679316303645
Position 11343: 0.37028966597167906
Position 6385: 0.25467856909306474
Position 3487: 0.2256493752349583
Position 3715: 0.19432716819167115
Position 10628: 0.1699348155820724
Position 1171: 0.08887698501353983
Position 9049: 0.06342529030724993
Position 3094: 0.046176361365396115
Position 979: 0.043686142742369635
Position 3605: 0.04292715883461496
Position 224: 0.028334395199612734
Position 3176: 0.02783417142390266
Position 12350: 0.02555575905299487
Position 12335: 0.023506783161286276
Position 1921: 0.022660040654032203
Position 2110: 0.013122499644394563
Position 4418: 0.01288883616251953
Position 4822: 0.012248806592810028
Position 5945: 0.009876911321926885
Position 605: 0.009374281668186463
Position 3460: 0.0067075696421954305
Position 5781: 0.0048005508927361044
Position 2975: 0.004580873556005122
Position 1182: 0.004567294019377729
Position 5980: 0.003003701021136255
Position 6411: 0.001965689031056953
Position 7440: 0.0015988413543206645
Position 6245: 0.0007695389851236537
Position 7018: 0.0007237326976882966
Position 6223: 0.0007174636237025293
Position 7492: 0.0006365676013719851
Position 3297: 0.00011537661688291914
Position 258: 1.5721382498411702e-05
Position 492: 1.2827512319929423e-05
Position 272: 2.4351978193987613e-06
Position 253: 2.4153117915000477e-06
Position 178: 8.281243692509217e-07
Position 461: 7.328502079053091e-07
Position 251: 1.615971679631853e-07
Position 78: 1.5002374500151073e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 11839: 0.9769215090625833
Position 8368: 0.9255767479803771
Position 3274: 0.8849188152302796
Position 5062: 0.8669910947614689
Position 6045: 0.855659482529272
Position 6268: 0.6488564304986285
Position 5842: 0.646344586866088
Position 3984: 0.5551919351984759
Position 8695: 0.5126746348675777
Position 6325: 0.35059400129270474
Position 12845: 0.3257395364775712
Position 11108: 0.2636894279725815
Position 3562: 0.2371618032861318
Position 13977: 0.1708861805466354
Position 10550: 0.1699348155820724
Position 5897: 0.1592956630557756
Position 6075: 0.13316645977108527
Position 13220: 0.11193910179782268
Position 11273: 0.1066002379990976
Position 1051: 0.07886474170029532
Position 3071: 0.07760612784223848
Position 12226: 0.07343932396726047
Position 8894: 0.07111368432208878
Position 13347: 0.06572622192147846
Position 7975: 0.0602135003072173
Position 4985: 0.051942835501664356
Position 8537: 0.05023063748404871
Position 12334: 0.047430036204202164
Position 3353: 0.04639132644555668
Position 12762: 0.04436261080319861
Position 3948: 0.04328304800968877
Position 911: 0.038868559617196104
Position 12119: 0.03624930400756965
Position 12809: 0.034786024349900954
Position 5655: 0.024849532487450313
Position 3206: 0.015430473040558024
Position 1786: 0.014864282034308448
Position 3252: 0.013781948196250338
Position 4276: 0.012888836162519532
Position 13934: 0.012306651050179062
Position 1920: 0.009959766791835942
Position 8542: 0.008435071223684356
Position 1871: 0.0074642959305942225
Position 4764: 0.007136776021396364
Position 12746: 0.005894025800936848
Position 4567: 0.005112030571413659
Position 726: 0.005092884031450155
Position 2897: 0.004580873556005122
Position 6047: 0.003978755567079228
Position 873: 0.0038608471640416272
Position 689: 0.003818078535975872
Position 539: 0.0032092417342905024
Position 3220: 0.0031157375246839425
Position 502: 0.003089010618020317
Position 8828: 0.002915524066949612
Position 840: 0.0023153892661244724
Position 7313: 0.002235408955692651
Position 1556: 0.0019300860236633086
Position 1109: 0.0017351048952771325
Position 474: 0.0015792132530380455
Position 2028: 0.0015364220514481747
Position 3380: 0.001441327544829941
Position 465: 0.0014345130976226854
Position 882: 0.0013063564149524635
Position 1058: 0.001120750579121013
Position 6940: 0.0007237326976882967
Position 3573: 9.252374015423869e-05
Position 3792: 6.595085713314753e-05
Position 763: 4.4993518102093794e-05
Position 3852: 4.114963019223296e-05
Position 518: 2.8305727639062357e-05
Position 1624: 2.768746657666376e-05
Position 668: 1.8847275726531143e-05
Position 442: 1.1070968905737623e-05
Position 587: 1.0688258952269766e-05
Position 845: 1.0662141233999916e-05
Position 800: 9.890421671511492e-06
Position 369: 9.110991703512923e-06
Position 772: 7.941013423614461e-06
Position 809: 7.553779805901773e-06
Position 963: 6.8178676289045595e-06
Position 920: 6.355954981583367e-06
Position 405: 2.9203121060252677e-06
