Gene = NSUN2
index = 966
Annotated 5SS: [  408   693  1419  7728 10078 11276 13186 15342 16565 21567 22337 23466
 26092 26472 28019 28687 29154 30831]
Annotated 3SS: [  534  1313  7621 10005 11190 12992 15266 16433 21492 22205 23368 25906
 26378 27882 28605 29014 30790 33058]
SMsplice 5SS: [  408   693  1419  7728 11276 13976 15342 16565 21567 22337 23466 28368
 28687 30831]
SMsplice 3SS: [  534  1313  7621 11190 13823 15266 16433 21492 22205 23368 28255 28605
 30697 33058]
top_k =  100
Partition function (log Z): 14.360902066053464

Sorted 5' Splice Sites (High to Low Probability):
Position 13976: 1.0
Position 22337: 0.9999999999999997
Position 16565: 0.9946418003973628
Position 1419: 0.9797603209773722
Position 408: 0.9759745859888177
Position 15342: 0.9655494263008227
Position 30831: 0.9446415029919012
Position 28687: 0.9367588272667164
Position 11276: 0.9068635270812601
Position 693: 0.882580945481088
Position 23466: 0.8452600127987133
Position 28368: 0.6871819557222617
Position 26472: 0.6492516467179759
Position 21567: 0.6440207574844943
Position 7728: 0.6217336455629169
Position 26092: 0.5275820777904894
Position 25686: 0.4343157423493714
Position 13186: 0.29332792114262574
Position 21648: 0.22909176635245163
Position 17819: 0.22486470034224137
Position 973: 0.21080957497630734
Position 32377: 0.20323172446875595
Position 29154: 0.18434889806609597
Position 18180: 0.1283972668763981
Position 882: 0.1167616735976962
Position 21600: 0.11198888867859905
Position 1787: 0.07743840746177692
Position 866: 0.07463962338126011
Position 11303: 0.07355840539868305
Position 830: 0.05135397952037673
Position 19550: 0.05071979986775233
Position 33362: 0.04965843814499527
Position 624: 0.03673678216463589
Position 23662: 0.027715210422343033
Position 12566: 0.022586447959555105
Position 1423: 0.01713666901184714
Position 1085: 0.014362578905775244
Position 245: 0.011300687026721419
Position 30621: 0.0083934175365664
Position 19744: 0.007579356067776877
Position 19754: 0.006152726132990474
Position 183: 0.005739024418813596
Position 15410: 0.004500065938808486
Position 15630: 0.004041282816504678
Position 633: 0.002942383121891023
Position 1385: 0.00278493002802913
Position 247: 0.0019948376286343396
Position 210: 0.0014774891457996944
Position 807: 0.001456573244928549
Position 1212: 0.0013614332100211253
Position 31129: 0.0011569331326449972
Position 235: 0.00043622061614891365
Position 331: 0.0004182656761614345
Position 385: 0.0003798378993482581
Position 103: 0.00029202406979006126
Position 147: 0.0002755178878256205
Position 173: 0.0002307844987742093
Position 144: 0.00020589122328343052
Position 305: 0.00017015105135706848
Position 29: 0.00015460934415592438
Position 388: 7.472777963480446e-05
Position 683: 7.381245872815331e-05
Position 278: 6.40570608537035e-05
Position 293: 6.126889894291399e-05
Position 258: 1.4093083050483293e-05
Position 221: 8.828018408206534e-06
Position 5: 6.789469032956361e-06
Position 65: 4.316520091602119e-06
Position 323: 2.420061426383665e-06
Position 119: 2.733636699169965e-07
Position 110: 6.714683119737025e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 13823: 0.9999999999999998
Position 1313: 0.998871923670592
Position 534: 0.9984317617324704
Position 21492: 0.9851014125155454
Position 11190: 0.9804219324799425
Position 28605: 0.9449170152317545
Position 16433: 0.8088502168584877
Position 15266: 0.7274800826390198
Position 33058: 0.7003264685874963
Position 26378: 0.649251646717976
Position 28255: 0.6418744955231847
Position 7621: 0.6217336455629169
Position 22205: 0.6195562579202343
Position 25577: 0.4343157423493715
Position 23368: 0.38558804112763384
Position 30697: 0.3842953392167923
Position 30790: 0.36528703867430107
Position 23393: 0.31778806831972034
Position 12992: 0.29332792114262574
Position 22261: 0.2517800891765672
Position 772: 0.2390387342763846
Position 25853: 0.23865781348299164
Position 32205: 0.22670266150397214
Position 15233: 0.22610516207608206
Position 30586: 0.22001250664807342
Position 17613: 0.2053316331382876
Position 29014: 0.18434889806609597
Position 30956: 0.16790724677354152
Position 16412: 0.16175411544947124
Position 25906: 0.1592752892546434
Position 25856: 0.12964897505285455
Position 22258: 0.1250785503384332
Position 18010: 0.10592951641242163
Position 780: 0.0841901942196213
Position 23418: 0.0718140830141827
Position 23374: 0.07006911198330516
Position 31127: 0.054093783728291746
Position 19529: 0.050719799867752345
Position 33491: 0.04965843814499527
Position 28169: 0.045307460199076464
Position 1612: 0.037487173001853565
Position 874: 0.03563054020929229
Position 12330: 0.022586447959555105
Position 18021: 0.022467750463976446
Position 16440: 0.021911891088434474
Position 30523: 0.021658477252150046
Position 1700: 0.021359261052321814
Position 15189: 0.01645832533002579
Position 23582: 0.014545204302270544
Position 19662: 0.013732082200767335
Position 804: 0.013239249279224452
Position 1549: 0.012264651388912882
Position 17734: 0.010678428061786762
Position 818: 0.009697720323045167
Position 29608: 0.00898186778021215
Position 23517: 0.008756275301245179
Position 17490: 0.00858956180943168
Position 1046: 0.007969487536448628
Position 1687: 0.0063273220186886815
Position 23579: 0.004413730818827328
Position 22013: 0.0035851025647644424
Position 15432: 0.0021076441517840724
Position 15538: 0.0019336386647206064
Position 941: 0.0018386015972049062
Position 16299: 0.0011872859155978082
Position 842: 0.001039243734632874
Position 732: 0.0007914758556144305
Position 16365: 0.0006545938450373834
Position 1344: 0.0003645280153192874
Position 16341: 0.0002836972403343281
Position 17657: 0.0002650773327354371
Position 786: 0.0002567455048626733
Position 977: 0.00022831539670128392
Position 1359: 0.00019769333023842984
Position 1282: 0.00014343257400337874
Position 1239: 6.129383925739085e-05
Position 567: 1.992347129304024e-05
Position 514: 1.6356229144739686e-05
Position 597: 1.2050762239638099e-05
Position 14958: 5.9221945040570275e-06
Position 1127: 2.037159445564176e-06
Position 547: 2.0224544458551792e-06
