Gene = MUTYH
index = 900
Annotated 5SS: [ 170 5998 6976 7104 7292 7471 7626 7815 7998 8223 8366 8728 8969 9207
 9873]
Annotated 3SS: [ 5876  6793  7063  7217  7428  7553  7700  7899  8077  8301  8538  8831
  9053  9830 10950]
SMsplice 5SS: [ 170 1882 5998 6976 7292 7626 7998 8223 8969 9873]
SMsplice 3SS: [ 1731  5876  6890  7217  7553  7899  8077  8831  9830 10950]
top_k =  100
Partition function (log Z): 7.230219372661639

Sorted 5' Splice Sites (High to Low Probability):
Position 8969: 0.9987454214451361
Position 5998: 0.9929049186015207
Position 7626: 0.9764534371068492
Position 7998: 0.9053627574855093
Position 6976: 0.8490334172561047
Position 170: 0.829408286618848
Position 1882: 0.6681852184445171
Position 9873: 0.6420221526682514
Position 8223: 0.6037727730985187
Position 7292: 0.46160829167233797
Position 8366: 0.45300281886659177
Position 8728: 0.4257595917438223
Position 5562: 0.2590050209037691
Position 7471: 0.2568693650876234
Position 7104: 0.25494128139324584
Position 9145: 0.23294290015136457
Position 7815: 0.1402052001645182
Position 413: 0.12360746549935286
Position 7172: 0.08515671360638045
Position 8445: 0.08245012191042339
Position 10079: 0.04594009122984285
Position 186: 0.04099129444398804
Position 7356: 0.039720083381014064
Position 10659: 0.03268019743885973
Position 4883: 0.031026026520299222
Position 7645: 0.01850342194953184
Position 7182: 0.017665853911166245
Position 166: 0.016665293352116244
Position 7488: 0.014729583069584105
Position 8011: 0.010466164587356427
Position 7324: 0.006961929269649635
Position 490: 0.006449766395732944
Position 533: 0.005200570478615767
Position 1862: 0.005114194279524203
Position 1509: 0.004088874249263313
Position 622: 0.00336167225397004
Position 1373: 0.002828553659236862
Position 146: 0.0020470171163169547
Position 727: 0.0017783299601911535
Position 710: 0.0016013357496189927
Position 1019: 0.0009241791016831242
Position 8973: 0.0006045341865228637
Position 203: 3.8193291452553056e-05
Position 279: 3.1661721085218805e-05
Position 162: 1.9322453421265034e-05
Position 190: 1.1820649457573314e-05
Position 831: 1.0018913581745222e-05
Position 124: 6.105783108343512e-06
Position 159: 2.8183401170080984e-06
Position 253: 1.644675838346773e-06
Position 242: 1.1049075074205762e-06
Position 229: 6.933975325377873e-07
Position 264: 4.799632721502459e-07
Position 85: 2.945107987905415e-07
Position 118: 1.7454702802593528e-07
Position 212: 3.12447267833393e-08
Position 375: 2.977771724863593e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 7553: 0.9978229041512596
Position 5876: 0.9929049186015205
Position 8831: 0.9913511521535799
Position 7899: 0.8682366961025001
Position 9830: 0.7460482180838851
Position 10950: 0.721440010865203
Position 7217: 0.7200590406554302
Position 1731: 0.6495477851528965
Position 8077: 0.6445823982327209
Position 8301: 0.5263359290788341
Position 7063: 0.3927374498921757
Position 6890: 0.3721411789335895
Position 8538: 0.36065590698961475
Position 9053: 0.33935556414287943
Position 5420: 0.2590050209037689
Position 6892: 0.2431595144622704
Position 6826: 0.1719665795593147
Position 7700: 0.12772585601463604
Position 6823: 0.0562262500432015
Position 10535: 0.03754161635586128
Position 10166: 0.037042927012294204
Position 7867: 0.0302893472532075
Position 9975: 0.029698850495695865
Position 6770: 0.024273823088551277
Position 344: 0.02298379173544431
Position 10032: 0.01744070863462984
Position 8515: 0.01702172372277999
Position 1748: 0.016770292209559952
Position 4581: 0.01628137803136358
Position 7872: 0.015301530541611978
Position 4607: 0.014744648488935645
Position 10985: 0.011496161411496102
Position 10162: 0.008734343560499916
Position 7737: 0.00803180930856492
Position 8843: 0.007915612296657151
Position 7428: 0.007333112947868839
Position 1823: 0.006981335361585109
Position 8678: 0.006803801436031114
Position 269: 0.005339836377613092
Position 7740: 0.003849738624081241
Position 1243: 0.0033138477080287445
Position 9080: 0.0029817657886934286
Position 8168: 0.0029518210024803452
Position 477: 0.0016994446310287003
Position 8085: 0.0015565608351012614
Position 7852: 0.0014544641615466284
Position 1270: 0.001355680951814649
Position 9144: 0.0012827331647286854
Position 1363: 0.0012261970308191984
Position 1316: 0.0010217022178375822
Position 8058: 0.000787715558583659
Position 7814: 0.0007862298828174784
Position 908: 0.0007516380068079462
Position 527: 0.0006784483612227896
Position 8061: 0.0006546142628768073
Position 298: 0.00047225074252026686
Position 9910: 0.0003844105477015375
Position 780: 0.00017254109487517864
Position 9605: 0.00013803142475076038
Position 294: 6.165419756466003e-05
