Gene = FNDC9
index = 561
Annotated 5SS: [181]
Annotated 3SS: [2177]
SMsplice 5SS: [ 181 1446]
SMsplice 3SS: [1318 2177]
top_k =  100
Partition function (log Z): -5.869570265857159

Sorted 5' Splice Sites (High to Low Probability):
Position 181: 0.9088842955751371
Position 1446: 0.7613708536617443
Position 872: 0.48655138839969403
Position 2344: 0.38355479795655056
Position 341: 0.06864254640705286
Position 1024: 0.04950465647329375
Position 2061: 0.03422754150000284
Position 393: 0.024701049580211284
Position 2417: 0.011249164501777147
Position 2659: 0.008044132255628568
Position 993: 0.007658300591219857
Position 887: 0.003916002194306
Position 502: 0.0035033171912822896
Position 29: 0.0019102718989384778
Position 2197: 0.0017096086596937675
Position 491: 0.001429783853721702
Position 447: 0.0005580485084942936
Position 1760: 0.0004284546876728992
Position 264: 3.0331236319024305e-07
Position 63: 1.567176579110098e-07
Position 48: 3.860344521500292e-08
Position 61: 8.726417396440262e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 2177: 0.8559149274760358
Position 1318: 0.6905493797619796
Position 767: 0.46787578721320683
Position 2441: 0.11774197079229912
Position 3934: 0.09616943567023115
Position 2560: 0.06278934660115731
Position 817: 0.05525354682402417
Position 3714: 0.04398015964129262
Position 2324: 0.03362570726225967
Position 2978: 0.031367220145819795
Position 3357: 0.030000124191956273
Position 1959: 0.029492416422751407
Position 2586: 0.025467710816605846
Position 3041: 0.025111111276647807
Position 2282: 0.024044306629472274
Position 1859: 0.022449086342297454
Position 1332: 0.021399913641318873
Position 1151: 0.019457561103791148
Position 1360: 0.01822620997308163
Position 2218: 0.010522721200157261
Position 3470: 0.010351055281600519
Position 2627: 0.009405135086768483
Position 925: 0.008905128750029596
Position 770: 0.007565184726947712
Position 1272: 0.006619525902348897
Position 367: 0.004790989633847372
Position 1201: 0.004030587135926416
Position 274: 0.0037729676332526434
Position 1261: 0.003241603760459146
Position 748: 0.003053263891302841
Position 340: 0.0028596812315993987
Position 649: 0.002575531574308985
Position 1905: 0.0019011280900293843
Position 698: 0.0016019685771360842
Position 1416: 0.0012690894579636728
Position 246: 0.0009826784286264352
Position 1083: 0.0008958118647033355
Position 740: 0.0005130505491177858
Position 243: 0.0004973529444044592
Position 1663: 0.00042845468767289995
Position 264: 0.0002776952052706357
Position 298: 0.0002428950937970258
Position 410: 0.0002066047518232407
Position 122: 0.00014615916574133866
Position 414: 7.546476912071419e-05
Position 286: 7.418344626764495e-05
Position 300: 6.054694432149801e-05
Position 392: 2.5212293739211704e-05
Position 150: 2.0082858382589108e-05
Position 464: 1.7035894258455855e-05
