Gene = POLR1E
index = 1051
Annotated 5SS: [  189   872  2005  3466  6781  7769  9342 10052 12290 14987 15910]
Annotated 3SS: [  767  1927  3379  6721  7623  9233  9954 12155 14904 15777 17107]
SMsplice 5SS: [  872  2005  3466  7769 10052 12290 14987]
SMsplice 3SS: [ 1927  3379  7599  9954 12155 14904 17107]
top_k =  100
Partition function (log Z): 8.855780652236172

Sorted 5' Splice Sites (High to Low Probability):
Position 3466: 0.9981944195674642
Position 12290: 0.9725239156832175
Position 10052: 0.9722731020572875
Position 872: 0.9482682957152687
Position 2005: 0.9167007634572373
Position 7769: 0.7573267077581904
Position 14987: 0.6501304016033239
Position 15910: 0.5574985054698262
Position 15135: 0.5120161994393863
Position 16833: 0.39546434836608324
Position 6781: 0.3380680346341821
Position 189: 0.31670893079194123
Position 6309: 0.20452158204982293
Position 15535: 0.1441522454334521
Position 2340: 0.11528878811024017
Position 10426: 0.09434162256823805
Position 244: 0.08087961100221462
Position 16940: 0.06339465446377628
Position 1825: 0.05724587505034319
Position 6445: 0.05468891117723592
Position 12426: 0.04182504080259721
Position 504: 0.040930733547264134
Position 10925: 0.03676884102706937
Position 15334: 0.036083260236652356
Position 12274: 0.02716649803101055
Position 444: 0.023690713368231697
Position 2432: 0.008901901366728313
Position 11362: 0.007735398858646428
Position 10612: 0.006261101777715151
Position 16767: 0.005128075759479461
Position 142: 0.004020797168803716
Position 15028: 0.002015735960736769
Position 135: 0.0018651777263020526
Position 125: 0.00094472072733623
Position 57: 0.0008795675127437742
Position 182: 0.000247051507102995
Position 4598: 0.00022785682440692656
Position 12277: 0.0001791581348414581
Position 3782: 0.0001400762850149451
Position 8175: 0.00010397176788567872
Position 148: 4.335804860161294e-06
Position 306: 2.0669803674545068e-06
Position 344: 6.159619313564079e-07
Position 3470: 3.1481955482122214e-07
Position 3511: 2.9167030929906994e-07
Position 2613: 1.5437879808367713e-07
Position 153: 1.1120149808043509e-07
Position 238: 8.665968635369709e-08
Position 330: 9.926973729275432e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 3379: 0.9981950260573286
Position 14904: 0.9844352802217831
Position 9954: 0.9722731020572871
Position 17107: 0.9626176660331756
Position 12155: 0.9476955481318526
Position 1927: 0.859908632841147
Position 15777: 0.5624628904671974
Position 7599: 0.4973766344306178
Position 16739: 0.4659953689430073
Position 6721: 0.3299689637599419
Position 7623: 0.2599500733275727
Position 6165: 0.20452158204982293
Position 767: 0.17055942700145188
Position 15282: 0.16321120810261225
Position 15091: 0.1158023582478077
Position 604: 0.09334028616728024
Position 2091: 0.08985017818033973
Position 1753: 0.0879270279143025
Position 6346: 0.06278798205147594
Position 12175: 0.05215807636535445
Position 15085: 0.04941867838820459
Position 503: 0.0454111059424944
Position 10210: 0.0426182065835315
Position 12353: 0.041825040802597226
Position 15262: 0.026945555441004083
Position 787: 0.026764426212005157
Position 2244: 0.024585441079031066
Position 849: 0.023325677074024352
Position 10363: 0.022465302264512963
Position 10333: 0.015594133169764974
Position 10859: 0.01524827223208658
Position 572: 0.015181245507927845
Position 16969: 0.015059869588918532
Position 1730: 0.015054146002762319
Position 10778: 0.01406069999212382
Position 10313: 0.01366398055042859
Position 14839: 0.012866809207154807
Position 561: 0.012689495456706985
Position 772: 0.012544061833573128
Position 1774: 0.010739289548478284
Position 11099: 0.00773539885864643
Position 10716: 0.007459868802858972
Position 10528: 0.006261101777715151
Position 684: 0.0046853296270385715
Position 625: 0.004590818512412461
Position 16143: 0.0038814253204102244
Position 2145: 0.003256216094936901
Position 2261: 0.0031195884143924452
Position 443: 0.0025958341923471018
Position 404: 0.0025132877060356274
Position 2265: 0.0018519881430466012
Position 15468: 0.0015471058329445363
Position 2172: 0.001527277565221729
Position 370: 0.001282718492618846
Position 640: 0.001264320985428454
Position 482: 0.0009907516462622037
Position 14811: 0.0007906029730439755
Position 14706: 0.000550441457225664
Position 14653: 0.00029816650822773365
Position 1931: 0.0002755006037612085
Position 286: 0.0002658996305784889
Position 374: 0.00024164402483763578
Position 334: 0.00018584517275173297
Position 4504: 0.00018164431086695624
Position 3659: 0.00014007628501494518
Position 8086: 0.00010397176788567865
Position 4221: 4.6212513539970284e-05
Position 1733: 4.2041597129728896e-05
Position 11854: 1.1967615010723618e-05
Position 306: 9.66426830012145e-06
Position 11874: 3.979736852133472e-06
Position 528: 9.86101361391213e-07
Position 2475: 1.5437879808367697e-07
Position 252: 4.708740469973761e-11
