Gene = ZMYM6NB
index = 1605
Annotated 5SS: [ 156 1587]
Annotated 3SS: [1405 3233]
SMsplice 5SS: [ 156 1587]
SMsplice 3SS: [1405 3233]
top_k =  100
Partition function (log Z): -9.059918900540548

Sorted 5' Splice Sites (High to Low Probability):
Position 156: 0.9204913920892436
Position 1587: 0.6928339904873402
Position 526: 0.09207141210073479
Position 933: 0.0554481458753329
Position 892: 0.029753826245857578
Position 308: 0.018567376589977917
Position 2065: 0.014916627531652918
Position 3100: 0.009468208479649548
Position 1448: 0.008591930620242152
Position 921: 0.002133284903685747
Position 31: 5.119929688816044e-05
Position 461: 4.4690538052840015e-05
Position 141: 3.549356418441375e-05
Position 107: 2.2139150413994593e-05
Position 66: 2.0953268706040065e-05
Position 421: 5.726546032978787e-06
Position 75: 4.470485844740975e-06
Position 390: 1.5989408321314374e-07
Position 102: 6.512487920113653e-08
Position 8: 1.112667491418253e-08
Position 73: 1.5150543277850069e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1405: 0.5796765667906922
Position 3233: 0.5646802267199538
Position 1447: 0.09649483264475875
Position 2212: 0.0852537388709119
Position 3557: 0.0724221720298325
Position 1423: 0.05761127034586827
Position 3203: 0.05195290514236735
Position 777: 0.04277376453901816
Position 1777: 0.03200590833447363
Position 827: 0.028284046169393593
Position 3065: 0.02621194571192815
Position 1718: 0.022664344137290533
Position 239: 0.021912290460755282
Position 382: 0.02105145556017997
Position 3254: 0.020145061596746255
Position 3736: 0.01576094404331732
Position 2997: 0.013199882421979265
Position 1487: 0.012327041163335115
Position 350: 0.011522941007701903
Position 3437: 0.010124059275046185
Position 2489: 0.00960681839990815
Position 2351: 0.009511386083422106
Position 515: 0.0051741411131517355
Position 1466: 0.004782713008894319
Position 1940: 0.004321480588016348
Position 563: 0.0039957915310676545
Position 728: 0.003912441881931018
Position 1943: 0.0029163343565099765
Position 788: 0.002370396829182241
Position 2260: 0.0023362570204277476
Position 399: 0.0020341373139180427
Position 1227: 0.0020298974991955917
Position 1696: 0.001813440763958877
Position 1037: 0.001522650256637033
Position 662: 0.00055969345688637
Position 734: 0.0005073960331764733
Position 876: 0.0003825863514857168
Position 845: 0.0002626568079072913
Position 716: 0.00016499744898429831
Position 1801: 9.210654371145699e-05
Position 1260: 8.838518061185573e-05
