Gene = PDZK1IP1
index = 1009
Annotated 5SS: [ 190 2737 5054]
Annotated 3SS: [2627 4957 6011]
SMsplice 5SS: [ 190 2737 5054]
SMsplice 3SS: [2627 4957 6011]
top_k =  100
Partition function (log Z): 0.8869691377459995

Sorted 5' Splice Sites (High to Low Probability):
Position 2737: 0.9792901465849805
Position 5054: 0.9743693609465851
Position 190: 0.9719578133847683
Position 1062: 0.1810445093063981
Position 3087: 0.16711059911741
Position 848: 0.14026965214714285
Position 3359: 0.03806870514870679
Position 502: 0.03154797208055297
Position 6064: 0.029274465988053295
Position 3431: 0.021956523073233952
Position 1513: 0.020565089075065573
Position 3466: 0.017927315377600936
Position 3070: 0.014844107384673698
Position 238: 0.014195893300703843
Position 4151: 0.013132249444940867
Position 787: 0.012691441840106343
Position 5027: 0.010020079256367918
Position 5059: 0.00978855506929105
Position 1258: 0.009445588294151886
Position 497: 0.009255872101854426
Position 1103: 0.006050841583089881
Position 6081: 0.004022076784372908
Position 739: 0.0014473945506651314
Position 491: 0.001352925039934092
Position 5079: 0.0011798293905478593
Position 5117: 0.0007826881108696866
Position 389: 0.0004566930671961573
Position 746: 0.0004162641262588528
Position 2985: 0.0003997649719623078
Position 773: 0.00038715112836087875
Position 3420: 0.00014751846391374004
Position 768: 8.888063209919843e-05
Position 181: 1.626696900456552e-05
Position 125: 6.881344790288619e-06
Position 32: 2.858313146176224e-06
Position 5010: 2.7516745952271367e-06
Position 165: 1.1014876369899093e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 6011: 0.9959716222612676
Position 4957: 0.9848785712254569
Position 2627: 0.8791291690757903
Position 949: 0.19311790978973237
Position 726: 0.1453929809233178
Position 2966: 0.11318380824282724
Position 3161: 0.07817893102259534
Position 2609: 0.06833307838795565
Position 3035: 0.057796172872185456
Position 262: 0.03140550483836332
Position 6306: 0.026366436140700555
Position 1377: 0.01844178880147299
Position 4031: 0.013132249444940867
Position 2514: 0.013083821159346204
Position 4842: 0.010722970981372435
Position 2656: 0.009856422726261018
Position 2583: 0.00867070911926863
Position 2942: 0.00705196598715642
Position 6184: 0.005553424124553029
Position 2989: 0.0033979900921361564
Position 1046: 0.003386572541412543
Position 6231: 0.003077760784353623
Position 279: 0.0022840958568975532
Position 738: 0.002238288784264512
Position 1257: 0.002123300273592587
Position 812: 0.0021209526520719305
Position 6017: 0.0009929228286674095
Position 6202: 0.0005360228857270688
Position 6236: 0.0005088723651906668
Position 4590: 0.0004271213715171841
Position 2800: 0.00037288671658525794
Position 2803: 0.00027769452232514574
Position 3018: 0.0002739530408303312
Position 568: 0.00026222213509240037
Position 4566: 0.0002331663829345623
Position 2708: 0.0001183290056050396
Position 373: 0.0001126370907280355
Position 2411: 9.861711075366235e-05
Position 674: 9.788531439277856e-05
Position 6411: 9.014042260661054e-05
Position 825: 5.916308815727026e-05
Position 325: 5.2585654652835975e-05
Position 399: 3.455838522504901e-05
Position 847: 1.742012463548196e-05
Position 329: 1.2586511528172772e-05
Position 295: 1.2401960557308778e-05
Position 331: 9.807359051514338e-06
Position 307: 6.873915569236055e-06
Position 386: 2.57183793607976e-06
Position 345: 2.1522624305575137e-06
Position 407: 1.986652635846284e-06
Position 5990: 1.9064871950259892e-06
Position 389: 1.4278445809970713e-06
Position 417: 1.2635188978485412e-06
Position 479: 1.0512695798796906e-06
