Gene = ALG1L2
index = 72
Annotated 5SS: [  206  9541 10392 11330 12683 14333 15420]
Annotated 3SS: [ 9429 10269 11269 12571 14217 15343 16391]
SMsplice 5SS: [  206  9541 10392 12683 15420 16278]
SMsplice 3SS: [ 9429 10269 12571 15343 16092 16401]
top_k =  100
Partition function (log Z): -0.2839168084890751

Sorted 5' Splice Sites (High to Low Probability):
Position 9541: 1.0000000000000018
Position 206: 0.9503696384978847
Position 15420: 0.9024425728599192
Position 10392: 0.8785658287555254
Position 12683: 0.778372354446856
Position 16278: 0.6940972649090615
Position 11330: 0.5513372454521142
Position 12134: 0.2526589071745366
Position 14297: 0.18132482616854623
Position 10370: 0.10245351312816603
Position 4067: 0.10066371094305612
Position 14333: 0.0886763887170291
Position 7223: 0.07749327556191711
Position 15718: 0.07646736323872974
Position 15606: 0.059041055023655906
Position 6427: 0.04769590138607875
Position 5352: 0.04758237856362577
Position 3950: 0.038758065314786976
Position 9964: 0.03852831339833977
Position 5568: 0.03764377409077629
Position 10631: 0.03323122349330106
Position 15592: 0.025564337820679302
Position 5471: 0.023167889668407816
Position 10030: 0.020292751827071662
Position 58: 0.018691189635512827
Position 6108: 0.01729321526032592
Position 335: 0.015361640184512814
Position 20: 0.0149364340238439
Position 10614: 0.009668985937236991
Position 14436: 0.005740878828788058
Position 15861: 0.005316812821160113
Position 15781: 0.004404437733507981
Position 16256: 0.003997701785323916
Position 9797: 0.0030092562106024063
Position 16169: 0.0029185510689545054
Position 12637: 0.0029005611498515143
Position 301: 0.0006410976582472498
Position 3819: 0.00010993149903774338
Position 2732: 9.067755226604882e-05
Position 3271: 7.389963853703448e-05
Position 2293: 6.882621420923181e-05
Position 3409: 6.7721289589424e-05
Position 10419: 5.330731771128801e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 9429: 1.0000000000000016
Position 15343: 0.9929622550839622
Position 16092: 0.9234544658177598
Position 12571: 0.7801422954655385
Position 10269: 0.6570029245511074
Position 16401: 0.5588487775192861
Position 11269: 0.5479600946581623
Position 10248: 0.31871848007537473
Position 12076: 0.1493001715151159
Position 14217: 0.11717655522495227
Position 11937: 0.10335873565942075
Position 16391: 0.09521431022975399
Position 16432: 0.09055385179433699
Position 5184: 0.0888992812666823
Position 14180: 0.08551320217011386
Position 7116: 0.07749327556191711
Position 15639: 0.07308993185970694
Position 14214: 0.07305233631929722
Position 3949: 0.0564639021242279
Position 4045: 0.03817188163726365
Position 6224: 0.03525126591797694
Position 5968: 0.029737850728427738
Position 15504: 0.02753491412849489
Position 3883: 0.02687087470770423
Position 9611: 0.026124179749519225
Position 5512: 0.019494761056127546
Position 10574: 0.0191540382652286
Position 9820: 0.01739790487872654
Position 9861: 0.013966654106032164
Position 15597: 0.01259159082769255
Position 3724: 0.01121600189497879
Position 10468: 0.010802895445290487
Position 10604: 0.007598106090585463
Position 3920: 0.006659312623477399
Position 10274: 0.006593287080157164
Position 10015: 0.0043415827017359
Position 10500: 0.004055669492108484
Position 11298: 0.0033771507939518394
Position 12332: 0.0011306201311693438
Position 3617: 0.00014973476922886225
Position 3152: 0.00012504162621354784
Position 2670: 8.527921366097506e-05
Position 2147: 6.451624521778402e-05
Position 10084: 4.745763208847477e-05
Position 3311: 8.67977739099993e-06
Position 3314: 7.899524521910703e-06
Position 2632: 5.398338605073955e-06
Position 2008: 4.3099689914478e-06
