Gene = GGPS1
index = 589
Annotated 5SS: [  149  7985 14429]
Annotated 3SS: [ 7891 14357 14660]
SMsplice 5SS: [  149  7985 14429]
SMsplice 3SS: [ 7891 14357 14660]
top_k =  100
Partition function (log Z): -10.854057992344254

Sorted 5' Splice Sites (High to Low Probability):
Position 7985: 0.995787471178971
Position 149: 0.852802973483656
Position 14429: 0.6686378278640468
Position 1149: 0.41617515887614154
Position 10204: 0.14264420170284697
Position 2636: 0.08579582965058698
Position 2024: 0.07402974342737469
Position 2097: 0.03528328576545288
Position 4173: 0.033816938513160526
Position 582: 0.013681041012054156
Position 227: 0.010953720183525374
Position 731: 0.006571943658781422
Position 658: 0.003933378649751878
Position 108: 0.003042736662282506
Position 275: 0.001648118203990089
Position 1168: 0.001577268713682034
Position 225: 0.0010356021871021593
Position 855: 0.0006992243725047457
Position 1834: 0.00013339524213574263

Sorted 3' Splice Sites (High to Low Probability):
Position 7891: 0.9992041137500316
Position 14357: 0.8098321578322862
Position 14660: 0.7761714243885286
Position 1021: 0.21867914344960734
Position 10055: 0.1358967495914844
Position 2370: 0.08609348575028998
Position 1906: 0.06642092232572845
Position 881: 0.04419887367398922
Position 2012: 0.04186630530978098
Position 1035: 0.028608544318320762
Position 10077: 0.025168034512475318
Position 3956: 0.024130861677306506
Position 928: 0.019509193188090516
Position 14698: 0.01690527922800416
Position 14751: 0.01616775518419499
Position 10571: 0.013273088180968819
Position 4135: 0.00968607683585402
Position 12874: 0.007471039798780086
Position 8153: 0.0023789733096599604
Position 9151: 0.0017883811716185366
Position 9195: 0.0008449706657943105
Position 8167: 0.0008381752674811728
Position 1776: 0.0003794108070318039
Position 1069: 0.00033442799517398856
Position 8563: 0.00033347161458711444
Position 1948: 0.00031826195401828166
Position 854: 0.00028361813696063865
Position 1860: 0.0002834917569164021
Position 949: 0.000276029125073615
Position 714: 0.000255751451654468
Position 1878: 0.00023712148009549114
Position 687: 0.0001407661548742778
Position 1571: 6.979094213873722e-05
Position 4520: 5.23964302256259e-05
Position 4298: 3.914123708916768e-05
Position 1762: 3.574030219588542e-05
Position 1699: 2.6957640354887632e-05
Position 1361: 2.1001847297511176e-05
Position 488: 1.3536923245339473e-05
Position 1221: 8.820630899048406e-06
Position 319: 6.476915710488112e-06
Position 957: 9.65922274402886e-08
