Gene = PGBD5
index = 1019
Annotated 5SS: [  148 20752 26688 40538 44802 52336]
Annotated 3SS: [20323 26552 40356 44603 52229 54024]
SMsplice 5SS: [  148 20476 26688 40538 44802 52336]
SMsplice 3SS: [20323 26552 40356 44603 52229 54024]
top_k =  100
Partition function (log Z): -29.846432022429866

Sorted 5' Splice Sites (High to Low Probability):
Position 148: 0.9971022589431102
Position 8138: 0.011328375014602762
Position 624: 0.007363281499945599
Position 419: 0.0036809467761597828
Position 1354: 0.0023168033231131943
Position 1370: 0.001957542797657778
Position 13: 0.0004983323075476976
Position 461: 0.00023113333628197756
Position 162: 4.472721026418903e-05
Position 17: 2.821790671232748e-06
Position 61: 4.1615188785856386e-07
Position 272: 1.7844861624320785e-08
Position 8: 6.6352416717073696e-09
Position 54: 1.460516138147807e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 20323: 0.904266332869627
Position 8976: 0.023157450348665988
Position 9026: 0.014158390595912156
Position 8012: 0.011328375014602762
Position 9500: 0.009622766918666368
Position 2334: 0.009267633230352589
Position 2317: 0.007928120105432623
Position 2569: 0.007163628951161772
Position 7510: 0.0064347343329082315
Position 1263: 0.005074899841446167
Position 5250: 0.004096766898900522
Position 5538: 0.0026349981044849445
Position 496: 0.0025554700176645337
Position 253: 0.0018219526411700254
Position 236: 0.0017844662739720802
Position 558: 0.001570036626823835
Position 5384: 0.0012404040302062263
Position 896: 0.001236029889172152
Position 5273: 0.0009419894384538863
Position 3231: 0.00065485079486958
Position 586: 0.0006423953690228628
Position 1675: 0.0006254477454678213
Position 4215: 0.0006032484805753387
Position 3023: 0.0005827038037975958
Position 2364: 0.0005739500960809661
Position 318: 0.0005436604508091733
Position 2449: 0.0005235108177161553
Position 276: 0.000504888457130472
Position 562: 0.0005002365661905406
Position 446: 0.00041557091319447445
Position 2072: 0.00032433175199492013
Position 3255: 0.0003224462761155423
Position 2231: 0.0002536114476647773
Position 2962: 0.0002533968092868584
Position 2259: 0.00021019014937525285
Position 783: 0.00015370186225404324
Position 418: 0.00014622889697063908
Position 535: 0.00014233642963929732
Position 978: 0.0001138901233248824
Position 780: 9.849348964335546e-05
Position 352: 3.1113035472530056e-05
Position 81: 1.3222955001655572e-05
Position 374: 3.689153793273723e-06
Position 512: 3.4786388687611205e-06
Position 460: 8.276168061431671e-07
Position 391: 4.740821739368536e-07
Position 147: 2.535339897451523e-07
Position 128: 4.6017805249906546e-08
Position 95: 2.173669781778271e-08
