Gene = RIIAD1
index = 1142
Annotated 5SS: [  84  626 6085 7357]
Annotated 3SS: [ 548 6037 7228 7950]
SMsplice 5SS: [  84  626 2702]
SMsplice 3SS: [ 548 2601 7950]
top_k =  100
Partition function (log Z): -6.152085232384229

Sorted 5' Splice Sites (High to Low Probability):
Position 626: 0.9219126536549967
Position 84: 0.8987936566997401
Position 2702: 0.7076226942730747
Position 7357: 0.24598236660826558
Position 3199: 0.1793718761123494
Position 400: 0.08300465512831086
Position 88: 0.060350960031142736
Position 6299: 0.03410214374702964
Position 6085: 0.032636702030900945
Position 3117: 0.02614853478214892
Position 1377: 0.012970577022471274
Position 6143: 0.011839040795084724
Position 3247: 0.011518593821409769
Position 1165: 0.006409662029524007
Position 987: 0.00425367066495057
Position 2937: 0.003009172256453033
Position 354: 0.0015347414654527359
Position 123: 0.0009943011384881439
Position 2714: 0.000917724644349814
Position 203: 0.00024260463078086414
Position 688: 2.2543165078051195e-05
Position 630: 1.4574248035379041e-05
Position 597: 5.368634524230894e-06
Position 121: 4.0328344576388455e-06
Position 111: 2.996952065939273e-06
Position 450: 1.493671484357431e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2601: 0.7086566601178163
Position 7950: 0.70243691548165
Position 548: 0.6269796710737935
Position 7228: 0.28860147354127896
Position 476: 0.1827242039623964
Position 2984: 0.17079239095943652
Position 492: 0.10467510530198061
Position 3068: 0.09516715092533157
Position 7198: 0.09135408061780663
Position 4285: 0.07301575775132862
Position 6037: 0.04605960519410822
Position 241: 0.04417338454708103
Position 6214: 0.03762937666270522
Position 1029: 0.025262699910392334
Position 2607: 0.006999221141019057
Position 748: 0.004422833181205844
Position 1309: 0.004204429579650464
Position 5139: 0.003565158716239909
Position 2812: 0.003521204009839846
Position 260: 0.0034314189199702366
Position 1221: 0.003429803524066701
Position 5859: 0.0030788281664362416
Position 203: 0.0021937613868417013
Position 3283: 0.002125663763061492
Position 554: 0.001238668502276927
Position 255: 0.0010455563742747746
Position 2387: 0.0008640305713172077
Position 844: 0.0008545214854428225
Position 1196: 0.0007458941877673716
Position 286: 0.0007442395819858185
Position 927: 0.0007289114557735943
Position 524: 0.0006961254346270339
Position 1276: 0.0005244871900617599
Position 1568: 0.00047836678904944577
Position 2738: 0.0003243103744899243
Position 3093: 0.00020231055742512093
Position 338: 0.00014502143517622384
Position 217: 0.00012589614588557176
Position 301: 0.00011705594245559047
Position 354: 9.416226392964889e-05
Position 149: 6.489881559216158e-05
Position 378: 4.5493550528011375e-05
Position 313: 4.491950266809697e-05
Position 359: 2.585443780826893e-05
Position 315: 1.3729239619737562e-05
Position 279: 9.513483385563936e-06
Position 407: 8.532653814834598e-06
Position 404: 7.203462346491684e-06
Position 175: 5.918367125391944e-06
Position 429: 5.627143168883057e-06
Position 210: 2.30954864638375e-06
Position 443: 4.007162079873607e-07
Position 262: 2.6388844505231904e-07
Position 281: 2.50786629096146e-07
Position 290: 2.1349765102886744e-07
Position 162: 2.0468023398118158e-07
Position 575: 1.5701920422241432e-07
