Gene = GIMAP1-GIMAP5
index = 591
Annotated 5SS: [   23  2423  3739 21041 24260]
Annotated 3SS: [ 2373  3379 20836 24210 25514]
SMsplice 5SS: [   23  2423  3739 10259 21041 24260]
SMsplice 3SS: [ 2373  3599 10014 20931 24210 25514]
top_k =  100
Partition function (log Z): -15.900217285527301

Sorted 5' Splice Sites (High to Low Probability):
Position 2423: 0.9506716194296562
Position 23: 0.862832909412883
Position 3739: 0.6070462445367852
Position 10259: 0.40234400369760825
Position 3730: 0.31093330288650983
Position 1820: 0.24373739187611496
Position 6894: 0.15488245345861182
Position 2291: 0.12083081451707639
Position 2728: 0.10804518716451493
Position 288: 0.046898372172589235
Position 174: 0.034021527198204796
Position 182: 0.019792878962778607
Position 1367: 0.01331510506090101
Position 420: 0.012815390140805455
Position 2475: 0.009950288399828366
Position 1805: 0.007145660866981694
Position 741: 0.005998662252679307
Position 445: 0.005700581804252073
Position 3552: 0.004854510835544135
Position 1320: 0.004075822964821391
Position 1941: 0.003916873379512317
Position 2295: 0.0033720587169735992
Position 770: 0.0026569834665875363
Position 1912: 0.0020285747561184435
Position 2374: 0.0012172778761437434
Position 3889: 0.00019587713231813717
Position 718: 0.00011362074151713068
Position 3701: 1.0985807927119606e-05
Position 191: 4.353743559913459e-06
Position 246: 2.8182980864814487e-06
Position 57: 2.253519234329666e-08
Position 41: 2.2885722125520853e-09
Position 10: 9.615041915031864e-11
Position 94: 1.8135203598149143e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 2373: 0.9042279098370314
Position 3599: 0.7836560476618184
Position 10014: 0.6430547757374798
Position 13853: 0.28048550935335026
Position 6532: 0.2370434710180234
Position 1804: 0.215285546548001
Position 2180: 0.166023870930666
Position 6838: 0.14831635486283878
Position 10681: 0.12185849434425766
Position 3379: 0.11504276354375245
Position 2636: 0.11245117015482596
Position 6717: 0.05532665392682907
Position 3503: 0.03177876266175971
Position 6285: 0.02588191511160062
Position 1717: 0.02253750868913104
Position 1724: 0.01518375836551524
Position 2294: 0.01263878147892524
Position 4217: 0.008992792809906048
Position 3527: 0.007351009593737987
Position 3794: 0.0071070171277384
Position 2049: 0.006912870168403102
Position 4674: 0.004928757063046565
Position 570: 0.0027364890050146024
Position 477: 0.002675756171327459
Position 623: 0.0015454337854770084
Position 1158: 0.0015387385245259043
Position 124: 0.00145439049252928
Position 1594: 0.0009475122058435968
Position 585: 0.0008364302313705744
Position 1237: 0.0007146071080885881
Position 90: 0.0006845724994340106
Position 319: 4.6923190826335945e-05
Position 693: 4.491298897590027e-05
Position 1319: 2.5989216658775445e-05
Position 3445: 2.1436505093753775e-05
Position 135: 1.7513320670827186e-05
Position 173: 1.4516931883004949e-05
Position 1133: 1.3315694602133256e-05
Position 359: 7.897634988138262e-06
