Gene = SUB1
index = 1353
Annotated 5SS: [  284 56952 60053 67437]
Annotated 3SS: [56878 59929 67327 69371]
SMsplice 5SS: [  284  3365  5063  8154 39542 60053 65670 67437]
SMsplice 3SS: [ 3297  5004  8018 39423 59929 65550 67327 69371]
top_k =  100
Partition function (log Z): -35.66897998060046

Sorted 5' Splice Sites (High to Low Probability):
Position 8154: 0.9037396361178999
Position 284: 0.8927782499946644
Position 3365: 0.7408655098928686
Position 5063: 0.697444371676557
Position 6651: 0.3406411949161267
Position 6607: 0.29713875410899426
Position 1159: 0.281022374615378
Position 946: 0.1605487250846828
Position 6620: 0.06479757590102327
Position 345: 0.04529588987163891
Position 1823: 0.030971390544745556
Position 702: 0.019873036965780175
Position 486: 0.013187902587967518
Position 2823: 0.010952049769873557
Position 95: 0.004011262343010482
Position 1816: 0.002952323897835203
Position 381: 0.001651233227962877
Position 414: 0.0015847033267678205
Position 299: 0.0011951521539242196
Position 117: 0.0008760017381346831
Position 924: 0.00043939031480894194
Position 1577: 6.176914199976706e-05
Position 41: 2.0807352276168525e-05
Position 278: 4.584306740864809e-06
Position 15: 2.829313771832879e-06
Position 6: 1.4320294953985423e-06
Position 349: 1.6979239909127423e-08
Position 220: 1.512559175592648e-08
Position 320: 2.843066356333083e-09
Position 174: 2.4307265523279407e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 8018: 0.9250288819820397
Position 3297: 0.7467979500153427
Position 6463: 0.7162134421020145
Position 5004: 0.6974443716765566
Position 12682: 0.3513502892076937
Position 1040: 0.24561925982987662
Position 14601: 0.18319976675859115
Position 8994: 0.12818561359244998
Position 874: 0.0932250448838113
Position 14238: 0.07599789080917675
Position 8926: 0.05896739202983148
Position 10922: 0.05516540268844855
Position 6786: 0.04874024355979273
Position 1691: 0.03447906035835801
Position 8750: 0.028889783484168746
Position 8298: 0.021983497547541832
Position 1036: 0.016798288487238064
Position 848: 0.01397798120253555
Position 2615: 0.011239399662873663
Position 702: 0.0093740437539223
Position 988: 0.00878188003756836
Position 468: 0.00825461210195426
Position 1060: 0.007806096897802284
Position 188: 0.004910427106898778
Position 380: 0.0042844565178458615
Position 526: 0.003932034927395303
Position 892: 0.0034461003547462386
Position 5407: 0.0026042610748568317
Position 6698: 0.0021369378313948876
Position 780: 0.001915917365594454
Position 853: 0.00032555063590439606
Position 621: 0.0002923002698927886
Position 876: 0.00019994389054870228
Position 669: 0.00016436125412623174
Position 792: 0.0001640554892886127
Position 726: 6.398690470404789e-05
Position 1466: 6.176914199976662e-05
Position 539: 2.57250335451213e-05
Position 567: 2.7564962315541452e-06
Position 588: 2.201358648895718e-06
Position 572: 1.6365093230935363e-06
Position 470: 1.5958620468910503e-06
Position 405: 1.0486584825133024e-06
Position 625: 9.29220488973653e-07
