Gene = YARS
index = 1583
Annotated 5SS: [  966  7243  7563 11672 20391 26992 31214 31792 35750 37106 38069 38772]
Annotated 3SS: [ 7095  7386 11541 20309 26898 31077 31705 35613 37007 37874 38629 42061]
SMsplice 5SS: [  429  7243  7563 11672 16734 20391 26992 31214 31792 35750 37106 38772]
SMsplice 3SS: [ 7095  7386 11541 16575 20309 26898 31077 31705 35613 37007 38629 38910]
top_k =  100
Partition function (log Z): 0.5062970325089324

Sorted 5' Splice Sites (High to Low Probability):
Position 20391: 0.9999921568043566
Position 31214: 0.9999533447713964
Position 35750: 0.9978384474282438
Position 7563: 0.9950061137593
Position 7243: 0.9942626657130837
Position 11672: 0.98914527420803
Position 38772: 0.9742355124190744
Position 31792: 0.9741285469927596
Position 37106: 0.6225798394174702
Position 16734: 0.6045970164336834
Position 429: 0.4319170614735087
Position 1340: 0.3839504211118207
Position 16738: 0.2769480780433312
Position 243: 0.21143733846208085
Position 20046: 0.18590036009880986
Position 20033: 0.16084451793678486
Position 966: 0.13231147886957748
Position 850: 0.0989293140336007
Position 37150: 0.09544580449215599
Position 11878: 0.0768033009645456
Position 1116: 0.06411928961262886
Position 1804: 0.05398082087761749
Position 7968: 0.05372426516645561
Position 11280: 0.05205259211316948
Position 16353: 0.05120458523604416
Position 9223: 0.04977400207955826
Position 5814: 0.0403687845180705
Position 11450: 0.029762829348686456
Position 16890: 0.024211672086434474
Position 16839: 0.02168191333901623
Position 775: 0.020786024162771102
Position 10537: 0.012251258946110816
Position 7236: 0.0026784915975011443
Position 11618: 0.0023430031269246086
Position 38069: 0.0017525162433844113
Position 11627: 0.0016053804911786934
Position 7238: 0.0014020820793992142
Position 275: 0.0011342617898110025
Position 37941: 0.0006082628271977716
Position 16699: 0.00033749222551377047
Position 1112: 0.00021741778250225643
Position 7: 0.00012747187543435707
Position 57: 8.735290275461664e-06
Position 20434: 7.720133911065829e-06
Position 256: 1.7504457962544602e-06
Position 9444: 6.682575923474654e-07
Position 343: 1.1026683315631298e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 20309: 0.9999998769382683
Position 31077: 0.9999533447713964
Position 7095: 0.9983474429599861
Position 11541: 0.9930936578261339
Position 31705: 0.9741285469927596
Position 35613: 0.9704571630238608
Position 7386: 0.9506484326391709
Position 16575: 0.9277761721279797
Position 37007: 0.6692206894260581
Position 38629: 0.5951868190096543
Position 38910: 0.48663698261119
Position 38673: 0.383259125568026
Position 19751: 0.3467450010973278
Position 42061: 0.17495231136540432
Position 1242: 0.10917723969193022
Position 42264: 0.08765011763638617
Position 11208: 0.07236601234976259
Position 1152: 0.07116307024543954
Position 42228: 0.06965132322871093
Position 16292: 0.05120458523604416
Position 1646: 0.05061922399307752
Position 36969: 0.05028742519692292
Position 9164: 0.045497014589514724
Position 7453: 0.044339228145361065
Position 1216: 0.04244012713957942
Position 5699: 0.04036878451807051
Position 339: 0.03972583680625329
Position 42481: 0.03752218126820242
Position 11790: 0.03677627348979376
Position 7821: 0.036168981274963534
Position 336: 0.034973388024456674
Position 35579: 0.029450004635553417
Position 11765: 0.027694435077817995
Position 1183: 0.023737170546878097
Position 42432: 0.02058858292825076
Position 7878: 0.01755528389149207
Position 311: 0.017267954603910854
Position 40380: 0.014743604483493948
Position 38927: 0.013770625323259886
Position 42596: 0.013658843267024594
Position 10429: 0.012251258946110816
Position 40142: 0.01152316450465362
Position 38977: 0.010055264968407442
Position 11082: 0.009449409112093307
Position 39031: 0.008627852507262133
Position 40016: 0.007338860115107872
Position 38156: 0.007333695943991788
Position 39067: 0.005134951840559995
Position 39147: 0.004694126043418999
Position 11813: 0.004329919046480447
Position 9115: 0.004277655747635893
Position 365: 0.0040786993511943296
Position 11842: 0.004054289732350123
Position 11727: 0.003948383618103296
Position 41213: 0.0036621609622357206
Position 37874: 0.0035501294774484
Position 1672: 0.0033615968845399735
Position 41263: 0.0032608063190257457
Position 40036: 0.0031290065332159065
Position 39916: 0.002846506169385981
Position 965: 0.002313639092168436
Position 40358: 0.0021784483544370634
Position 39480: 0.001996777775791422
Position 32082: 4.6177111982006616e-05
Position 20514: 2.8380334999048076e-05
Position 1004: 2.640515209339722e-05
Position 24521: 1.6932906652516942e-05
Position 769: 1.5036263703182329e-05
Position 7524: 1.4249404765377728e-05
Position 424: 7.0163299506164186e-06
Position 761: 6.4989961975090215e-06
Position 626: 5.321108112980398e-06
Position 646: 3.172584620618772e-06
Position 24478: 1.061657661769779e-06
Position 20678: 1.5726755736729097e-07
