Gene = AP5Z1
index = 88
Annotated 5SS: [  135  5691  6133  7839  8177  8750  9427  9831 10063 10807 12155 12673
 13330 14308 14970 15266]
Annotated 3SS: [ 5552  5945  7693  8066  8580  9285  9792  9899 10627 12011 12531 13217
 14209 14836 15050 15492]
SMsplice 5SS: [  135  5691  7839  8177  8750  9427  9831 10063 10807 11051 12155 12673
 13330 14308 14970 15266]
SMsplice 3SS: [ 5552  7693  8066  8580  9285  9792  9899 10627 10877 11973 12531 13217
 14209 14836 15050 15492]
top_k =  100
Partition function (log Z): 29.60943538105686

Sorted 5' Splice Sites (High to Low Probability):
Position 12673: 0.9980951829259891
Position 5691: 0.9951346749620757
Position 12155: 0.9889257274651729
Position 8750: 0.9868498114525232
Position 13330: 0.9786532051539709
Position 14308: 0.9771664343200303
Position 11051: 0.9605518652115523
Position 135: 0.9572321384173903
Position 8177: 0.9510300819859795
Position 10807: 0.8046482748246215
Position 14970: 0.7205997516817728
Position 10063: 0.7113431091207351
Position 13695: 0.697171455141588
Position 9427: 0.6508946852803434
Position 9831: 0.6160695560992723
Position 15266: 0.5824473133015494
Position 7839: 0.5565834770471579
Position 6133: 0.30918806099979007
Position 9999: 0.2875274005111862
Position 7344: 0.15156636222307673
Position 7076: 0.14404821095525164
Position 13044: 0.12332181148351383
Position 15188: 0.09524978576142067
Position 274: 0.09524012154376678
Position 10322: 0.07855946745645895
Position 10503: 0.07842875396282831
Position 302: 0.06699066280572226
Position 365: 0.05102580830317329
Position 10846: 0.03817653598180228
Position 15153: 0.029817117905614997
Position 7805: 0.02552594768021851
Position 15201: 0.0250070218755999
Position 14287: 0.022772283773145906
Position 8427: 0.022230103621624926
Position 13881: 0.020231304123966426
Position 12430: 0.017320949974209073
Position 326: 0.01577389451494524
Position 15273: 0.011991729889414554
Position 15369: 0.011916295372220538
Position 2045: 0.011387219055026963
Position 13105: 0.01093930400345178
Position 15719: 0.01052213414064122
Position 14538: 0.009983106515799723
Position 65: 0.00814973196572995
Position 8316: 0.007773644297290681
Position 310: 0.0071969771008830825
Position 2545: 0.007073033654460195
Position 2773: 0.006778867525744774
