Gene = COX19
index = 400
Annotated 5SS: [ 172 2419]
Annotated 3SS: [2306 6142]
SMsplice 5SS: [ 172 2419]
SMsplice 3SS: [2306 6142]
top_k =  100
Partition function (log Z): -7.173391878867925

Sorted 5' Splice Sites (High to Low Probability):
Position 2419: 0.9598574138148471
Position 172: 0.8430478202215553
Position 6558: 0.2124501730936608
Position 186: 0.14682858284392017
Position 693: 0.029805490970875426
Position 7085: 0.027846567177145252
Position 6293: 0.02434987142537718
Position 527: 0.023258285059082753
Position 2751: 0.018878737844464494
Position 596: 0.018178066931850288
Position 7255: 0.01806567971253337
Position 4340: 0.016501946089963377
Position 350: 0.01572986424447205
Position 467: 0.0135318865232332
Position 7766: 0.011947114624801396
Position 3232: 0.011212164266682614
Position 2758: 0.01111040900795188
Position 6371: 0.006146741398843893
Position 3268: 0.003764514048717853
Position 4544: 0.0034957922256644604
Position 420: 0.0027753253550986566
Position 200: 0.0015318901581267525
Position 407: 0.0009706044603146462
Position 559: 0.0008699834804459861
Position 908: 0.0007120285956567868
Position 2704: 0.000333058748419946
Position 3305: 0.00029586048458242486
Position 4601: 0.00011147422301408574
Position 214: 3.186904528912486e-05
Position 50: 8.78081989326871e-06
Position 266: 8.511204345142504e-06
Position 2423: 7.644228645923765e-06
Position 220: 5.2039579605026205e-06
Position 248: 2.754902189037357e-06
Position 92: 7.226082251161721e-08
Position 81: 4.473434808082335e-08
Position 18: 3.120454555036826e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 2306: 0.9681763128524864
Position 7431: 0.26065839653583356
Position 6142: 0.25802313437829943
Position 6399: 0.21162408170502403
Position 8530: 0.1793843617132381
Position 6859: 0.09112990049382126
Position 2538: 0.08549393142885905
Position 4264: 0.07020045607869552
Position 7672: 0.04731899807021461
Position 316: 0.04418474439748942
Position 7387: 0.034054920090871986
Position 349: 0.031018785753078336
Position 474: 0.024299707378934606
Position 7129: 0.023853165710922514
Position 3231: 0.022845235729330254
Position 2511: 0.01799642880472597
Position 7652: 0.008293952061113429
Position 3068: 0.006073601493093334
Position 2787: 0.006015587058299584
Position 4072: 0.005993348080697544
Position 6123: 0.005566160826948958
Position 3731: 0.00426813018405155
Position 3103: 0.00384937106303199
Position 576: 0.0017961538144620147
Position 3128: 0.0017233904563657726
Position 3079: 0.001580675054459904
Position 2487: 0.001194691480403266
Position 3124: 0.0010995998385247318
Position 2703: 0.0010665577722455083
Position 2907: 0.0009793265444601345
Position 3466: 0.0008700025616334126
Position 2379: 0.0006330129597439478
Position 261: 0.0005773381360663668
Position 2569: 0.0005499529366959408
Position 621: 0.000536314290778703
Position 411: 0.00032965864229220774
Position 551: 0.00022534470382810847
Position 3107: 0.00014948216138654363
Position 2177: 2.061314434409364e-05
Position 2148: 1.743300258621886e-05
