Gene = TM4SF19-TCTEX1D2
index = 1404
Annotated 5SS: [  110 10984 11419 14103 14630]
Annotated 3SS: [10781 11340 13932 14375 22141]
SMsplice 5SS: [  110 10984 11487]
SMsplice 3SS: [10781 11340 18751]
top_k =  100
Partition function (log Z): -12.431660725646106

Sorted 5' Splice Sites (High to Low Probability):
Position 110: 0.9999665427351407
Position 10984: 0.8288496016295798
Position 11487: 0.5937992269033976
Position 11419: 0.30285932154500017
Position 19032: 0.10269958629820199
Position 14103: 0.06559441815120866
Position 10829: 0.044918472434663036
Position 11396: 0.03533804605461571
Position 5692: 0.02562191252179846
Position 5759: 0.017545991583900147
Position 12015: 0.015975724667313708
Position 11689: 0.008876031104103926
Position 12606: 0.007451337100812657
Position 911: 0.0004313626586016935
Position 11524: 0.00017042248904952631
Position 128: 1.6065470334045178e-05
Position 70: 5.387471789283802e-06
Position 133: 5.330185853669903e-06
Position 188: 3.339052259343108e-06
Position 638: 3.3350846225364446e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 11340: 0.975603887569009
Position 18751: 0.36881093132320353
Position 10781: 0.3674108309919092
Position 10806: 0.29682791017664645
Position 13932: 0.24636885579345544
Position 11866: 0.23430642444608496
Position 10746: 0.21090000522829103
Position 19625: 0.10269958629820199
Position 14375: 0.038938795576002515
Position 13881: 0.03059314222161062
Position 13954: 0.02951610113945459
Position 13702: 0.02429862124657768
Position 5595: 0.021979706768195745
Position 11582: 0.021454028177258656
Position 13777: 0.02003813432990535
Position 5623: 0.016987739375606443
Position 12477: 0.015936641331266606
Position 11588: 0.009420100791776404
Position 11802: 0.007865279958928571
Position 5691: 0.004200457961896439
Position 11077: 0.0022917336811126014
Position 8965: 0.001321147127524908
Position 8080: 0.0005945251624486923
Position 841: 0.0003493616999298715
Position 4315: 0.00020276034943696603
Position 1757: 0.00018244550438356952
Position 374: 0.00015094125228548542
Position 2538: 0.00014570101241783895
Position 5028: 0.00013486493261537216
Position 2782: 0.00010940322807692254
Position 286: 8.08628300359764e-05
Position 846: 7.028762085294e-05
Position 3578: 6.725855489749766e-05
Position 3473: 4.3329074976030706e-05
Position 2948: 4.210166944724298e-05
Position 3403: 3.857134753250781e-05
Position 702: 3.730702107901334e-05
Position 2913: 2.963268982962197e-05
Position 258: 2.3751718437762918e-05
Position 1409: 2.0208242193492123e-05
Position 188: 1.994101466972935e-05
Position 972: 1.813870278163879e-05
