Gene = GCLM
index = 580
Annotated 5SS: [  373  4888  7826 11572 12793 14797]
Annotated 3SS: [ 4821  7740 11511 12589 14681 20250]
SMsplice 5SS: [  373  4888  7826 14797]
SMsplice 3SS: [ 4821  7740 14681 20250]
top_k =  100
Partition function (log Z): -8.535817061888276

Sorted 5' Splice Sites (High to Low Probability):
Position 14797: 0.9575613495645351
Position 373: 0.8918575261629039
Position 7826: 0.8411816336814115
Position 4888: 0.7099445210504303
Position 20342: 0.46841924048821143
Position 11572: 0.42049132612085655
Position 12793: 0.16958285987949684
Position 746: 0.1251649251275327
Position 8181: 0.12146405100434168
Position 14853: 0.03349279960255626
Position 2361: 0.028640202943485342
Position 2213: 0.023205746209916462
Position 1895: 0.020932325249785187
Position 16623: 0.014478714318250006
Position 3929: 0.012405596532511177
Position 1582: 0.011582906988962003
Position 1336: 0.00017709958389766026
Position 1209: 0.0001567506164117202
Position 586: 1.7787585673913268e-05
Position 147: 1.216020362250438e-05
Position 506: 8.137092607368002e-06
Position 861: 5.736337245516941e-06
Position 936: 3.790108444309696e-06
Position 432: 2.819498093791153e-06
Position 348: 1.9059960770438303e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 14681: 0.991054149167092
Position 20250: 0.9376838051443577
Position 7740: 0.8355115169301671
Position 11511: 0.4204913261208565
Position 4821: 0.411359074148561
Position 23604: 0.207007466558242
Position 4763: 0.17904934883708992
Position 12589: 0.1695828598794968
Position 22950: 0.12217796550411048
Position 4797: 0.11953609806477901
Position 8085: 0.08694933421327673
Position 24115: 0.07935816244304103
Position 14961: 0.035838406343447655
Position 7971: 0.023473160251577804
Position 22759: 0.023108247280730798
Position 16492: 0.022781793253426653
Position 22930: 0.021530276777509197
Position 1724: 0.019996877770459876
Position 2271: 0.015519465949464961
Position 2254: 0.013120736994020417
Position 626: 0.012547219346931364
Position 3814: 0.012405596532511177
Position 7948: 0.011041556539487138
Position 2113: 0.010317504832647052
Position 17329: 0.008801223429094637
Position 1501: 0.008194928997119063
Position 20546: 0.007637382219650774
Position 20823: 0.007599739704926363
Position 7580: 0.005707788739982844
Position 2101: 0.005362256484271488
Position 2082: 0.003843972977434932
Position 1315: 0.003389438898103282
Position 676: 0.0031766445826653753
Position 1769: 0.002995503211522788
Position 18681: 0.0027348443782327127
Position 16021: 0.002377432742839293
Position 510: 0.0016847743829130192
Position 2046: 0.0016235218161883898
Position 16810: 0.0015813586043069826
Position 17386: 0.0014203230648344716
Position 15601: 0.000657246238957643
Position 15178: 0.0005599954250000358
Position 2847: 1.5871659315268265e-06
