Gene = C8G
index = 244
Annotated 5SS: [ 198  510  739  932 1306 1429]
Annotated 3SS: [ 372  667  823 1203 1389 1506]
SMsplice 5SS: [ 198  510  739  932 1306]
SMsplice 3SS: [ 426  667  823 1203 1389]
top_k =  100
Partition function (log Z): 6.813339366118345

Sorted 5' Splice Sites (High to Low Probability):
Position 739: 0.974918512340551
Position 932: 0.965518685864107
Position 510: 0.9513356545807753
Position 1306: 0.9401805809530099
Position 198: 0.895146359566563
Position 1429: 0.42029512121310075
Position 228: 0.062829414902779
Position 1301: 0.05176376805483459
Position 322: 0.022091283411476342
Position 1517: 0.021491436935517267
Position 1008: 0.01838935690134644
Position 687: 0.007510612063088271
Position 214: 0.0054409508289565344
Position 260: 0.004298741403578462
Position 291: 0.002330327823685764
Position 490: 0.0022023297527115253
Position 1462: 0.0013596414397141483
Position 204: 0.0012652448525313712
Position 1549: 0.0007170293383531072
Position 915: 0.000703977548638224
Position 246: 0.00036136480353064266
Position 234: 0.00029203108363698107
Position 1323: 0.00021989608865211012
Position 494: 7.865022686904364e-05
Position 1218: 5.2935439120813476e-05
Position 762: 3.979079586018122e-05
Position 361: 3.6887245436727184e-05
Position 1237: 3.2313560500620696e-05
Position 463: 3.007665048339774e-05
Position 296: 2.6605589510611876e-05
Position 1241: 1.0395158853005692e-05
Position 714: 1.752845473347052e-08
Position 266: 1.4356368595637166e-08
Position 936: 8.946384829936702e-09
Position 13: 4.945588404067785e-09
Position 891: 9.397700723693363e-10
Position 306: 2.5161253557258466e-11
Position 10: 2.1420406409552186e-11
Position 308: 1.651775876930527e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1389: 0.9793775365154479
Position 667: 0.9667560059706632
Position 823: 0.9579729533287689
Position 1203: 0.6796030468979559
Position 426: 0.570255250464377
Position 1506: 0.37836799451070036
Position 372: 0.3680393203688904
Position 1150: 0.28489366092108487
Position 1175: 0.025379991495444083
Position 1637: 0.024798927806306614
Position 1666: 0.024510367276432587
Position 829: 0.020233815642606692
Position 1509: 0.017754078542765048
Position 1611: 0.009115021959650518
Position 638: 0.005758186052327156
Position 340: 0.005544350401327221
Position 474: 0.0054021955034497015
Position 615: 0.004305457948575147
Position 379: 0.004108224153597951
Position 1668: 0.0021883700944022337
Position 1407: 0.0021680130866761705
Position 429: 0.0017200460498745045
Position 1152: 0.001689024872285827
Position 1183: 0.001444537163694307
Position 1104: 0.0014372736071314222
Position 686: 0.0011865570819699245
Position 1533: 0.0010989982523184202
Position 556: 0.0009943252839398524
Position 432: 0.0008748919337511152
Position 838: 0.0008456955758378531
Position 864: 0.00048508458497001735
Position 1642: 0.0004662326251335283
Position 1137: 0.000334135311629092
Position 1250: 0.00029840086625900684
Position 1222: 0.000218488023774265
Position 1126: 0.00019541829349359842
Position 1062: 0.00011951588430085327
Position 311: 0.00011691963563799689
Position 1364: 0.00011197727680119462
Position 738: 9.268541957765316e-05
Position 711: 9.070092485094276e-05
Position 876: 8.376944691258283e-05
Position 1059: 7.363196708126598e-05
Position 1400: 6.419950222791072e-05
Position 1322: 6.013429379065957e-05
Position 1412: 4.7418453096775396e-05
Position 507: 4.2317556649004175e-05
Position 1301: 4.024453056529333e-05
Position 447: 3.6869841359373856e-05
Position 1283: 3.0193446895819565e-05
Position 695: 2.813620247581716e-05
Position 570: 2.454503173105776e-05
Position 350: 1.842288674776522e-05
Position 900: 1.421575865362633e-05
Position 1433: 1.264376617043229e-05
Position 481: 1.2133292208075056e-05
Position 1440: 1.1501623783182158e-05
Position 494: 8.54794843704472e-06
Position 287: 7.369429545461559e-06
Position 313: 5.0610431659921956e-08
