Gene = DPM2
index = 466
Annotated 5SS: [ 667 1051 1932]
Annotated 3SS: [ 960 1828 2703]
SMsplice 5SS: [  94  667 1932]
SMsplice 3SS: [ 447 1828 2703]
top_k =  100
Partition function (log Z): -6.0750514162179154

Sorted 5' Splice Sites (High to Low Probability):
Position 94: 0.9238998089285969
Position 667: 0.8422986574678629
Position 1932: 0.6630408532213476
Position 1051: 0.21305528779752578
Position 2376: 0.15687089929858247
Position 545: 0.10428818277759883
Position 2368: 0.0651455190495014
Position 2401: 0.06321817436845648
Position 2372: 0.057115875371021696
Position 2397: 0.055339062698190396
Position 2393: 0.04505148781976101
Position 2765: 0.030956165176237695
Position 43: 0.027026511980125265
Position 377: 0.0015548351649290778
Position 6: 0.0012680756039329098
Position 644: 0.0008791799802662982
Position 39: 0.0006439267324880302
Position 217: 0.0006184584088978329
Position 71: 0.0002636608560011475
Position 180: 0.00014487704353996185
Position 2534: 0.00011990210549710651
Position 229: 8.254723211423272e-05
Position 237: 5.371580802894798e-05
Position 15: 1.8755551559418737e-06
Position 17: 5.703024945633671e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 447: 0.8309515599639556
Position 2703: 0.7239316744591688
Position 1828: 0.5872706025597976
Position 2240: 0.4281562406683721
Position 2811: 0.17132545347319894
Position 909: 0.11866465373292046
Position 960: 0.09855040071276396
Position 592: 0.062370812851506176
Position 1842: 0.052315201909341885
Position 2278: 0.04410301130546469
Position 3193: 0.0360877847231823
Position 2948: 0.02933991497342344
Position 1618: 0.014441282358254483
Position 2657: 0.008514626086348977
Position 1907: 0.008322702152006221
Position 2884: 0.006050895753275872
Position 2654: 0.004779503465704338
Position 558: 0.0042378122403697645
Position 211: 0.0035628682786967548
Position 171: 0.003333438680746675
Position 544: 0.0032806227720620384
Position 511: 0.002667478561725926
Position 1966: 0.0022924007655127977
Position 869: 0.0019382465334972984
Position 2283: 0.0012549717378437576
Position 1007: 0.0010836556678059269
Position 451: 0.000737915067846729
Position 391: 0.0005972674998986723
Position 820: 0.0005240092041414944
Position 1621: 0.0004158255205935378
Position 514: 0.0004079353145720754
Position 486: 0.0004042132917758375
Position 825: 0.0003406236812873338
Position 1476: 0.00027523872135405805
Position 938: 0.0002392690188337989
Position 449: 6.911812969358622e-05
Position 555: 4.5327816542340804e-05
Position 599: 2.107124969408191e-05
Position 407: 1.8256937522527648e-05
Position 363: 9.885647241497485e-06
Position 412: 4.250245069859645e-06
Position 461: 8.701514231683113e-08
