Gene = UBE2H
index = 1519
Annotated 5SS: [   447  72055  73382  94048  95439 113743]
Annotated 3SS: [ 71977  73306  94007  95385 113613 117887]
SMsplice 5SS: [   447  31819  43203  55849  73382  94048  95439 103976 113743 114630]
SMsplice 3SS: [ 31709  43041  55698  73306  94007  95385 103871 113613 114364 117887]
top_k =  100
Partition function (log Z): -67.03284765741058

Sorted 5' Splice Sites (High to Low Probability):
Position 447: 0.7238549069454054
Position 68: 0.2745232972164196
Position 2896: 0.04338435432590304
Position 3991: 0.013718568207738502
Position 489: 0.013489893673867942
Position 678: 0.005562932911702769
Position 475: 0.004168958199569435
Position 1154: 0.003830166954181587
Position 60: 0.0034719734031129572
Position 1238: 0.0016490544743074057
Position 3: 0.0005487018764677643
Position 238: 7.080463130476607e-05
Position 196: 1.63158998569199e-05
Position 228: 1.5472650238249607e-05
Position 436: 1.4663048765409644e-05
Position 479: 7.487982623552061e-06
Position 477: 5.081330951126628e-06
Position 286: 3.2502381047502907e-06
Position 439: 2.747565206696747e-06
Position 491: 8.587026513175088e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 5561: 0.1993555822592262
Position 576: 0.1359637767635458
Position 7442: 0.08721279745199109
Position 1628: 0.08717370193573211
Position 643: 0.08414045809290874
Position 2815: 0.06916753699149934
Position 2856: 0.06366585318105089
Position 687: 0.05678389879293358
Position 4586: 0.05131454281799301
Position 8596: 0.048290100010950146
Position 3506: 0.02859884882938905
Position 6490: 0.026337266579499103
Position 1099: 0.025647981393024866
Position 606: 0.01633752267279019
Position 3846: 0.012845347830702286
Position 5676: 0.010799120775961867
Position 332: 0.010784710752594058
Position 3817: 0.010739559299944792
Position 5516: 0.01039985286812879
Position 357: 0.009415839566774302
Position 872: 0.006315621297605444
Position 822: 0.0063150596025174964
Position 4301: 0.00578989763011681
Position 1131: 0.004795999368702622
Position 3466: 0.004422507735477742
Position 1016: 0.0029900921277451692
Position 1083: 0.002616274857417875
Position 545: 0.002567628811738891
Position 2561: 0.002564396312188831
Position 2431: 0.0024849224143033612
Position 221: 0.0011132379743207473
Position 407: 0.0007292253379747465
Position 194: 0.0001914316465705327
Position 305: 0.00014759140029878333
Position 958: 0.00014578498870501026
Position 308: 0.00013446475289824206
Position 334: 1.801294127412828e-05
Position 371: 1.42272848312537e-05
Position 377: 4.1222847656906605e-06
Position 161: 3.693600487762678e-06
Position 367: 9.990018048379526e-07
