Gene = BASP1
index = 126
Annotated 5SS: [75]
Annotated 3SS: [58384]
SMsplice 5SS: [   75  5644 11548 17553 25039 52779]
SMsplice 3SS: [ 5400 11406 17451 24951 52669 58384]
top_k =  100
Partition function (log Z): -33.50506022649762

Sorted 5' Splice Sites (High to Low Probability):
Position 11548: 0.7594532475361768
Position 75: 0.7480867182405565
Position 5644: 0.6483274539206307
Position 8172: 0.5941348613301345
Position 5486: 0.3056212119747953
Position 988: 0.12939488458565515
Position 273: 0.08854163523280557
Position 128: 0.020023136992225788
Position 431: 0.013596167235999101
Position 4744: 0.006172988120333636
Position 2109: 0.0052895059526777985
Position 3069: 0.0050382302228226105
Position 1230: 0.0025864164065933035
Position 4127: 0.0011965208251254055
Position 3629: 0.0011518226632477163
Position 1247: 0.00039329034598316966
Position 3610: 0.00035853044089017015
Position 503: 7.574547750262189e-05
Position 247: 3.4441164705734414e-05
Position 117: 3.110191838823868e-05
Position 212: 2.0519135276429623e-05
Position 86: 1.5183905891266525e-05
Position 285: 1.4858280597565815e-05
Position 1251: 1.1626652428410297e-05
Position 135: 1.0955957596728957e-05
Position 1452: 8.9278001134008e-06
Position 277: 8.128735289175432e-06
Position 1333: 6.442902285055844e-06
Position 478: 4.8052656468109736e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 5400: 0.936584313174968
Position 11238: 0.7717195712479308
Position 7949: 0.4456826359399052
Position 8113: 0.20473184138672856
Position 11648: 0.1424202420158148
Position 13396: 0.13564373493035944
Position 15455: 0.10735893308492513
Position 11827: 0.10018458296342017
Position 14950: 0.08419364100069854
Position 12025: 0.07936908294669538
Position 11934: 0.05833533338917659
Position 13926: 0.051947697205090695
Position 5917: 0.040476109385772514
Position 8441: 0.03962476286429323
Position 5485: 0.03478034546425936
Position 9895: 0.016137655425551706
Position 1944: 0.011184310047312795
Position 3531: 0.009995500056543908
Position 9585: 0.006219990309382111
Position 6824: 0.005289731784630748
Position 5808: 0.005100487906240311
Position 8580: 0.004936027583135884
Position 8920: 0.004469154694424164
Position 7308: 0.004443462584280649
Position 2984: 0.00434482745385426
Position 7094: 0.004086775240078789
Position 2564: 0.00384779584863529
Position 4577: 0.0028705243529541552
Position 1069: 0.002500528403092679
Position 4391: 0.002386075666458121
Position 4574: 0.0019475116306962052
Position 6226: 0.001245662845705329
Position 4015: 0.0011965208251254055
Position 2839: 0.0011083225999986585
Position 5953: 0.0009237654275973637
Position 5617: 0.0007526793486713919
Position 1093: 0.000488718260330959
Position 2799: 0.00026616866637243125
Position 2262: 0.00022673410638129012
Position 2775: 0.00021894219505390471
Position 2690: 0.00021379083686620296
Position 5288: 0.00015486812295149933
