Gene = ARGFX
index = 93
Annotated 5SS: [  113  6197 14362]
Annotated 3SS: [ 6079 14212 15317]
SMsplice 5SS: [ 113 6197]
SMsplice 3SS: [ 6079 15317]
top_k =  100
Partition function (log Z): -10.83334872894657

Sorted 5' Splice Sites (High to Low Probability):
Position 113: 0.9624031619686138
Position 6197: 0.7500953658394002
Position 8463: 0.13334502329619008
Position 10044: 0.09394957571552016
Position 9392: 0.05943521239284973
Position 12966: 0.05707402935448307
Position 4245: 0.03480937428701641
Position 418: 0.03154737136318542
Position 82: 0.018591970405374213
Position 4188: 0.010632270690405595
Position 342: 0.009303108734178148
Position 3324: 0.00779116247297003
Position 3397: 0.0018148033280529752
Position 117: 3.1854083570892194e-05
Position 293: 2.834469176645272e-07
Position 236: 2.072696374104924e-08
Position 107: 1.1524846764916274e-08
Position 132: 5.870529139192322e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 15317: 0.7480400321007751
Position 6079: 0.6726106035027967
Position 8348: 0.13413785664247765
Position 15192: 0.10606152503905222
Position 9921: 0.10081150443435129
Position 6075: 0.09133605155864034
Position 12757: 0.07962724892563475
Position 9274: 0.07536040767832494
Position 15468: 0.0471211884729277
Position 4116: 0.03857479255638639
Position 199: 0.016018034690938324
Position 14212: 0.011974231467905052
Position 8721: 0.011325886844089039
Position 3284: 0.006654781275465379
Position 4138: 0.004660130726030791
Position 8672: 0.004615622253523975
Position 359: 0.004428410742696589
Position 3254: 0.0030558416938787298
Position 8758: 0.002956998605929335
Position 7446: 0.0014655897526883802
Position 1582: 0.001362396649989507
Position 4003: 0.0012813749785332634
Position 203: 0.0010934337424984403
Position 3993: 0.0010563475299235623
Position 8809: 0.0008497627327489451
Position 253: 0.0007942091150125771
Position 1557: 0.000676230127014077
Position 1932: 0.0005351955001855193
Position 7125: 0.0005279825049958527
Position 236: 0.0003074173889739527
Position 6594: 0.00029126986156748286
Position 1143: 0.00026632779436280824
Position 3551: 0.00022520473141553017
Position 1169: 0.00016289292546919212
Position 885: 0.00015571521636228205
Position 3703: 0.00011072571237924809
Position 3741: 0.0001035120924108676
Position 881: 6.396169158888348e-05
Position 903: 6.0595674569787e-05
Position 2073: 4.211988948805377e-05
Position 417: 1.94630992970367e-05
Position 362: 9.424869596424222e-07
Position 256: 3.963572537995912e-07
Position 413: 3.88733558721417e-07
