Gene = NFIL3
index = 938
Annotated 5SS: [223]
Annotated 3SS: [12955]
SMsplice 5SS: [  223 13013 13252]
SMsplice 3SS: [12955 13133 13701]
top_k =  100
Partition function (log Z): -11.206220223887572

Sorted 5' Splice Sites (High to Low Probability):
Position 223: 0.999907653645728
Position 13252: 0.3687388843850651
Position 4972: 0.19338192233421242
Position 1798: 0.18296159837947554
Position 1432: 0.030521218509838115
Position 6108: 0.0049452521431283475
Position 1863: 0.0034945263332193006
Position 921: 0.0009910326112461917
Position 539: 0.00024117620431343288
Position 1288: 0.0001987830042636167
Position 834: 0.00013065306261292388
Position 1344: 0.00012557109244576198
Position 940: 0.00011939118259025499
Position 1463: 0.00010754874851086724
Position 333: 3.0125356843558995e-05
Position 694: 1.3938136856192472e-05
Position 639: 8.0300663782602e-06
Position 877: 7.910052087067334e-06
Position 475: 4.787990397649159e-06
Position 302: 3.5362909068142875e-07
Position 360: 1.3821105614608688e-07
Position 426: 1.2708749708026943e-07
Position 318: 2.4866290460139497e-08
Position 325: 2.0221413871253575e-08
Position 316: 1.607391048783648e-09
Position 400: 2.1826058367240846e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 12955: 0.8182049229743551
Position 13701: 0.3687388843850651
Position 4849: 0.14933524805760517
Position 1564: 0.09991532441183688
Position 6314: 0.08479393365418847
Position 1711: 0.07736137073982474
Position 4896: 0.04979383074912563
Position 1217: 0.030087548094776477
Position 5897: 0.022917746718368662
Position 1650: 0.020968578941938248
Position 4216: 0.012127182068773702
Position 1401: 0.01192873732248526
Position 3662: 0.006585383198551462
Position 2699: 0.005905656827441162
Position 5970: 0.005507718298580153
Position 522: 0.0035699743791407063
Position 4038: 0.003249230911564137
Position 404: 0.0026031289698460786
Position 1101: 0.0017882852283091016
Position 1415: 0.0014994771077733572
Position 1831: 0.0014748371276034837
Position 444: 0.0014449456960950046
Position 766: 0.0014411328277465123
Position 3250: 0.0013719396506341093
Position 1507: 0.0007974894182207027
Position 2078: 0.0006812640497789561
Position 601: 0.0005260769204748219
Position 2103: 0.00047337336679093635
Position 783: 0.0004646733528498635
Position 809: 0.00015256899381638529
Position 704: 7.508443846943104e-05
Position 1288: 6.882893117519572e-05
Position 1382: 2.736693406985681e-05
Position 1540: 2.1339141629240833e-05
Position 1182: 1.934686157230791e-05
Position 425: 7.6141690922916665e-06
Position 465: 6.062279689737939e-07
Position 833: 1.773624382216206e-08
