Gene = KMO
index = 750
Annotated 5SS: [  365 16765 17641 18911 23527 28619 30199 32925 34479 36514 54605 56699
 57982 58132]
Annotated 3SS: [16694 17542 18820 23477 28530 30032 32852 34356 36365 54546 56615 57879
 58071 59820]
SMsplice 5SS: [  365  3504 16765 17641 17882 18911 23527 30199 34479 54605 56699 57982]
SMsplice 3SS: [ 3412 16694 17542 17772 18820 23477 30032 34356 54546 56615 57879 58071]
top_k =  100
Partition function (log Z): -20.88472746599164

Sorted 5' Splice Sites (High to Low Probability):
Position 365: 0.999999999724249
Position 3504: 0.9999999081530567
Position 16765: 0.9999997225394383
Position 18911: 0.9999974418932779
Position 23527: 0.9992188322776029
Position 30199: 0.9968765461657432
Position 34479: 0.8801908088624281
Position 36514: 0.08108099209625681
Position 37874: 0.050290645768575164
Position 34867: 0.035210074996790325
Position 36533: 0.02564081988737071
Position 3680: 7.747210162375767e-08
Position 3472: 7.037920695069647e-08
Position 4431: 6.811103026923446e-08
Position 1647: 5.461595885070106e-09
Position 1035: 4.7058319712741145e-09
Position 960: 1.7869686944884206e-09
Position 574: 6.251093399251905e-11
Position 399: 5.5244867246844156e-11
Position 423: 5.2000478860539145e-11
Position 392: 2.8937609698980046e-11
Position 341: 9.290609261088765e-12
Position 85: 8.385167566015488e-12
Position 455: 2.5844899340399066e-13
Position 240: 1.148184530946393e-13
Position 354: 9.396994788832986e-14
Position 141: 6.757428262893074e-14
Position 236: 3.609590353994843e-14
Position 396: 3.3296754419071575e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 18820: 0.9999997225394418
Position 16694: 0.9999997225394347
Position 23477: 0.9992188322776029
Position 30032: 0.9987519419229864
Position 34356: 0.8895250997350103
Position 3412: 0.8718217953172909
Position 38082: 0.7850743693514284
Position 36174: 0.13049640366613446
Position 3365: 0.10574847960410695
Position 37699: 0.09585338497641745
Position 37369: 0.03766195175596897
Position 34557: 0.03605833814899581
Position 38941: 0.02628831831171214
Position 38612: 0.021600624769887746
Position 34796: 0.019250968361579548
Position 3218: 0.011687691681720442
Position 3292: 0.010742013769322193
Position 31423: 0.0066842469502126824
Position 32310: 0.0066501526400215534
Position 35599: 0.006109766720495169
Position 32852: 0.005334417731734589
Position 31615: 0.0021181913373694234
Position 28941: 0.0005986624557715404
Position 30365: 0.0005836533201879934
Position 29367: 0.0003240151179475056
Position 28530: 0.00023845710207586113
Position 25165: 3.482216423800361e-05
Position 20504: 2.0790520123245044e-05
Position 19212: 1.667108026171408e-05
Position 21062: 5.340597310760384e-06
Position 19000: 3.476255990667451e-06
Position 19512: 3.2646765712947853e-06
Position 3647: 1.0748961372498513e-07
Position 4884: 1.0688403526503154e-07
Position 7478: 1.055363033308723e-07
Position 4328: 4.631346569312886e-08
Position 5102: 1.133454499924711e-08
Position 4337: 1.1037886192527452e-08
Position 4203: 1.0759678383578132e-08
Position 1536: 7.2281863990105945e-09
Position 900: 6.497795167805579e-09
Position 3580: 5.975570400000174e-09
Position 3865: 4.223818093389742e-09
Position 568: 3.206983890240194e-09
Position 3584: 1.9118174376987677e-09
Position 3821: 1.7165681705550075e-09
Position 1443: 1.1761202273209897e-09
Position 630: 7.706907370998142e-10
Position 841: 4.10132395729736e-10
Position 530: 3.934930235352553e-10
Position 3670: 1.3445305147401274e-10
Position 764: 9.79856602685667e-11
