Gene = FCGR2C
index = 550
Annotated 5SS: [  210  7103  8480 10059 10903 14251]
Annotated 3SS: [ 7081  8221  9803 10788 14212 18289]
SMsplice 5SS: [  210  2475  7103  8480 10059 10903]
SMsplice 3SS: [ 2380  7081  8221  9803 10788 14212]
top_k =  100
Partition function (log Z): -7.063569043554031

Sorted 5' Splice Sites (High to Low Probability):
Position 210: 0.9363658907609858
Position 2475: 0.8802274993183916
Position 8480: 0.8474168884340435
Position 10059: 0.7929317389164595
Position 7103: 0.6663191938792844
Position 10903: 0.6641431626392947
Position 1193: 0.5382049173487349
Position 14045: 0.38215728343139493
Position 1854: 0.21425479353043783
Position 9533: 0.19993866295937948
Position 596: 0.13156896257250197
Position 7229: 0.06720145502132624
Position 787: 0.05616778664218409
Position 5547: 0.029469588532568626
Position 1869: 0.026182202169072324
Position 9325: 0.017669655558979952
Position 14049: 0.011574690388840308
Position 1845: 0.008045124720286463
Position 4001: 0.007142915364000542
Position 1303: 0.0015390479801991714
Position 603: 0.0002283659609152238
Position 1683: 0.00016638705206808478
Position 331: 3.876108982241644e-05
Position 388: 2.0377632528049955e-05
Position 27: 1.0006431566897152e-05
Position 370: 5.309347236996849e-06
Position 299: 5.287997800898411e-06
Position 157: 5.182159782786868e-06
Position 138: 5.119665462224599e-06
Position 395: 3.5661193503828336e-06
Position 214: 2.399782912104874e-06
Position 253: 1.9468581159279984e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 9803: 0.8634848073224606
Position 2380: 0.7882275576439346
Position 7081: 0.7353125458623028
Position 10788: 0.7009741522990853
Position 8221: 0.641299085708364
Position 13946: 0.5586939676790674
Position 14212: 0.45046944410007433
Position 1069: 0.3515501229923387
Position 14141: 0.2551967818371691
Position 1749: 0.20320247216805395
Position 9368: 0.1594025905158728
Position 8376: 0.1220485346243193
Position 1165: 0.10480678787668984
Position 466: 0.09847674777972856
Position 8224: 0.09342975647278919
Position 2348: 0.07667239037150354
Position 9391: 0.04436713720254447
Position 1761: 0.036561931631295085
Position 1116: 0.036143909276043856
Position 5503: 0.03051405666166262
Position 686: 0.023998518417802903
Position 9172: 0.017669655558979952
Position 849: 0.013865686856385446
Position 2271: 0.01032649770993321
Position 1675: 0.008717716620447513
Position 3803: 0.007142915364000554
Position 1091: 0.006673597321946702
Position 1040: 0.006439745099407603
Position 10292: 0.005714703766963187
Position 937: 0.005592645634931897
Position 2245: 0.005001053593019668
Position 683: 0.004450762367246583
Position 723: 0.003918467626832008
Position 312: 0.0024216681292956437
Position 1071: 0.00213070763121972
Position 710: 0.0009771114332826304
Position 484: 0.0008025748152271613
Position 435: 0.00043488967261648344
Position 1035: 0.0003081769106713192
Position 2929: 0.0002451001499156174
Position 386: 0.00019488538541596333
Position 559: 0.00016637034943793504
Position 1224: 0.00014801376296954543
Position 370: 0.00011087460088034653
Position 817: 0.00010259918365814274
Position 326: 0.0001018329268270996
Position 1529: 0.00010067006184504727
Position 689: 8.294847196372545e-05
Position 522: 6.636374127596796e-05
Position 1465: 6.571699022303786e-05
Position 754: 4.641263084278318e-05
Position 404: 4.3580551034952076e-05
Position 303: 3.5900712212099055e-05
Position 479: 3.148357821586024e-05
Position 727: 2.8187465641014546e-05
Position 295: 1.865668533980745e-05
Position 600: 4.326404554236155e-07
Position 571: 4.2849251937283137e-07
Position 639: 3.9655397576089526e-07
Position 606: 3.507172102213684e-07
Position 393: 3.0467712820165966e-07
Position 322: 2.969919530869363e-07
Position 274: 1.6985460067636855e-07
Position 317: 9.021888957135157e-08
Position 524: 5.222246491941209e-08
Position 489: 4.7843932142511096e-08
Position 575: 4.6656168162101657e-08
Position 388: 4.10846927734868e-08
Position 280: 4.050873152056671e-08
