Gene = STPG1
index = 1349
Annotated 5SS: [   52 12407 29824 34073 40024 44052 52875]
Annotated 3SS: [12268 29721 33901 39914 43885 52683 55105]
SMsplice 5SS: [   52  3023 12407 16655 22165 29824 34073 40024 44052]
SMsplice 3SS: [ 2907 12268 16522 22045 29721 33901 39914 43885 55105]
top_k =  100
Partition function (log Z): -21.54028161594585

Sorted 5' Splice Sites (High to Low Probability):
Position 12407: 0.9999996555754193
Position 22165: 0.9982100830279043
Position 29824: 0.9382909987267003
Position 52: 0.9135310291762934
Position 16655: 0.7719431927451937
Position 3023: 0.6320287764711747
Position 34073: 0.547156465884924
Position 12674: 0.5370763410039633
Position 1421: 0.0967093777582935
Position 1592: 0.09101136519957512
Position 627: 0.03715061207350332
Position 160: 0.03278843376565291
Position 4475: 0.018446854979040476
Position 505: 0.004318734694137594
Position 189: 0.0034917656482182204
Position 353: 0.0020924587994130433
Position 1164: 0.001498951284345113
Position 934: 0.0010442215167297934
Position 89: 0.0009431321816830025
Position 273: 0.0007252678242544883
Position 387: 0.0006710552800856732
Position 1292: 0.0006051757468731254
Position 14: 0.000595531970115318
Position 4033: 0.0005720695240509532
Position 717: 0.000543630038685213

Sorted 3' Splice Sites (High to Low Probability):
Position 12268: 0.9999996555754208
Position 22045: 0.9996059175685528
Position 29721: 0.97174846667382
Position 16522: 0.7719731021439327
Position 33901: 0.6987913122781214
Position 2907: 0.5908514898574102
Position 12509: 0.36992935190598475
Position 35572: 0.3379766279737223
Position 1395: 0.17612670284861806
Position 12523: 0.16327624717785372
Position 33851: 0.161718596908594
Position 34884: 0.13372044620057214
Position 34431: 0.07545939171062968
Position 29922: 0.05168823732241644
Position 2939: 0.019688719663548564
Position 4372: 0.016674636934222928
Position 2846: 0.01660656740477797
Position 31132: 0.015400924099404125
Position 30026: 0.010691928118164896
Position 1329: 0.009926469619368172
Position 28248: 0.009864933962874939
Position 26349: 0.008850649301880821
Position 22262: 0.005166528919897339
Position 2807: 0.004881999545438411
Position 24010: 0.0025795041694316916
Position 12536: 0.001967263575319024
Position 12546: 0.001966512294306113
Position 4368: 0.0017723862878957076
Position 1542: 0.0005773411336434081
Position 3790: 0.0005720695240509532
Position 1333: 0.0003363800769953644
Position 1060: 0.00031679481214499206
Position 1034: 0.0002560262510659952
Position 1102: 0.00018107301053926468
Position 19316: 0.00017860656215589087
Position 14056: 3.833455884684985e-05
Position 12729: 3.58667179457263e-05
Position 14302: 3.160628925278643e-05
Position 13253: 8.640172427718403e-06
Position 15105: 7.740358001485067e-06
Position 3119: 1.3138699412182702e-07
