Gene = TMF1
index = 1457
Annotated 5SS: [  359  4946  7812  8554  9497 12753 13461 13740 17281 18756 22489 24078
 24404 26308 26744 28249]
Annotated 3SS: [ 3740  7707  8426  9390 12609 13293 13582 17187 18598 22295 24007 24310
 26205 26590 28122 28982]
SMsplice 5SS: [  359   736  3628  4172  7812  8554 12753 13461 13740 17281 22489 24078
 24404 27448 28249]
SMsplice 3SS: [  658  3530  4079  7634  8426 12609 13293 13582 17187 22295 24007 24310
 27323 28122 28982]
top_k =  100
Partition function (log Z): 14.251385814117853

Sorted 5' Splice Sites (High to Low Probability):
Position 4172: 1.0000000000000002
Position 7812: 0.9999076526214726
Position 27448: 0.9976043264191728
Position 24078: 0.996551772910605
Position 359: 0.9903415528568045
Position 13461: 0.9857745917660173
Position 8554: 0.9771761315008546
Position 17281: 0.9420804682562087
Position 24404: 0.9283325995414701
Position 13740: 0.8624521615189954
Position 12753: 0.7233237757930835
Position 28249: 0.7230289015175932
Position 736: 0.7224109717617777
Position 3628: 0.6193055337323131
Position 22489: 0.6136265485467749
Position 26308: 0.4800220315557999
Position 29483: 0.4665432620532006
Position 9497: 0.4590009167381295
Position 29159: 0.44336706741632526
Position 7403: 0.2858182716033443
Position 26744: 0.28401513455815247
Position 88: 0.22335863882438697
Position 4946: 0.21411244381429193
Position 3941: 0.21336627736118255
Position 17583: 0.16898950668207538
Position 9058: 0.16474226897640265
Position 4955: 0.15433319855890681
Position 56: 0.15283232791753293
Position 30221: 0.11851640395623154
Position 3555: 0.11814142758868468
Position 729: 0.09826511323672371
Position 17758: 0.07890683774016682
Position 3615: 0.0780242339582308
Position 5750: 0.07525877712988754
Position 17317: 0.05479707648065558
Position 29070: 0.04723457500908216
Position 3640: 0.0468643846679994
Position 18756: 0.04345216090881462
Position 14359: 0.04270698493544995
Position 20573: 0.03373849027590051
Position 14627: 0.027884670816272997
Position 29081: 0.01359997782107552
Position 17715: 0.011932738452079416
Position 3595: 0.008018995271112429
Position 1252: 0.006529615724805876
Position 28213: 0.006448233215793643
Position 8798: 0.006365369552756737
Position 13396: 0.005439006995054358
Position 2169: 0.004369995195952427
Position 27763: 0.0040737760569510145
Position 421: 0.003233352067016514
Position 17293: 0.0031224552631337974
Position 38: 0.0013690367448487243
Position 740: 0.0011831011652217159
Position 557: 0.0007676956040345653
Position 82: 0.00041045331091947346
Position 585: 0.0002330674622006424
Position 1548: 0.00015056140834640493
Position 182: 7.982653324919314e-05
Position 221: 2.0431355508521975e-05
Position 29: 9.276973528858679e-06
Position 225: 4.096936431768129e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 24007: 0.9999999999999981
Position 17187: 0.9987312528515501
Position 27323: 0.9976043264191725
Position 4079: 0.9905012534870703
Position 7634: 0.9706292031656772
Position 24310: 0.9248843724520761
Position 13293: 0.9237742339752283
Position 3530: 0.8703545752183401
Position 12609: 0.7233237757930845
Position 28122: 0.6869422500531995
Position 28982: 0.655110598207753
Position 22295: 0.6136265485467755
Position 29381: 0.5285731465897523
Position 8426: 0.5277741104206075
Position 13582: 0.4396014711083049
Position 13605: 0.42271910555599884
Position 32328: 0.41997518527336053
Position 8476: 0.40148919833304586
Position 658: 0.3546708141830208
Position 642: 0.35459808129383097
Position 161: 0.35303375371645407
Position 7309: 0.28581827160334417
Position 26590: 0.2840151345581525
Position 3740: 0.2228650238741108
Position 4819: 0.20513069031715245
Position 9390: 0.19545290500960408
Position 17483: 0.19131097477918288
Position 9374: 0.18049911808657426
Position 8867: 0.15694617310615652
Position 26205: 0.1496349303824986
Position 26231: 0.14074111420744653
Position 29015: 0.13916417965586722
Position 30053: 0.1367384845450387
Position 30325: 0.10794695837093868
Position 26135: 0.10640570043330272
Position 612: 0.10461361194821199
Position 4721: 0.0873059582952
Position 26185: 0.08324028653255214
Position 4696: 0.07576264130865142
Position 9278: 0.0720431442367438
Position 13395: 0.06757094964053492
Position 30023: 0.06231990113299441
Position 5677: 0.05065636925563034
Position 17621: 0.047311987178504544
Position 14253: 0.04255739408096519
Position 27845: 0.03790942987416778
Position 7542: 0.02927844945579483
Position 29357: 0.02800769780699991
Position 14507: 0.027884670816273008
Position 8322: 0.02616051918182018
Position 18598: 0.02575809016916695
Position 5482: 0.02460240787425722
Position 20325: 0.022535649127798388
Position 17582: 0.021206120916634513
Position 8226: 0.018876152880335607
Position 18583: 0.017694070739647665
Position 8690: 0.014161465423002768
Position 20435: 0.011202841148102117
Position 9200: 0.011005749405207136
Position 27907: 0.010508407878315005
Position 240: 0.00864454523250012
Position 1130: 0.006529615724805873
Position 508: 0.005194636001824588
Position 293: 0.005174733990997012
Position 2046: 0.004277827505655482
Position 27614: 0.0036923782671377543
Position 28325: 0.003146508020087455
Position 539: 0.003068173413075627
Position 8045: 0.0028761506850454037
Position 24482: 0.002395673580827316
Position 309: 0.0021249697262522888
Position 273: 0.0014835728070702315
Position 17214: 0.0012531280702641685
Position 248: 0.0006572398472481269
Position 27555: 0.00038139778981326075
Position 261: 0.00029064980481728045
Position 279: 0.00028203300182923306
Position 4572: 0.00024635245219464255
Position 208: 0.00023229039187847473
Position 14267: 0.00014959085448474908
Position 168: 9.53505490050872e-05
Position 2106: 9.216769029694241e-05
Position 282: 8.433459025004725e-05
Position 258: 7.904876168516704e-05
Position 1355: 7.536829295637398e-05
Position 1387: 7.519311539003087e-05
Position 467: 4.84203270999782e-05
Position 458: 4.665168490348538e-05
Position 313: 4.607535606799362e-05
Position 460: 4.254100894708403e-05
Position 16979: 1.561907818460249e-05
