Gene = CHCHD4
index = 368
Annotated 5SS: [ 204 8433]
Annotated 3SS: [ 8333 11663]
SMsplice 5SS: [ 204 2942 8433]
SMsplice 3SS: [ 2828  8333 11663]
top_k =  100
Partition function (log Z): -6.40372615492751

Sorted 5' Splice Sites (High to Low Probability):
Position 8433: 0.9998274458796678
Position 2942: 0.8573972944719033
Position 204: 0.5932961359049569
Position 315: 0.24058539764861306
Position 9763: 0.12954402362505588
Position 456: 0.0889988452298286
Position 2913: 0.08171381534067734
Position 3988: 0.07911609466355171
Position 160: 0.07706418557578826
Position 3941: 0.05913131967621238
Position 6753: 0.055909201782838536
Position 9516: 0.04826900077565856
Position 7321: 0.043080569559365185
Position 9750: 0.03746267583628516
Position 10953: 0.022323646267039757
Position 9366: 0.017253552035652906
Position 12292: 0.007675949342901691
Position 10968: 0.007053143824601275
Position 10496: 0.006955173285287729
Position 10456: 0.006284365796602634
Position 9627: 0.004080193834773616
Position 8692: 0.00405754995535023
Position 8799: 0.003994844776617713
Position 9631: 0.0036478401966118933
Position 2848: 0.002605604875435641
Position 1025: 0.0011719418185459599
Position 9143: 6.969099391736777e-05
Position 762: 2.9875227224301902e-05
Position 129: 1.5090026366033391e-05
Position 479: 2.8755146690037257e-06
Position 418: 2.4768183481037783e-06
Position 460: 1.7701704320128852e-06
Position 635: 1.2403032692232337e-06
Position 536: 1.0267575008195258e-06
Position 484: 5.808842829996098e-07
Position 69: 4.999387230751395e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 8333: 0.9912786170495143
Position 11663: 0.626580478919174
Position 2771: 0.47461121431338904
Position 2828: 0.4627675879392715
Position 11775: 0.1779170209991618
Position 9660: 0.1535568829525838
Position 3763: 0.12320385227578622
Position 9501: 0.06572945060651744
Position 12513: 0.0381751439722827
Position 12211: 0.034157036565549886
Position 9417: 0.03182614384296643
Position 11490: 0.031638088802623913
Position 7196: 0.03118720358484081
Position 10866: 0.02937679009164099
Position 6605: 0.024671146468975537
Position 8519: 0.023817850886194276
Position 6584: 0.021020287154433846
Position 9234: 0.02075988140705147
Position 3814: 0.015216116184312825
Position 10275: 0.013567687149097887
Position 7119: 0.011893365974524372
Position 12336: 0.0109127098395443
Position 6708: 0.010217768159429173
Position 8186: 0.008548828830153241
Position 11827: 0.008528086407177731
Position 9266: 0.007897724813073262
Position 9552: 0.006515484894036732
Position 10329: 0.00596870878295274
Position 11114: 0.004592839171744949
Position 2912: 0.004337912435355896
Position 9399: 0.003239941957851628
Position 10245: 0.0020213046317082953
Position 9133: 0.0016405175099236833
Position 954: 0.0003721938442423498
Position 744: 0.0003283121493733768
Position 907: 0.00028772672289309426
Position 887: 0.00018370910203713829
Position 9045: 3.359331031810358e-05
Position 9017: 2.764930112460424e-05
Position 8591: 1.8079611721693043e-05
