Gene = CDCA8
index = 338
Annotated 5SS: [  367   616  3533  6560  8104  9401 10930 13150 14647]
Annotated 3SS: [  486  3491  6486  8017  9335 10833 13022 14559 15903]
SMsplice 5SS: [  161   367   616  6560  8104  9401 10930 14647]
SMsplice 3SS: [  257   486  6486  8017  9335 10833 14559 15903]
top_k =  100
Partition function (log Z): 8.672416344665802

Sorted 5' Splice Sites (High to Low Probability):
Position 616: 1.0
Position 367: 0.9994660488494742
Position 161: 0.9977090266788933
Position 14647: 0.8768052013633473
Position 6560: 0.8696882660175559
Position 8104: 0.8593264347301681
Position 9401: 0.8314003238985822
Position 10930: 0.7659526245270863
Position 5712: 0.3822772715650934
Position 4454: 0.15306358106836906
Position 13150: 0.14730551524812852
Position 4448: 0.11273176891618625
Position 3533: 0.11252316961398622
Position 8081: 0.1053314392734183
Position 6330: 0.0918880172128175
Position 15413: 0.04447700598900496
Position 14920: 0.039208163758941504
Position 8120: 0.023946577766100093
Position 16111: 0.019146245830552213
Position 12814: 0.010406530616321668
Position 5936: 0.007734340446190991
Position 8330: 0.007667341347790291
Position 8026: 0.007286059174778106
Position 6609: 0.007068014806197552
Position 4507: 0.007055305259198693
Position 2350: 0.004026372306482783
Position 7038: 0.003932397264779818
Position 130: 0.0018692938383490063
Position 419: 0.0005029947741915806
Position 98: 0.00010492915488338326
Position 185: 8.928977110197245e-05
Position 63: 4.193482564872032e-05
Position 20: 3.4954292713198086e-05
Position 91: 3.414803686186704e-05
Position 85: 2.973439006557621e-05
Position 401: 2.3241548624385755e-05
Position 55: 1.836495929894275e-05
Position 30: 1.6516370884816374e-05
Position 194: 1.1359641842413319e-05
Position 146: 9.241730061539512e-06
Position 361: 6.260084763670218e-06
Position 74: 5.914148537807886e-06
Position 188: 3.921244356211522e-06
Position 69: 2.816964726366979e-06
Position 33: 6.440643359250089e-07
Position 165: 4.002339024790896e-07
Position 300: 3.2813795603394826e-07
Position 218: 2.2948539280785594e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 486: 0.9995754983775305
Position 257: 0.9739203169254685
Position 14559: 0.8806488298174242
Position 6486: 0.8767562808237535
Position 15903: 0.849454498068123
Position 8017: 0.8203473783899924
Position 10833: 0.7659526245270865
Position 9335: 0.7288394665034179
Position 5589: 0.38225592556785143
Position 13022: 0.1526209027620419
Position 4386: 0.11923242732552011
Position 7921: 0.10969720395388148
Position 16279: 0.109347905682461
Position 3491: 0.10524627230733521
Position 9313: 0.1045091950245418
Position 4301: 0.1009274951651928
Position 14802: 0.06543574469989764
Position 7985: 0.06503903454303249
Position 15291: 0.06002294865712423
Position 6185: 0.05080182259799664
Position 6221: 0.04108619461482086
Position 283: 0.025860487240148958
Position 4368: 0.024748721500886202
Position 4360: 0.02264631057872863
Position 12695: 0.010406530616321668
Position 5878: 0.007734340446190991
Position 3468: 0.007210595371755545
Position 4179: 0.005295700673426221
Position 15623: 0.0052223569362928116
Position 8308: 0.004110170270361243
Position 2190: 0.0032693578565914836
Position 8186: 0.002572717631734848
Position 6898: 0.0021022875778076103
Position 9642: 0.002074377894485584
Position 6741: 0.0018301096869722078
Position 7903: 0.0014514910440582916
Position 2061: 0.0007570144498912991
Position 8195: 0.00033985645919510477
Position 503: 0.0001682741400939616
Position 9924: 0.0001662300427451031
Position 536: 0.00014949178580819688
Position 581: 0.00010616412624246442
Position 351: 0.00010017306124713756
Position 3285: 6.63019348954604e-05
Position 287: 4.680241894727035e-05
Position 218: 2.1471182289535275e-05
Position 5440: 2.134599724193685e-05
Position 268: 9.502990792086247e-06
Position 325: 8.216607851812633e-06
Position 160: 7.610463202264147e-06
Position 295: 2.142963226390035e-06
Position 308: 2.085983980160252e-06
Position 332: 1.2901031584245087e-06
Position 292: 1.1297809537895751e-06
Position 516: 3.59347626272023e-07
Position 125: 3.303251782092484e-07
Position 563: 2.12222697829912e-07
Position 366: 3.318042143713568e-08
