Gene = CTC-534A2.2
index = 418
Annotated 5SS: [342]
Annotated 3SS: [4702]
SMsplice 5SS: [342]
SMsplice 3SS: [3142]
top_k =  100
Partition function (log Z): -11.084228016496528

Sorted 5' Splice Sites (High to Low Probability):
Position 342: 0.7961550458869008
Position 163: 0.20618496848137008
Position 3224: 0.07340228981708952
Position 899: 0.050585868403786684
Position 5780: 0.011459248555652038
Position 189: 0.006208867528667306
Position 546: 0.0037351474907927917
Position 656: 0.0006794137854579038
Position 1442: 0.0005557059978045856
Position 148: 0.0005344360485455397
Position 182: 0.0003216477536371867
Position 266: 4.059404836748978e-05
Position 136: 3.600726995609467e-05
Position 76: 3.415067894471905e-05
Position 222: 2.9524981425696605e-05
Position 132: 1.3243444930421367e-05
Position 273: 2.96071223858595e-06
Position 52: 1.4792811888326433e-06
Position 10: 1.1531865716189798e-06
Position 54: 1.1004999283992952e-06
Position 26: 1.0424226176578288e-06
Position 413: 9.396046854477793e-07
Position 302: 9.006669433315026e-07
Position 246: 9.745077000955013e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 3142: 0.25738531080594856
Position 3317: 0.16725317249694233
Position 6104: 0.10709591219640187
Position 3284: 0.08576597074822825
Position 578: 0.08165669837051287
Position 3715: 0.07051478064492532
Position 5319: 0.05391381888067431
Position 508: 0.04091726636758075
Position 4702: 0.03929922248958825
Position 528: 0.0367932239040287
Position 4763: 0.032537569733199795
Position 5679: 0.025557561655164797
Position 1547: 0.016470104237333555
Position 269: 0.015568758461090732
Position 440: 0.015174458249394143
Position 246: 0.014812570474403755
Position 4654: 0.014446593268324592
Position 960: 0.011447245986916876
Position 1014: 0.011369614543968173
Position 4392: 0.01094752087587273
Position 474: 0.00911624750955709
Position 1568: 0.00823384784555571
Position 4052: 0.004486369471898713
Position 795: 0.0039469141353816505
Position 2604: 0.0037648981447647154
Position 889: 0.0024101102041805544
Position 5568: 0.0021071921973519533
Position 2065: 0.001831548986821251
Position 416: 0.0014402795050894642
Position 1725: 0.0012733587829140012
Position 817: 0.0011772421215103732
Position 1295: 0.0003720630342577546
Position 643: 0.0002715963555431108
Position 319: 0.00025533582581261814
Position 1342: 0.00010573432680425132
Position 260: 9.45615297679797e-05
Position 1205: 7.790863674257921e-05
Position 284: 4.8389744014652866e-05
Position 735: 2.373014225055298e-05
Position 221: 1.5246441926500834e-05
Position 322: 4.6506293309490406e-06
Position 302: 1.1980506072837811e-06
Position 175: 2.065060360318136e-08
Position 99: 1.5335082389996367e-08
