Gene = PP2D1
index = 1056
Annotated 5SS: [  281 11301]
Annotated 3SS: [10233 26147]
SMsplice 5SS: [242]
SMsplice 3SS: [26387]
top_k =  100
Partition function (log Z): -19.056536158771102

Sorted 5' Splice Sites (High to Low Probability):
Position 242: 0.7436242535541563
Position 281: 0.24529799642358582
Position 1867: 0.09316670214072521
Position 2994: 0.0714597273154014
Position 29: 0.015646768939930528
Position 7484: 0.013175492434808193
Position 486: 0.007288266309919071
Position 1818: 0.002042012647386647
Position 52: 0.0005164596162517745
Position 1814: 0.0001979104382152226
Position 45: 1.1621240948966304e-05
Position 93: 8.001062915930185e-06
Position 192: 6.570044453934569e-06
Position 57: 2.9092977258397522e-06
Position 33: 8.359924261621175e-07
Position 11: 6.019756139715607e-08
Position 60: 4.2751896876854156e-08
Position 326: 4.321278772363986e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 7226: 0.2604614019996793
Position 2876: 0.17173567575294746
Position 372: 0.14150432800816354
Position 538: 0.09509283970478144
Position 10233: 0.08538580387455007
Position 3769: 0.061215940390957596
Position 1746: 0.056854393995925234
Position 4946: 0.04807516963565581
Position 5192: 0.041641735779425114
Position 7580: 0.03358147263051042
Position 1555: 0.031310321577419024
Position 4333: 0.029138018607190008
Position 3401: 0.024894199542079987
Position 8582: 0.018695861597619108
Position 558: 0.01500335616441533
Position 3607: 0.011493824061230945
Position 2872: 0.009380383339496616
Position 4564: 0.008493466458102115
Position 1721: 0.007791121209768999
Position 6091: 0.0057294125314720995
Position 147: 0.004980619275542356
Position 4589: 0.004752902160728366
Position 1692: 0.004637443817651497
Position 1412: 0.0026535187015545975
Position 1697: 0.00265069711230459
Position 2707: 0.0025321160132264816
Position 3438: 0.002387294603452449
Position 4062: 0.002285338854064909
Position 341: 0.0022400076805841745
Position 2470: 0.0021321490651134206
Position 534: 0.0016002982235804476
Position 2922: 0.0013124098455530029
Position 1817: 0.0006665279693736604
Position 93: 0.00011757309045456069
Position 192: 1.337049066132274e-05
Position 97: 3.722790333389786e-06
Position 411: 4.2241614289404103e-07
Position 318: 2.5796173344077043e-07
Position 253: 1.0225633223558781e-07
Position 204: 5.7447925744132114e-08
Position 226: 3.348350868779527e-08
Position 198: 2.3324387055484495e-08
Position 76: 9.580646415598068e-09
Position 241: 3.4402941512646206e-09
Position 206: 2.5386902082200173e-09
Position 262: 1.835211157145394e-09
