Gene = TSPAN12
index = 1499
Annotated 5SS: [  538  1660 18331 19581 42629 47895 51809]
Annotated 3SS: [ 1523 18247 19444 42553 47786 51664 69459]
SMsplice 5SS: [  154   538  1660 14810 18331 18820 19581 19757 24016 35597 42629 45386
 47470 47895 51809 57166]
SMsplice 3SS: [  368  1523 14604 18247 18731 19444 19649 23873 35504 42553 45228 47365
 47786 51664 57024 69459]
top_k =  100
Partition function (log Z): -31.583225982996794

Sorted 5' Splice Sites (High to Low Probability):
Position 1660: 0.9913862510732254
Position 538: 0.9321348215187844
Position 19581: 0.5428893128938125
Position 154: 0.48778482787007493
Position 124: 0.44173021175682126
Position 484: 0.06706736829498697
Position 302: 0.05387494033021031
Position 1664: 0.007871539133201209
Position 1319: 0.006834033987456056
Position 1335: 0.003565077146509341
Position 222: 0.0021942895335378253
Position 258: 0.0019824667732438175
Position 1272: 0.0011983780265820217
Position 1037: 0.0011778232266265328
Position 5549: 0.0011685499876028847
Position 8942: 0.0010642135102908784
Position 2682: 0.0005528907562830268
Position 1686: 0.0005172051165283129
Position 3038: 0.00037166465481502996
Position 1125: 0.00014122357898283073
Position 1029: 0.00012318349391995888
Position 1485: 8.029653329054758e-05
Position 226: 4.5792713496125576e-05
Position 1204: 3.811077697628253e-05
Position 1195: 2.6224090155589715e-05
Position 86: 2.425282307306093e-05
Position 1352: 1.9061395775896416e-05
Position 703: 1.5677038136195915e-05
Position 413: 3.9796739037821743e-07
Position 131: 3.2472399279866746e-08
Position 458: 1.4962009465601745e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1523: 0.9871419306827455
Position 368: 0.9750810383103494
Position 19444: 0.8728669440105967
Position 21940: 0.5428893128938164
Position 15405: 0.054445699787023426
Position 9823: 0.02542660138860789
Position 15598: 0.01960771352253049
Position 1551: 0.012768245467482914
Position 1154: 0.01170644517975337
Position 371: 0.009121077995948827
Position 5510: 0.005951956061708427
Position 5342: 0.005856612871372095
Position 2975: 0.004499789858009654
Position 8770: 0.0036276560133546463
Position 11173: 0.002545252372603245
Position 1788: 0.001790166633387841
Position 3494: 0.0014256751356438167
Position 505: 0.0014087973592745598
Position 455: 0.0012069149818650766
Position 2588: 0.0008028006630268418
Position 865: 0.0007481954556821237
Position 8322: 0.000690594137197412
Position 915: 0.0006015844792153171
Position 3473: 0.0005559151387110597
Position 6769: 0.00047397857058260645
Position 2939: 0.0003336438083309447
Position 7119: 0.0003219963223297379
Position 4131: 0.0002700765931991357
Position 6150: 0.0002452813166518583
Position 6430: 0.00024301585241487771
Position 1828: 0.00017124455782118738
Position 4934: 0.00014992809103839199
Position 1944: 0.00012958555903238705
Position 4362: 8.936489064372832e-05
Position 1318: 8.245493854926789e-05
Position 3861: 8.060591106932421e-05
Position 3362: 8.052309043752306e-05
Position 2054: 7.043782253046762e-05
Position 3000: 6.31326699461374e-05
Position 2908: 5.786588191188349e-05
Position 813: 5.3649358163763724e-05
Position 995: 3.8801006468118626e-05
Position 2735: 3.821277846674645e-05
Position 1850: 3.388920692962505e-05
Position 2391: 3.1879638976827386e-05
Position 1315: 1.5707800073957244e-05
Position 584: 1.5626636631357497e-05
Position 196: 1.417939992095312e-05
Position 200: 6.619683348489288e-06
Position 1357: 6.719640000769159e-07
Position 338: 2.8765444996905514e-07
Position 458: 2.388186206096069e-07
Position 231: 2.1708916513363619e-07
Position 402: 1.6363829902039808e-08
Position 420: 1.264507560526064e-08
Position 398: 1.131599498161405e-08
Position 209: 8.991190865126473e-09
Position 475: 6.724944507174383e-09
Position 222: 6.567539661289898e-09
Position 396: 5.7699183399889864e-09
Position 628: 3.4819940123297643e-09
Position 426: 3.3433221435262983e-09
Position 271: 2.6561136059456305e-09
Position 220: 1.976367583601905e-09
Position 529: 1.2967572395287106e-09
Position 273: 8.600484740126115e-10
Position 289: 3.6130639493465763e-10
Position 180: 1.9543014338798028e-10
Position 310: 8.416840784999516e-11
Position 283: 1.4336422579296006e-11
Position 167: 1.0431276538845452e-11
