Gene = UTS2
index = 1543
Annotated 5SS: [ 125  531 2620 3792]
Annotated 3SS: [ 507 2508 3747 5548]
SMsplice 5SS: [ 125 2620]
SMsplice 3SS: [2508 3852]
top_k =  100
Partition function (log Z): -9.369965127931561

Sorted 5' Splice Sites (High to Low Probability):
Position 125: 0.8925392670059907
Position 2620: 0.6323682307801335
Position 531: 0.32256125426927656
Position 2897: 0.18769674110080936
Position 3792: 0.10453210204310688
Position 2696: 0.0343349454694961
Position 1865: 0.014870300323773398
Position 255: 0.00011588586672470419
Position 324: 0.0001083311504574291
Position 348: 7.571541840801282e-05
Position 204: 7.540451176850253e-05
Position 62: 2.1064813281273778e-05
Position 430: 1.888335877000738e-05
Position 12: 7.5113878713708746e-06
Position 319: 6.85845133949102e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 2508: 0.6589221944128043
Position 3852: 0.2144140050819165
Position 464: 0.19063197005808502
Position 5482: 0.17239717660725273
Position 2793: 0.14213359015457958
Position 3747: 0.13572230200872243
Position 2790: 0.1267407322982195
Position 5548: 0.09778347887982064
Position 1773: 0.07598177752310112
Position 2982: 0.07413050870229808
Position 2690: 0.06397276918744906
Position 4999: 0.03543750403614396
Position 2360: 0.03303856107709332
Position 2643: 0.03196604903323243
Position 909: 0.020522506223425458
Position 1330: 0.01629087556321602
Position 507: 0.013324488001224342
Position 1647: 0.011999693927408024
Position 1840: 0.010498742301952496
Position 2244: 0.00791394239494555
Position 392: 0.007742254819272757
Position 2567: 0.007076077568312176
Position 192: 0.006423708533465336
Position 2087: 0.0053478119979749345
Position 699: 0.005233984135936508
Position 1298: 0.004208603505259637
Position 310: 0.0038543725040150376
Position 1666: 0.0037133182106366346
Position 348: 0.0026132101002648124
Position 559: 0.002198357023177962
Position 652: 0.0020658280485836254
Position 355: 0.0017921543610645119
Position 312: 0.001325929188581503
Position 395: 0.000880749063384757
Position 269: 0.0008766636527964052
Position 372: 8.55700799410257e-05
Position 323: 3.388173753946362e-05
Position 330: 1.9502151880997448e-05
Position 379: 1.1231382603045845e-05
Position 359: 3.7581735175620884e-06
Position 278: 6.790346221455246e-07
Position 436: 6.695604804011226e-07
Position 368: 5.497449362395628e-07
Position 255: 4.377289692168674e-07
Position 352: 2.2274163424045033e-07
Position 400: 5.653617838540392e-08
Position 365: 4.6893284906631674e-08
