Gene = PRRT3
index = 1081
Annotated 5SS: [  73 3294 3637]
Annotated 3SS: [2221 3480 4392]
SMsplice 5SS: [  73  253 3637]
SMsplice 3SS: [ 186 3480 4392]
top_k =  100
Partition function (log Z): -3.0596025522960315

Sorted 5' Splice Sites (High to Low Probability):
Position 3637: 0.9902457924555736
Position 73: 0.9664063799517703
Position 253: 0.8487320595014094
Position 3294: 0.4517864339291272
Position 952: 0.13663460970590968
Position 1360: 0.11399613054389314
Position 2303: 0.04905126534660661
Position 415: 0.0347457268065868
Position 47: 0.015542801434148441
Position 2925: 0.00906572715149338
Position 1892: 0.00822547329305881
Position 4269: 0.006288097596415247
Position 3056: 0.003251687679186252
Position 3525: 0.002751266598028189
Position 442: 0.0007302361601196295
Position 917: 0.00020858483051414063
Position 2245: 8.873667638727548e-06
Position 123: 1.0443629955299691e-08
Position 139: 6.128753065539796e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 3480: 0.921798774878638
Position 186: 0.7031605825678678
Position 4392: 0.5826444309976205
Position 3205: 0.19196199827228286
Position 151: 0.1594572329619249
Position 4291: 0.15068264281105068
Position 2924: 0.14669449105657065
Position 805: 0.13543739689707496
Position 3226: 0.10344029498752873
Position 1181: 0.09571139564082407
Position 3521: 0.07091525915993656
Position 6682: 0.0690750958188219
Position 2221: 0.04932640112538548
Position 5839: 0.032533091527273655
Position 6060: 0.027741198002692754
Position 5570: 0.02583696750439638
Position 6723: 0.021838317610013237
Position 1226: 0.01526031371099345
Position 3013: 0.012941337291931084
Position 4446: 0.012549617092468329
Position 4114: 0.009155816241468887
Position 2797: 0.009065727151493378
Position 4808: 0.008656248567616346
Position 5436: 0.008389870475658123
Position 1760: 0.008152377475687877
Position 4704: 0.007317283845919799
Position 4426: 0.005769718797770143
Position 5027: 0.005331667190236882
Position 5217: 0.0047934880516684476
Position 6015: 0.004012766223887298
Position 310: 0.003713329738907649
Position 3582: 0.003568267493147885
Position 6086: 0.0032252242544313224
Position 6139: 0.0029964126156663095
Position 4437: 0.002827676377032088
Position 4537: 0.0025407066888800357
Position 1106: 0.0022918758365293897
Position 4451: 0.0022144235455804056
Position 6698: 0.0021539030668114205
Position 3787: 0.0020038456331127113
Position 5394: 0.001831325631590785
Position 5457: 0.0015094267233227417
Position 3755: 0.0014531429170238559
Position 414: 0.000921411920653073
Position 3879: 0.0008761174758094163
Position 4117: 0.0008405254814924562
Position 4331: 0.0007186948956565017
Position 881: 0.0006922954906283965
Position 3372: 0.000584777072487038
Position 1066: 0.00040066084932663274
Position 326: 0.0001739197370323098
Position 563: 0.00011772592322315003
Position 780: 8.158172944733926e-05
Position 1625: 7.309581737093278e-05
Position 755: 6.30300311555582e-05
Position 1007: 5.319473928218703e-05
Position 498: 3.550024962378166e-05
Position 338: 2.6447664548623212e-05
Position 360: 2.0663535164612683e-05
Position 200: 9.894432498150295e-06
Position 728: 1.8794895884184743e-07
Position 159: 4.2460875473415815e-08
Position 271: 1.0070084227039175e-08
Position 212: 1.0038294350274494e-08
Position 223: 1.8279656021813775e-09
Position 121: 1.1761831952764612e-09
Position 229: 6.348833331151493e-10
Position 238: 5.650629548134425e-10
Position 241: 2.5449843569825904e-10
Position 235: 1.5831302881281485e-10
Position 218: 1.2269300346294437e-10
Position 220: 1.1890106293436908e-10
Position 208: 1.135874372803276e-10
Position 244: 1.0066748218120458e-10
