Gene = FNDC7
index = 560
Annotated 5SS: [  340   873  5375  6393  9936 13348 15409 16230 18272 20876 24868 29185]
Annotated 3SS: [  853  5119  6131  9677 13092 15150 15974 18016 20614 24837 29115 29267]
SMsplice 5SS: [  340  6393 15409 29185]
SMsplice 3SS: [ 6300 15150 29115 29267]
top_k =  100
Partition function (log Z): -19.591321731413963

Sorted 5' Splice Sites (High to Low Probability):
Position 1047: 0.6226402269338013
Position 340: 0.5711940685166752
Position 6393: 0.4933342194453854
Position 256: 0.40028298274389223
Position 3664: 0.06743036493184541
Position 873: 0.04150721359467691
Position 9026: 0.03817772377128365
Position 123: 0.02649825818998551
Position 1153: 0.001450286388257538
Position 260: 0.0008549307958194405
Position 1710: 0.0007946481005741724
Position 460: 0.00024717866765893066
Position 15: 0.00022046650230394228
Position 750: 0.00019915832858318131
Position 472: 9.135077588139106e-05
Position 677: 8.493143854605299e-05
Position 720: 7.421728087951276e-05
Position 743: 7.275118583696177e-05
Position 627: 7.085436439301405e-05
Position 299: 5.1693881026254624e-05
Position 203: 5.093503780030255e-05
Position 161: 2.2175876170875955e-06
Position 284: 2.1173887091674405e-06
Position 107: 1.8873143908779444e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 853: 0.7460322863835026
Position 6131: 0.33685950395845854
Position 9677: 0.2566935635567047
Position 6300: 0.21693570512576274
Position 3511: 0.07256783002358454
Position 6961: 0.06079825706023309
Position 3758: 0.057570307557939925
Position 10209: 0.052942860561488454
Position 1742: 0.051073910091933156
Position 8884: 0.04952516850210953
Position 7012: 0.04706605674031463
Position 4259: 0.04669781335143127
Position 4141: 0.04485863731610914
Position 3951: 0.038647586651178484
Position 7154: 0.03522542237366755
Position 8973: 0.03251690332621877
Position 8205: 0.01858136250943036
Position 7378: 0.018207435150547027
Position 1976: 0.017399980097141995
Position 8047: 0.01663132805206469
Position 6563: 0.01030378965794107
Position 4594: 0.008854813056178443
Position 5641: 0.005215211769099438
Position 5119: 0.004790770915724651
Position 1417: 0.0041716221350577
Position 4116: 0.003419559829610894
Position 2686: 0.0018798567496960672
Position 421: 0.0018788056919500154
Position 1623: 0.0016143698417613493
Position 2899: 0.001486288768488601
Position 2354: 0.0013062425762103817
Position 2294: 0.0012492997447742852
Position 807: 0.001246754305016111
Position 1393: 0.0007365381705897222
Position 1528: 6.415942057448734e-05
Position 1508: 6.38074752665933e-05
Position 894: 6.31139732662306e-05
Position 1570: 5.745981038814953e-05
Position 680: 4.060242560673397e-05
Position 664: 2.0758404878952678e-05
Position 1664: 1.7592237341840382e-05
Position 747: 1.757197803835855e-05
Position 959: 2.9283487564015214e-06
Position 863: 7.864129593178159e-07
Position 547: 5.8554579957353515e-08
Position 577: 2.522246365166507e-09
