Gene = HMP19
index = 659
Annotated 5SS: [  240  1281 18712 58735]
Annotated 3SS: [ 1129 18627 58623 61709]
SMsplice 5SS: [  240 16741 17042 18712 20676 24263 42554 43796 58735]
SMsplice 3SS: [16586 16851 18627 20599 24125 42448 43684 58623 61709]
top_k =  100
Partition function (log Z): -23.266125211323263

Sorted 5' Splice Sites (High to Low Probability):
Position 18712: 0.9999997448698175
Position 240: 0.9823293893968403
Position 24263: 0.7689557771072729
Position 20676: 0.7336348268553177
Position 1281: 0.6318965995200501
Position 1464: 0.16468866130248044
Position 723: 0.13824611643074042
Position 22133: 0.07955110356118894
Position 20801: 0.0633700399845571
Position 728: 0.03947170232969533
Position 27: 0.021965676211781585
Position 761: 0.017987820481420242
Position 24257: 0.008676626661887647
Position 559: 0.007762990393856607
Position 812: 0.00493077219530722
Position 678: 0.0032235273659512002
Position 1248: 0.0011032815778222137
Position 244: 0.0008667795838653761
Position 358: 0.000226097537335799
Position 378: 0.000218922366494302
Position 7: 9.878205705659493e-05
Position 428: 6.875283069872173e-05
Position 363: 1.3056355135382097e-05
Position 9: 3.683555006122421e-07
Position 230: 1.6545391040947008e-07
Position 19: 4.490027131700496e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 18627: 0.9999997448698178
Position 24125: 0.8658946326117545
Position 20599: 0.7185252986319851
Position 1129: 0.6368382048287012
Position 24724: 0.37259611168172346
Position 31665: 0.21295410310807744
Position 26698: 0.17571415567286885
Position 676: 0.11354628854469025
Position 1456: 0.10909568505076633
Position 26339: 0.09052868453659704
Position 596: 0.08235184922255498
Position 22052: 0.07955110356118883
Position 20567: 0.05480260706587964
Position 1415: 0.03298275534318073
Position 20613: 0.026167483391508074
Position 26640: 0.02410450762909546
Position 25636: 0.017151905223708776
Position 1308: 0.012151334078409026
Position 444: 0.008984173441460248
Position 143: 0.005812050539602609
Position 21143: 0.005723706756888527
Position 24066: 0.004914749124155745
Position 103: 0.003120091673047284
Position 25268: 0.0029235945915486363
Position 21140: 0.0026354754530614746
Position 1109: 0.0020836517328573136
Position 1074: 0.0017879845640746258
Position 636: 0.0013576738086499335
Position 106: 0.001257519391420702
Position 993: 0.0008326678685025928
Position 874: 0.0008287698105999272
Position 407: 0.0006797378164819783
Position 930: 0.000510336710836451
Position 338: 0.0002970150415238489
Position 953: 0.0002842104025566229
Position 521: 0.00024942732855176217
Position 956: 4.829012630625995e-05
Position 335: 2.6796727257403493e-13
Position 117: 8.290038612550271e-14
