Gene = KNCN
index = 751
Annotated 5SS: [ 151 2023]
Annotated 3SS: [1947 3405]
SMsplice 5SS: [ 151  981 1282 2023]
SMsplice 3SS: [ 829 1212 1974 3405]
top_k =  100
Partition function (log Z): -1.1188732243252548

Sorted 5' Splice Sites (High to Low Probability):
Position 2023: 0.9536392176921196
Position 1282: 0.7845142797663885
Position 151: 0.7335990989640092
Position 981: 0.6329223886272455
Position 96: 0.23886255739944687
Position 1486: 0.2059483600124985
Position 736: 0.043204456935181136
Position 491: 0.04308259190118006
Position 830: 0.034972385520807996
Position 3429: 0.028029542002309442
Position 2456: 0.021275094197089978
Position 2801: 0.016761905711821016
Position 2788: 0.0030458713736765917
Position 967: 0.0018055436972632614
Position 279: 0.0011938079394640082
Position 836: 0.0009338219409552014
Position 194: 0.0008462223920502631
Position 216: 0.0008076989201012952
Position 124: 0.0006557517544772237
Position 752: 0.0002975664891912248
Position 281: 1.535220465141358e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 3405: 0.8485917621561874
Position 1212: 0.7328003086310125
Position 829: 0.6037457939481058
Position 1974: 0.41633995555794107
Position 1947: 0.3433443732855518
Position 1440: 0.19006263738157203
Position 1764: 0.13014734780012638
Position 2617: 0.08157544931142542
Position 1795: 0.05068460759444353
Position 3287: 0.041796950443830694
Position 634: 0.038969096297527754
Position 1190: 0.03440367531469529
Position 694: 0.0312132036009998
Position 3547: 0.02891447313034335
Position 583: 0.02247359948135012
Position 2666: 0.020926293031717873
Position 2292: 0.018947855406478
Position 1138: 0.015853952038962005
Position 343: 0.014325955170104404
Position 763: 0.011278500878014254
Position 1157: 0.010184368429031795
Position 1980: 0.01006863180713428
Position 2477: 0.010013199198213023
Position 413: 0.004967003693741372
Position 1307: 0.004438726308668563
Position 3408: 0.003796313809288932
Position 1619: 0.0035774004926412417
Position 3563: 0.003567716184083044
Position 1173: 0.0033393041503142758
Position 2393: 0.0028501597889278047
Position 961: 0.0027985650274269147
Position 2101: 0.001410595301375001
Position 3308: 0.0013897054015676777
Position 3774: 0.0010059288243715694
Position 586: 0.0009653178665682053
Position 349: 0.0008505972133554006
Position 3725: 0.0006777434425426006
Position 1077: 0.0006725735655902058
Position 1244: 0.0006238737998379319
Position 893: 0.0005628880420455236
Position 1039: 0.00029355000187331764
Position 249: 0.00028248137910177613
Position 1055: 0.00024144183603438363
Position 1670: 0.00021456650691497223
Position 426: 0.00019631159815916745
Position 1018: 0.00019086710349604176
Position 308: 0.00016718944319350142
Position 455: 0.0001530668449097613
Position 473: 0.0001341677264454979
Position 215: 0.00011771373491217406
Position 420: 0.00010842076745296478
Position 300: 8.829672589858794e-05
Position 256: 2.477217567310643e-05
Position 1713: 1.835862261429824e-05
Position 1281: 1.793141642025807e-05
Position 735: 1.821021829038431e-06
Position 246: 1.466316184366416e-06
Position 203: 1.3937094343289658e-06
Position 224: 1.015126434151418e-06
Position 272: 9.467526433399141e-07
Position 289: 8.891862945758991e-07
Position 230: 2.855734253781928e-07
Position 158: 9.720882600657009e-08
Position 276: 6.185664157830886e-08
