Gene = RP4-777O23.3
index = 1186
Annotated 5SS: [  126 26395 50226 51959]
Annotated 3SS: [26274 50079 51822 53525]
SMsplice 5SS: [  126   354 13211 13540 17518 26395 46193 51959]
SMsplice 3SS: [  224 13082 13331 17347 26274 46025 51822 52864]
top_k =  100
Partition function (log Z): -29.17487902227263

Sorted 5' Splice Sites (High to Low Probability):
Position 126: 0.9909388402619983
Position 354: 0.9181293999645437
Position 1467: 0.14782958192445345
Position 1925: 0.11002573300077582
Position 3783: 0.06765914315013201
Position 4050: 0.01606485809468372
Position 4129: 0.008703685436870872
Position 1215: 0.007261168186374353
Position 103: 0.0032232036432418
Position 93: 0.000459438339536617
Position 170: 0.00014190672576037264
Position 54: 9.611500045492578e-05
Position 1194: 9.16149556626966e-05
Position 1219: 8.378624069215016e-05
Position 1464: 7.980015761821445e-05
Position 702: 5.2172052433567885e-05
Position 1204: 4.251769393628173e-05
Position 670: 3.7655232488015335e-05
Position 155: 8.0533333166041e-06
Position 91: 7.825882063650104e-06
Position 113: 3.297551123158791e-06
Position 9: 1.1247225835318474e-06
Position 7: 1.0503866468766022e-06
Position 111: 2.3508919698713055e-07
Position 38: 3.700991693899689e-08
Position 225: 3.299186247925475e-08
Position 242: 7.635774242015588e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 224: 0.6681133956926678
Position 1350: 0.2833956316061686
Position 13082: 0.267585657069295
Position 241: 0.21765888487385832
Position 5173: 0.1824710945700145
Position 11472: 0.17473373511170856
Position 6076: 0.08579489876410488
Position 3716: 0.06542706527046252
Position 1611: 0.0591085895013852
Position 3388: 0.03554184186810503
Position 1759: 0.035307737757244474
Position 253: 0.034984337056649065
Position 8078: 0.031758726409749506
Position 3991: 0.023850880758807595
Position 1798: 0.02133513014609381
Position 1828: 0.00808827991082857
Position 1554: 0.007413073677508613
Position 1755: 0.007406243205224712
Position 583: 0.006973651392310297
Position 3771: 0.006800429184607463
Position 1109: 0.0067770121446918625
Position 5366: 0.006585239414748107
Position 4263: 0.00596573573871637
Position 1779: 0.0059165160851012925
Position 2127: 0.004706616559281796
Position 3895: 0.004446596162519232
Position 2562: 0.0038070486371726392
Position 3185: 0.0023818723459526014
Position 3350: 0.0022322307026895662
Position 459: 0.0018127258859111772
Position 1040: 0.001517362562685087
Position 333: 0.0005470018985077295
Position 1182: 0.00015393348441877273
Position 966: 9.524327958807732e-05
Position 1311: 7.076650243399093e-05
Position 913: 6.563345645185792e-05
Position 264: 5.48764068885543e-05
Position 1128: 3.472195261159068e-05
Position 1557: 1.8379002552177895e-05
Position 1448: 3.2731957211410254e-06
Position 184: 1.3363107465534292e-07
Position 125: 8.178763702017243e-08
