Gene = ISCA1
index = 718
Annotated 5SS: [  152  8341 10523]
Annotated 3SS: [ 8286 10416 16337]
SMsplice 5SS: [  152  8790 10523 11366 16419]
SMsplice 3SS: [ 8696 10416 11306 16337 17293]
top_k =  100
Partition function (log Z): -5.996608734694264

Sorted 5' Splice Sites (High to Low Probability):
Position 10523: 0.9999562681007644
Position 152: 0.968961192453182
Position 16419: 0.8706247266581716
Position 11366: 0.7843977337891567
Position 1224: 0.33862686009103243
Position 4795: 0.32375339541301623
Position 16878: 0.23579734169454952
Position 12518: 0.1521846618117224
Position 2829: 0.11876036248975168
Position 107: 0.01666978993501954
Position 561: 0.014369038414084247
Position 16703: 0.0036187783108207407
Position 1462: 2.319411843755056e-06
Position 787: 1.611599174294709e-08
Position 493: 6.356634832595442e-09
Position 712: 4.8717224476667424e-09
Position 429: 2.9365350392519814e-11
Position 98: 2.3048870296814128e-11
Position 73: 1.0624131831334196e-11
Position 216: 6.050675781127015e-12
Position 195: 1.5404748847274826e-12
Position 256: 2.605419666836119e-13
Position 156: 2.4514734903132617e-13
Position 86: 1.679530674149028e-13
Position 193: 2.456456367157039e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 10416: 0.9999562681007641
Position 11306: 0.7845801771246301
Position 17293: 0.6954354622654151
Position 16337: 0.6799887585732409
Position 4622: 0.2791892341113273
Position 1075: 0.22975151575553898
Position 16718: 0.22008128780925187
Position 16284: 0.19770398922184662
Position 16788: 0.1779241238859556
Position 12371: 0.15663299520263957
Position 16511: 0.07769823524211449
Position 2708: 0.07591575241803589
Position 1009: 0.06114163683293411
Position 4477: 0.044564161301688915
Position 16494: 0.02945092039539816
Position 1034: 0.027864378717500658
Position 2621: 0.023420103656348962
Position 1109: 0.01986880150830262
Position 2515: 0.019424506415366794
Position 16695: 0.007775835508708667
Position 15311: 0.006229094122028213
Position 16834: 0.003979842465337727
Position 16987: 0.0037123673183184235
Position 12710: 0.0026822512109645966
Position 12888: 0.0016814157810205908
Position 11697: 0.0006219082165601507
Position 11455: 0.00023236827015941697
Position 10647: 0.0001684777515944903
Position 1608: 2.337990499156772e-05
Position 1337: 1.4517703041334672e-05
Position 2270: 8.153703047256003e-06
Position 1080: 1.8352029815275862e-07
Position 949: 1.1315965817453607e-07
Position 961: 8.609393277156196e-08
Position 1170: 7.95356139932312e-08
Position 617: 2.689820302658446e-08
Position 387: 1.4792010132143179e-08
Position 982: 1.4011840250241804e-08
Position 815: 9.545159637364342e-09
Position 972: 9.44924938127994e-09
Position 290: 9.146686564899357e-09
Position 899: 9.087738088955325e-09
Position 860: 8.43973071644081e-09
Position 748: 7.003036772910632e-09
Position 243: 2.3087407939400863e-09
Position 584: 8.7197377835932e-10
Position 595: 6.480355938639736e-10
Position 498: 4.6040597511253474e-10
Position 501: 3.0947001037049074e-10
Position 416: 2.129382414407762e-10
