Gene = ANLN
index = 86
Annotated 5SS: [  239  6614  9588 16761 18151 20899 21361 26079 27385 29674 30509 30939
 32187 33004 34138 34788 34937 35935 36231 37223 49485 54057 60032]
Annotated 3SS: [ 6459  9272 16374 17927 20707 21252 25951 27273 29437 30362 30790 32050
 32826 34010 34738 34879 35895 36208 37109 49397 53948 59858 62670]
SMsplice 5SS: [  239  6614  9588 16761 20899 21361 26079 29662 30509 30939 32187 33004
 34788 34937 37223 49485 54057 59507 60032]
SMsplice 3SS: [ 6459  9412 16675 20707 21252 25951 29437 30362 30805 32050 32826 34738
 34879 37109 49397 53948 59335 59858 62670]
top_k =  100
Partition function (log Z): 8.606030235445497

Sorted 5' Splice Sites (High to Low Probability):
Position 9588: 1.0000000000000062
Position 20899: 1.0000000000000058
Position 30509: 1.0000000000000056
Position 32187: 0.999978292007179
Position 21361: 0.9182582420708363
Position 34937: 0.9180036193818334
Position 33004: 0.9050072023914163
Position 37223: 0.8960045653377371
Position 6614: 0.8365023393854223
Position 26079: 0.8338978878007632
Position 29662: 0.7825752779012555
Position 239: 0.7594367117728219
Position 30939: 0.7511917116247667
Position 34788: 0.5791709199006194
Position 34138: 0.4679627231683509
Position 21825: 0.3740252294693365
Position 35632: 0.2812123901484988
Position 35935: 0.2651867081008186
Position 5963: 0.25824157934651965
Position 243: 0.24056328822718265
Position 29674: 0.20341564582425684
Position 26103: 0.16381059044669566
Position 39740: 0.16038767531610057
Position 18151: 0.15421001574577867
Position 27369: 0.1511553991864995
Position 28455: 0.12203791621325395
Position 28477: 0.11025769492894077
Position 36269: 0.068256092874159
Position 27385: 0.05663299735025577
Position 23082: 0.043972783903700303
Position 30849: 0.042649711861309655
Position 28489: 0.03722834596152055
Position 6584: 0.03703482060661229
Position 31109: 0.03520222632699848
Position 29942: 0.023065084697527487
Position 29988: 0.011098859511952684
Position 32376: 0.006881120301240852
Position 32653: 0.0049666540221166445
Position 32466: 0.004455280871479916
Position 29531: 0.0029649137728965796
Position 26107: 0.002291521752547035
Position 30046: 0.0019284439121432968
Position 26928: 0.0018432816473124656
Position 37365: 0.0017278191847242574
Position 33480: 0.001618581523599664
Position 26528: 0.0014025737950814749
Position 32555: 0.0013522655482347658
Position 26841: 0.0012771009936499503
Position 32991: 5.855533582697834e-06
Position 32986: 4.011296213520056e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 25951: 1.0000000000000062
Position 20707: 1.0000000000000047
Position 32050: 0.9911858138481522
Position 29437: 0.9888045584418119
Position 9412: 0.9871511376941013
Position 30362: 0.9797273230760739
Position 37109: 0.9098225825234015
Position 32826: 0.8790030001557742
Position 6459: 0.8735371599920339
Position 34879: 0.8349686319510089
Position 21252: 0.6520939535269071
Position 34738: 0.6363456013069185
Position 41850: 0.458770692447777
Position 34010: 0.39979748636742374
Position 30805: 0.33810253736799056
Position 39439: 0.3216715609364991
Position 35895: 0.29848017717046255
Position 35509: 0.28418336427602914
Position 28291: 0.26952395710371535
Position 5905: 0.25824157934651953
Position 30769: 0.2134009938727051
Position 27273: 0.20778839653675535
Position 38500: 0.20158406817395114
Position 30790: 0.18714707177920586
Position 21714: 0.17984009801046946
Position 17927: 0.15421001574577867
Position 21160: 0.14028489053651544
Position 21236: 0.12587939800741374
Position 21627: 0.11892179804336342
Position 37593: 0.10803973204173109
Position 33947: 0.06636065116947833
Position 22974: 0.04397278390370031
Position 36208: 0.04381299718045903
Position 29753: 0.0360924354565154
Position 21548: 0.03405690712124119
Position 30984: 0.033576605100683936
Position 30848: 0.029299680984287858
Position 34711: 0.028465100548266165
Position 38821: 0.025743739305613238
Position 21650: 0.024387451744709118
Position 32332: 0.01729851571155759
Position 21749: 0.01681897454955327
Position 32931: 0.01673535524396095
Position 9272: 0.012848862305904101
Position 30845: 0.012048559468361779
Position 30382: 0.011127300986094222
Position 30639: 0.009261703532165374
Position 37427: 0.008877217399902769
Position 32080: 0.008792478159027922
Position 38993: 0.008442502946213286
Position 32779: 0.007871118811867183
Position 30735: 0.006206497707674315
Position 30328: 0.003986470483286463
Position 30364: 0.0028817758413266607
Position 26780: 0.0023611319845879084
Position 34049: 0.0018045856314486794
Position 30306: 0.0016928497653792283
Position 26233: 0.0014025737950814753
Position 33124: 0.0013762388875574259
Position 32973: 0.0008344334406041391
Position 26684: 0.0007592506563745074
Position 37271: 0.0007418220362577136
Position 30217: 0.0005842325129525917
Position 32739: 0.0005715668900158199
Position 32526: 0.0003568050315146016
Position 33384: 0.00024234263604223957
Position 29313: 0.0001512790565975689
Position 32706: 8.785184974097283e-07
Position 32702: 7.161604917531749e-07
