Gene = MLH1
index = 850
Annotated 5SS: [  332  3378  7722 11143 13732 15574 18531 18768 21213 24268 27132 32676
 35601 46963 49000 54352 55278 55686]
Annotated 3SS: [ 3286  7622 11068 13658 15481 18487 18678 21099 24173 26977 32304 35451
 46853 48935 54186 55184 55571 57153]
SMsplice 5SS: [  559  3378 11143 13732 15574 18531 18768 21213 27132 30627 35601 46963
 49000 55278 55686]
SMsplice 3SS: [ 3286 11068 13658 15440 18487 18678 21099 26977 30533 35451 46853 48935
 55184 55571 56283]
top_k =  100
Partition function (log Z): -8.134905470842016

Sorted 5' Splice Sites (High to Low Probability):
Position 18768: 1.0000000000000009
Position 13732: 0.9999999999999997
Position 3378: 0.9905480933215516
Position 35601: 0.988069468896114
Position 11143: 0.9730545461035678
Position 15574: 0.8624328898954322
Position 21213: 0.8446780571486384
Position 27132: 0.7160313079288738
Position 1015: 0.7021273595225632
Position 559: 0.6409482400340207
Position 18531: 0.620730617723027
Position 24268: 0.4094325227367944
Position 332: 0.3513203253497593
Position 46963: 0.3278281196496257
Position 7722: 0.22261811008873336
Position 8061: 0.17947079999256374
Position 153: 0.12311434455850986
Position 134: 0.11961865780294766
Position 16192: 0.08028000575842974
Position 24538: 0.01976100708522466
Position 3151: 0.019337052278046683
Position 24418: 0.018186563629472175
Position 2314: 0.016472060734302952
Position 594: 0.015505542609933693
Position 110: 0.013935999734173646
Position 16198: 0.011097439790091885
Position 7717: 0.0051703269920711685
Position 608: 0.003852278813967467
Position 38776: 0.0031268015607604006
Position 3969: 0.0029764810458463168
Position 261: 0.0011831756626604715
Position 95: 0.0010118291592715503
Position 36290: 0.0009662381095252009
Position 1111: 0.000791364044126525
Position 221: 0.0004985476022036238
Position 508: 0.00036178850321570943
Position 285: 0.00033170908319588114
Position 41: 0.00019221929587220405
Position 430: 0.00010207404736900631
Position 234: 1.563209326861601e-05
Position 175: 9.878094268278377e-10
Position 190: 3.6569450604745205e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 13658: 0.9999999999999997
Position 35451: 0.9998541838136472
Position 11068: 0.9730545461035683
Position 18678: 0.9665969771326864
Position 3286: 0.9598593278138984
Position 46853: 0.8520576920071128
Position 21099: 0.8446780571486384
Position 26977: 0.716031307928874
Position 18487: 0.6541336405903405
Position 15440: 0.4520836339547964
Position 24173: 0.4094325227367949
Position 49927: 0.3278281196496257
Position 907: 0.31573640962810867
Position 869: 0.25333310015430793
Position 15481: 0.24989907925490065
Position 7622: 0.22778843708080457
Position 7921: 0.1794707999925639
Position 423: 0.1665314302261422
Position 15416: 0.11353864355382284
Position 504: 0.10408960894017127
Position 15969: 0.09137744554852152
Position 744: 0.07144146990936974
Position 39565: 0.05094980308302163
Position 15347: 0.046911533131911945
Position 37913: 0.0430646011410445
Position 882: 0.034973965446079266
Position 3291: 0.028500786483556882
Position 3046: 0.021525031302142776
Position 24417: 0.01977220681207572
Position 24267: 0.018186563629472175
Position 2056: 0.016472060734302966
Position 957: 0.015576503490455716
Position 39927: 0.012929639341921453
Position 39084: 0.008995045314337537
Position 36521: 0.008693526444277037
Position 425: 0.006598185976057562
Position 231: 0.0060126599869058505
Position 36141: 0.0032774097053717317
Position 38656: 0.0031268015607604062
Position 37412: 0.0030407427482717644
Position 3823: 0.002976481045846322
Position 35838: 0.0018460990908727333
Position 35874: 0.0016733798321844108
Position 35890: 0.001578482861171239
Position 37351: 0.0009292854360521113
Position 456: 0.00024865283752777514
Position 767: 0.00021506163266337962
Position 187: 0.00010282536397439975
Position 27307: 8.368718927795083e-05
Position 29622: 4.638481998433542e-05
Position 535: 3.507246046122759e-05
Position 435: 4.100797913597645e-06
Position 363: 3.4929853364986894e-06
Position 545: 2.9190224633855162e-06
Position 481: 2.893406491602735e-06
Position 258: 2.737006133099504e-06
Position 22068: 2.020600807291638e-06
Position 19602: 1.7211104231264594e-06
Position 22784: 8.027390091844971e-07
