Gene = NPR3
index = 958
Annotated 5SS: [  823 13098 27308 63121 69094 71306 73161]
Annotated 3SS: [12974 27140 62984 68998 71169 73075 74510]
SMsplice 5SS: [  823 13098 14404 27308 30232 30753 34165 63121 69094 73161]
SMsplice 3SS: [12974 14311 27140 30062 30650 34027 62984 68998 73072 74510]
top_k =  100
Partition function (log Z): -38.37884116028985

Sorted 5' Splice Sites (High to Low Probability):
Position 823: 0.9982335091868484
Position 13098: 0.9362075812261884
Position 14404: 0.7381301043359784
Position 16206: 0.216905014373898
Position 1713: 0.02077967665942279
Position 1006: 0.020238217387380304
Position 3201: 0.01308559842184135
Position 6226: 0.012625758321294183
Position 958: 0.011095517079903139
Position 1028: 0.00847556766776984
Position 216: 0.0013380899218979365
Position 86: 0.0009199908852569678
Position 267: 0.0006355152514397782
Position 814: 0.0006347722520405933
Position 354: 0.00040413608230338544
Position 464: 0.0003247313252540226
Position 2022: 0.00026177780017807455
Position 284: 0.00017349439400606337
Position 936: 8.961365831252813e-05
Position 720: 5.4728313582569594e-05
Position 1083: 3.4835296390866746e-05
Position 736: 3.0568705046902835e-05
Position 795: 3.0142231416852854e-05
Position 1010: 2.954090834109065e-05
Position 458: 1.6402678241210888e-05
Position 385: 9.545103785632202e-06
Position 69: 3.299934771876408e-09
Position 376: 1.7674929803122792e-09
Position 222: 3.8311181438020226e-10
Position 127: 3.7059968233054375e-10
Position 154: 8.272769782097264e-11
Position 133: 4.843860652256451e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 12974: 0.936207581226195
Position 14133: 0.7981823212964494
Position 18263: 0.4844303085657583
Position 16094: 0.3017431466013891
Position 15428: 0.18512624169426523
Position 15424: 0.05870254923433731
Position 904: 0.040470246858287824
Position 7982: 0.039213528569944166
Position 13250: 0.035384315375697396
Position 13655: 0.02767381716816931
Position 3106: 0.014860105357731978
Position 1399: 0.014060496289666371
Position 8754: 0.013908026760770915
Position 6079: 0.012625758321294218
Position 1580: 0.01124929654310226
Position 1117: 0.0015151183366372918
Position 548: 0.0009977595087039956
Position 757: 0.0009001209060297528
Position 1778: 0.0007569117491582471
Position 4660: 0.0006973638220025872
Position 1479: 0.0005234394807498938
Position 602: 0.0004267899907513206
Position 667: 0.00042443656171141196
Position 1182: 0.0002544572334141545
Position 930: 0.00016010787236828432
Position 728: 0.00011248079025588983
Position 957: 7.469546984306898e-05
Position 1983: 4.057735836726853e-05
Position 353: 2.4138481330330694e-05
Position 646: 1.4871345808303378e-05
Position 456: 1.5290138496471478e-06
Position 397: 1.3694905447454326e-06
Position 298: 3.701420838308097e-07
Position 236: 1.5800365481005793e-07
