Gene = GTF2B
index = 627
Annotated 5SS: [  136  4358 27638 31479 31737 34413]
Annotated 3SS: [ 4250 27503 31331 31606 34130 38271]
SMsplice 5SS: [  136  4358 27638 31479 31737 34413]
SMsplice 3SS: [ 4250 27503 31331 31606 34130 38271]
top_k =  100
Partition function (log Z): -23.540886294428727

Sorted 5' Splice Sites (High to Low Probability):
Position 4358: 0.9532166057597471
Position 136: 0.6228264937131583
Position 12: 0.2617766902788506
Position 1371: 0.174635769145545
Position 627: 0.12596156824188348
Position 11288: 0.08118387754266371
Position 74: 0.045478012375317
Position 1996: 0.021321844203166712
Position 4586: 0.006213313163106377
Position 237: 0.005428255391563233
Position 140: 0.004781436043331466
Position 384: 0.004410672113739937
Position 1201: 0.003894918974898226
Position 5584: 0.0021285321807753385
Position 4322: 0.0020960434334077365
Position 940: 0.0019947220837922873
Position 535: 0.0018290026401247353
Position 374: 0.0010311427743962863
Position 646: 0.0005048679761220172
Position 415: 0.00047475453429896046
Position 303: 0.00016932407942937938
Position 309: 9.160928028452742e-05
Position 8: 8.981846914225347e-05
Position 4354: 8.960136800180055e-05
Position 217: 8.104108620064238e-05
Position 358: 5.866132485868596e-05
Position 394: 3.6978961987517915e-05
Position 378: 2.106813933792142e-05
Position 571: 4.723019341046976e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 4250: 0.771956305846321
Position 13351: 0.36952494131064506
Position 4191: 0.1693743722749941
Position 1282: 0.16007147459792762
Position 5870: 0.15589712184953589
Position 11237: 0.10762194679760946
Position 7267: 0.0842827087887257
Position 7963: 0.08147317199701239
Position 558: 0.0748133647420916
Position 5613: 0.05717225552962635
Position 4433: 0.04374164832708137
Position 9335: 0.03524936358148148
Position 9156: 0.029556097383266963
Position 11559: 0.027870090855033367
Position 9133: 0.025889569800216446
Position 1921: 0.02204961654641703
Position 4194: 0.019677691578343842
Position 5895: 0.0187077286465748
Position 9630: 0.008987172298686192
Position 1103: 0.008498106482779388
Position 3453: 0.007912283308777772
Position 5525: 0.007892125097768023
Position 1231: 0.0069595802696046025
Position 600: 0.0067610459440485505
Position 4121: 0.0052264045104794925
Position 7983: 0.004752983920047175
Position 3552: 0.0026572580280666805
Position 6205: 0.0023838794106170024
Position 5812: 0.001517245125224381
Position 2350: 0.0015009603343383985
Position 3152: 0.0013079372900120098
Position 846: 0.00028184385943841393
Position 107: 0.00017953535587570847
Position 403: 2.7492302663076063e-05
Position 662: 1.907604713023108e-05
Position 829: 1.894823800685175e-05
Position 533: 1.3749304597524185e-05
