Gene = LECT2
index = 777
Annotated 5SS: [ 247 2164 3812]
Annotated 3SS: [2066 3665 7536]
SMsplice 5SS: [ 247 2164 3812]
SMsplice 3SS: [2066 3665 7536]
top_k =  100
Partition function (log Z): -1.1281259521240523

Sorted 5' Splice Sites (High to Low Probability):
Position 247: 0.9997201873584867
Position 2164: 0.99817033898405
Position 3812: 0.9267829439087714
Position 4074: 0.11994438766602862
Position 5843: 0.09122202288785505
Position 2336: 0.05404667524263586
Position 3039: 0.03199156681340816
Position 4916: 0.02151292401237483
Position 5085: 0.010280356036996199
Position 3052: 0.00839906418271406
Position 7718: 0.0073258623412154915
Position 3208: 0.0061920909933270395
Position 4413: 0.0025323564313362245
Position 4024: 0.0011954355411004384
Position 612: 0.0011000296522210066
Position 847: 0.0009495181026322416
Position 957: 0.0009429795211374261
Position 869: 0.0007730120342458196
Position 1682: 0.000701746523579259
Position 1799: 0.0006883342833402752
Position 1634: 0.0005880536272558969
Position 1288: 0.0005575973191109258
Position 756: 0.00047491291191283287
Position 1674: 0.0002531352772087274
Position 3821: 0.0002425833193831494
Position 666: 0.00017489963579760785
Position 1495: 0.00014935430234942372
Position 1602: 0.00013347759400136048
Position 973: 0.0001095723103037196
Position 1049: 0.00010489021748794193
Position 1281: 9.569492771240158e-05
Position 813: 8.581509516154953e-05
Position 2199: 1.2801107088960195e-06
Position 3021: 7.929424821372235e-07
Position 232: 1.3394602747942877e-07
Position 414: 6.439704290650846e-08
Position 191: 3.936064145475204e-08
Position 461: 1.650487808198991e-08
Position 504: 1.6310373373917263e-08
Position 117: 5.07393145578465e-09
Position 258: 4.855513769324566e-09
Position 436: 2.4956928834954023e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2066: 0.9955596268461413
Position 3665: 0.8757183130484475
Position 7536: 0.32363393479697633
Position 7486: 0.18784787885966128
Position 7628: 0.18246157849069156
Position 3990: 0.13480453967268208
Position 5698: 0.12804360055142502
Position 4815: 0.08669276791724861
Position 4121: 0.04964218303195848
Position 2248: 0.04509989229087273
Position 3878: 0.04328704478221995
Position 8079: 0.03935680785650743
Position 3668: 0.03629892948672882
Position 2994: 0.028829762267359754
Position 6886: 0.019283013590959592
Position 7204: 0.014672605702383148
Position 4023: 0.011860378952149184
Position 3753: 0.007594477018385339
Position 3555: 0.00746376420296101
Position 5745: 0.006656173588048448
Position 2943: 0.006631187144779665
Position 2314: 0.0060705867744213
Position 2850: 0.005836219673010865
Position 7181: 0.0052483055218614525
Position 6546: 0.004654820527641909
Position 5888: 0.0028312858317265945
Position 4073: 0.0027402650870009503
Position 2257: 0.0025825062432065188
Position 1431: 0.002514101607734939
Position 2792: 0.0025086615568738124
Position 6093: 0.0024777581596818732
Position 1904: 0.0016765910611730725
Position 2484: 0.0016618231922906268
Position 2814: 0.0016385364933886874
Position 4488: 0.0014284888162514836
Position 3287: 0.001157396503851852
Position 2708: 0.0011389579214801048
Position 593: 0.0011339053786995938
Position 850: 0.0010395440677994684
Position 4056: 0.0009616766570948793
Position 3517: 0.0007905747277704416
Position 2104: 0.0006792109511800364
Position 710: 0.0006620919957041763
Position 1206: 0.0006532922468233268
Position 2279: 0.0006527090469454906
Position 2075: 0.0006024268337113898
Position 656: 0.0005551351156555628
Position 2266: 0.0004667721816063537
Position 2311: 0.0004557112090869947
Position 863: 0.000176854345476563
Position 659: 0.00016487246316549805
Position 383: 0.00015684061647914784
Position 448: 0.00015075872364932872
Position 3480: 0.00013473841660927819
Position 755: 0.00012866818618029137
Position 950: 0.00010489021748794193
Position 520: 8.142191320608458e-05
Position 335: 8.111675998706082e-05
Position 1875: 2.1657187269088734e-06
Position 2149: 1.5699593781152795e-06
Position 1861: 1.180692364214433e-06
Position 1786: 1.0915318562754818e-06
Position 3020: 1.1870147043479965e-07
Position 2962: 7.11735680482455e-08
Position 2219: 1.5057066892740058e-10
