Gene = CRCT1
index = 409
Annotated 5SS: [51]
Annotated 3SS: [859]
SMsplice 5SS: [51]
SMsplice 3SS: [755]
top_k =  100
Partition function (log Z): -8.223993428928518

Sorted 5' Splice Sites (High to Low Probability):
Position 51: 0.881411069710964
Position 860: 0.2072474099128855
Position 193: 0.04874830962424775
Position 418: 0.03212387799486765
Position 23: 0.024473997107634073
Position 490: 0.005640887882418949
Position 494: 0.003540565574038828
Position 281: 0.002039445501593472
Position 175: 0.0015610692788408506
Position 20: 0.0009765288453041071
Position 240: 0.0009416367434921059
Position 867: 0.0006837428675946259
Position 46: 0.00015436277945274788
Position 225: 0.0001233113960176305
Position 68: 7.387492716347108e-05
Position 82: 4.534314775593287e-05
Position 55: 9.451172872169604e-09
Position 91: 6.033854689677384e-10
Position 27: 5.085607268406523e-10
Position 35: 2.838644397888413e-10
Position 10: 1.6740558472179362e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 755: 0.6993909484535301
Position 1012: 0.2693330659100995
Position 859: 0.10206314486133627
Position 1075: 0.03855495892921591
Position 896: 0.016593938237092674
Position 1078: 0.011874161946344886
Position 1331: 0.010942348958197314
Position 1312: 0.007922224049911216
Position 760: 0.007715173984266705
Position 1475: 0.006222583899776534
Position 1126: 0.0057682335703349245
Position 843: 0.004573537255305017
Position 1048: 0.004036499460278549
Position 1435: 0.003880754554609374
Position 175: 0.0034356287605983135
Position 915: 0.0031100150878776065
Position 556: 0.002410007499438484
Position 938: 0.002370749848571439
Position 1032: 0.002268994460562651
Position 408: 0.0017993136674996372
Position 792: 0.0010566929890651108
Position 289: 0.001000676628964701
Position 466: 0.0008886103841211485
Position 618: 0.0007262235240093486
Position 1161: 0.0005344174962672315
Position 159: 0.0004980449778611194
Position 1432: 0.0003083737311895893
Position 778: 0.00012930818412531096
Position 801: 6.200533533803582e-05
Position 118: 4.9759503575236946e-05
Position 280: 4.771837348140195e-05
Position 247: 3.7847551787919215e-05
Position 192: 3.7522853282590314e-05
Position 238: 3.43856161261565e-05
Position 353: 2.5817360864770158e-05
Position 132: 2.1732547942573298e-05
Position 361: 2.0405155615878004e-05
Position 355: 1.8940814268449178e-05
Position 261: 1.5578854893290208e-05
Position 125: 5.099031034334292e-06
