Gene = SSU72
index = 1344
Annotated 5SS: [  392 10097 30007 31001]
Annotated 3SS: [ 9952 29866 30881 32701]
SMsplice 5SS: [  263 10097 10536 12136 30007 31001]
SMsplice 3SS: [ 9952 10453 12003 29866 30881 32701]
top_k =  100
Partition function (log Z): -8.779074602428164

Sorted 5' Splice Sites (High to Low Probability):
Position 263: 0.842017334156409
Position 10097: 0.7990092541141103
Position 10536: 0.6382297481962402
Position 12136: 0.6303416993884143
Position 10520: 0.3436333348387911
Position 392: 0.11853237586512488
Position 10265: 0.0956385497869955
Position 10299: 0.08601951630605474
Position 10801: 0.02797441851940445
Position 6860: 0.026484343363387723
Position 10383: 0.01916599352792709
Position 268: 0.018466112414525192
Position 974: 0.01730079842963887
Position 10064: 0.016990970386223464
Position 5438: 0.016534074322262834
Position 7552: 0.011973932548116977
Position 10317: 0.01076460558617319
Position 5559: 0.01022405163909601
Position 4701: 0.007045057967805485
Position 1324: 0.00631005044805517
Position 10525: 0.004519711299425272
Position 10149: 0.004239389212323685
Position 566: 0.0039022297178383757
Position 149: 0.003839335008264841
Position 3350: 0.0035790284260247087
Position 888: 0.0029678007177099614
Position 1073: 0.0025462540891830737
Position 772: 3.111891968579956e-05
Position 709: 2.8883924802065888e-05
Position 13289: 1.9266998412260386e-05
Position 13261: 1.4125090134383509e-05
Position 11952: 8.227304594470073e-06
Position 657: 7.68579044098913e-06
Position 510: 7.544429045790047e-06
Position 700: 5.978449447623366e-06
Position 13231: 5.481617557673149e-06
Position 1092: 4.429720096785742e-06
Position 588: 4.383843561740802e-06
Position 514: 3.249434523771965e-06
Position 916: 2.7987676348305945e-06
Position 342: 4.2817539766587647e-07
Position 333: 1.6460405337178607e-07
Position 243: 1.1743729843486397e-07
Position 339: 5.770648530618171e-08
Position 128: 5.370284603063459e-08
Position 395: 2.6768714917894865e-08
Position 37: 1.9306941602357624e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 9952: 0.9999576050212949
Position 32701: 0.9990339425470329
Position 10453: 0.9424026489584945
Position 12003: 0.630566853976278
Position 10428: 0.04650608291866287
Position 6831: 0.026484343363387758
Position 10613: 0.02554455274702396
Position 10172: 0.01690345243578907
Position 5369: 0.016534074322262834
Position 10193: 0.014935785665166831
Position 7434: 0.011973932548116998
Position 5536: 0.010224051639096005
Position 854: 0.008379582923931777
Position 4589: 0.007045057967805497
Position 1245: 0.006310128053153917
Position 3103: 0.0035790284260247196
Position 475: 0.0012895984557335096
Position 15471: 0.00014553842324539721
Position 13106: 0.00013082567611559208
Position 13363: 8.385673935962873e-05
Position 16508: 8.287574175858542e-05
Position 14075: 6.761491186237857e-05
Position 14050: 4.7923982978391e-05
Position 16996: 4.6271572287772935e-05
Position 9987: 4.227952635331374e-05
Position 10148: 1.8430205250129523e-05
Position 15532: 1.7777472059490953e-05
Position 11013: 8.819980572155393e-06
Position 12696: 7.773711647759627e-06
Position 10801: 6.485093534367582e-06
Position 11769: 6.038304917607929e-06
Position 11010: 5.565669997555636e-06
Position 11828: 2.75781119456701e-06
Position 11836: 1.1425999739485895e-06
Position 11775: 8.258287206624853e-07
Position 12006: 4.4919885645909366e-07
Position 1446: 3.784725532441204e-08
