Gene = EIF2B5
index = 491
Annotated 5SS: [ 317 1473 2542 2812 2983 4894 5467 6807 7115 7340 7623 7879 8302 8961
 9444]
Annotated 3SS: [1347 2355 2633 2901 4815 5153 6660 6972 7237 7514 7787 8177 8834 9332
 9619]
SMsplice 5SS: [ 317 1473 2542 2812 2983 4894 5352 6807 7115 7340 7623 7879 8961 9444]
SMsplice 3SS: [1347 2355 2633 2901 4815 5153 6602 6972 7220 7514 7787 8834 9332 9619]
top_k =  100
Partition function (log Z): 25.65274005618256

Sorted 5' Splice Sites (High to Low Probability):
Position 7623: 0.9863530762981301
Position 2983: 0.9790555693157549
Position 7340: 0.9730785648641566
Position 9444: 0.9352140323588488
Position 4894: 0.8982473978335359
Position 5352: 0.8965418389399732
Position 8961: 0.8917608924036601
Position 317: 0.8431228645837822
Position 7879: 0.7640327778566507
Position 7115: 0.6944780222221644
Position 6807: 0.6188668852139982
Position 1473: 0.6154747789778287
Position 2812: 0.5830190462101899
Position 2267: 0.5384049364958472
Position 2542: 0.5057219436835099
Position 2465: 0.46109425794662995
Position 8178: 0.38948741119052793
Position 7131: 0.28663981367760993
Position 158: 0.2826531072904747
Position 2731: 0.19025203559193396
Position 7938: 0.16265871404941784
Position 8215: 0.13889533561935707
Position 4958: 0.07577783366079321
Position 8302: 0.06431824064069623
Position 7924: 0.05819312102180972
Position 2125: 0.04956902130547903
Position 8337: 0.048201348631565104
Position 9010: 0.036900865041090615
Position 839: 0.0325175233436001
Position 9492: 0.028504855436254983
Position 150: 0.02343093243561668
Position 1588: 0.02244290835783701
Position 5467: 0.021540144561760337
Position 8613: 0.02094373241785384
Position 485: 0.01890328302991198
Position 2728: 0.01819308660612777
Position 6246: 0.017828266977482944
Position 688: 0.017579079121410598
Position 109: 0.01647011679863475
Position 5889: 0.01618002197327415
Position 1624: 0.015933004440433742
Position 9124: 0.014904201727347587
Position 9742: 0.0143089292903699
Position 867: 0.013228779902722167
Position 5477: 0.013149783708016501
Position 7117: 0.012566450481700768
Position 3849: 0.01154163140405508
Position 8944: 0.009732531534251285
Position 2786: 0.008433880608605511
Position 2761: 0.008205109351019311
Position 6004: 0.0078052396803208
Position 2488: 0.006444773516621249
Position 871: 0.006087536441119619
Position 6513: 0.0055131319103745415
Position 7554: 0.003962525958184966
Position 957: 0.003802047434666817
Position 1412: 0.0036241684715510028
Position 4945: 0.0035310901628460545
Position 3033: 0.003135540642176116
Position 7102: 0.002811810844877881
Position 1552: 0.0027284806412976137
Position 7711: 0.0023588152524904185
Position 4874: 0.002100534077574303
Position 653: 0.0014458693907894759
Position 7563: 0.0013697692228084632
Position 9703: 0.0006403152681539255
Position 155: 0.0006006114948581658
Position 134: 0.00040659458601507856
Position 512: 0.00013799850091405445
Position 103: 0.0001049126676425272
Position 531: 5.2062011639186364e-05
Position 75: 3.32087275675191e-05
Position 644: 2.4243974993773558e-05
Position 47: 2.382338725234002e-05
Position 152: 2.373724384489383e-05
Position 9: 8.477205439198046e-06
Position 100: 4.081788782106316e-06
Position 31: 3.3599601020567325e-06
Position 3029: 2.329250107038086e-06
Position 137: 1.9858674388512217e-06
