Gene = FANCD2OS
index = 539
Annotated 5SS: [ 217 4034]
Annotated 3SS: [ 3448 26699]
SMsplice 5SS: [217]
SMsplice 3SS: [3448]
top_k =  100
Partition function (log Z): -18.334746508208738

Sorted 5' Splice Sites (High to Low Probability):
Position 217: 0.9735168189425235
Position 3658: 0.27042843894207713
Position 1791: 0.04183247621077002
Position 1578: 0.014117582624741679
Position 3209: 0.01084891049369368
Position 713: 0.008708163895363765
Position 171: 0.004979644372458818
Position 339: 0.003938908612472697
Position 4197: 0.0038619655206656237
Position 4782: 0.00333052468967323
Position 1966: 0.0027910833776188066
Position 745: 0.0025033370952819074
Position 425: 0.002438326452111289
Position 2112: 0.002079941557837676
Position 1401: 0.001966463000829914
Position 3148: 0.0017424883510684709
Position 3619: 0.0015513460120780774
Position 384: 0.00137754632435321
Position 1651: 0.0013555074735015732
Position 24: 0.0012929812814676115
Position 296: 0.0011051959145665271
Position 1286: 0.0009316576430479217
Position 8: 0.0009158776530235948
Position 2109: 0.0008337265392621165
Position 1645: 0.0008224474541206465
Position 3718: 0.00034010875140997427
Position 3585: 0.0003258014586167366
Position 62: 4.182008118612721e-05
Position 1088: 3.494214761739071e-05
Position 868: 2.3874485748954974e-05
Position 343: 2.0861393659841387e-05
Position 260: 1.9689540156973556e-05
Position 38: 6.0710057498153586e-06
Position 255: 5.11069755673269e-06
Position 395: 4.907262942049121e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 3448: 0.8891908645491192
Position 13340: 0.14937511187316305
Position 8058: 0.05230031586727326
Position 13084: 0.05086138110900405
Position 1329: 0.04426696585466685
Position 9134: 0.03439667418912062
Position 12635: 0.03148312716162045
Position 4663: 0.014178911111814808
Position 3064: 0.013693574645590668
Position 4114: 0.011450042344210768
Position 1668: 0.006758775673335626
Position 1935: 0.006469703066955026
Position 1693: 0.006328900359219788
Position 1604: 0.006179899030837373
Position 5391: 0.005828596364006479
Position 9094: 0.005377369701502913
Position 8975: 0.00525776574255045
Position 4117: 0.002964314686273759
Position 617: 0.0029248884967303375
Position 4856: 0.002405610513928134
Position 1170: 0.0020324230582398606
Position 543: 0.0019841997216238144
Position 1354: 0.0019674536839439723
Position 1898: 0.0019258990612337462
Position 1577: 0.001674380443397518
Position 1726: 0.00138176633450502
Position 620: 0.0009765670560957103
Position 3978: 0.0009687201589523135
Position 1563: 0.0007185606909312515
Position 3463: 0.0007154230484981164
Position 529: 0.0006971733612921987
Position 3770: 0.0006865502075016743
Position 4160: 0.0006780883133730247
Position 3848: 0.0006541323418711129
Position 142: 0.0005236758857965834
Position 1014: 0.00029651076106635197
Position 483: 0.00028723141167163687
Position 2483: 0.00022249139055751998
Position 569: 3.831957288368358e-06
Position 679: 2.259493841719606e-06
