Gene = SYF2
index = 1365
Annotated 5SS: [  50  390 3496 4376 5052 7492]
Annotated 3SS: [ 281 3369 4257 4960 7392 9061]
SMsplice 5SS: [  50  390 3646 4376 5052 7492]
SMsplice 3SS: [ 281 3340 4257 4960 7392 9061]
top_k =  100
Partition function (log Z): 14.808306619321366

Sorted 5' Splice Sites (High to Low Probability):
Position 4376: 0.9977128623983815
Position 390: 0.9858947402131537
Position 7492: 0.984704022167808
Position 5052: 0.9662822267864271
Position 50: 0.7378451645959481
Position 3646: 0.4686357835598254
Position 3496: 0.42298642904476985
Position 1867: 0.2486323118841661
Position 86: 0.12452238424313032
Position 1863: 0.08981501213610314
Position 9265: 0.03333142735033629
Position 5074: 0.026257802381554167
Position 7836: 0.022108885610445023
Position 1596: 0.020035039711620125
Position 7738: 0.012962378672723367
Position 7091: 0.011605491937198712
Position 7249: 0.011274450804152097
Position 8087: 0.010886656601120356
Position 117: 0.01010573152700883
Position 4126: 0.007944762825140903
Position 5145: 0.007459970832016898
Position 7873: 0.005105679063918789
Position 7228: 0.004022796879356751
Position 20: 0.002191464741223907
Position 4413: 0.002069619913607737
Position 4744: 0.0018234454787619655
Position 3735: 0.0018090201322095614
Position 4565: 0.0016543193818896191
Position 8518: 0.0011639380651155423
Position 133: 0.0011304217188023286
Position 4799: 0.0005820574127202128
Position 170: 0.00036299606203671884
Position 82: 0.000334058240640792
Position 177: 0.00031004339555713097
Position 160: 0.00022915590462285065
Position 4506: 0.00019290137566010005
Position 165: 0.00016097161374047043
Position 128: 0.00014299081461696908
Position 66: 0.0001371642836302077
Position 92: 0.0001331724008951958
Position 750: 8.677626613986942e-05
Position 199: 6.23054660227406e-05
Position 77: 5.78879606033109e-05
Position 4: 1.3882600081154415e-05
Position 23: 5.229006605598746e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 9061: 0.9936436490864412
Position 4257: 0.9928286018327077
Position 4960: 0.980484508228567
Position 7392: 0.9599423468671774
Position 281: 0.8276423268383097
Position 3340: 0.5943336249760403
Position 1746: 0.26377100624192135
Position 3369: 0.2241450210652235
Position 1714: 0.0729216611075029
Position 3588: 0.05598305153266818
Position 7637: 0.035850631579987746
Position 262: 0.02788590645152694
Position 7422: 0.02015013622619679
Position 9532: 0.018777934852741235
Position 6968: 0.016305969728032374
Position 4907: 0.016158344178035324
Position 1421: 0.01615388911094485
Position 3253: 0.012236462683248253
Position 7129: 0.010596769892675209
Position 7969: 0.008661209916743405
Position 3891: 0.007944762825140903
Position 9349: 0.007492123321709303
Position 4232: 0.006952152520164928
Position 3396: 0.006733072479624371
Position 7764: 0.0034990799952385795
Position 7800: 0.0033031882831261127
Position 1513: 0.0031505983538078364
Position 7454: 0.0030507547021553943
Position 9605: 0.0030442515630425366
Position 266: 0.0027740610204085975
Position 295: 0.002741483823224907
Position 4977: 0.00267528736067539
Position 8302: 0.002562814421242478
Position 4670: 0.0024055028914821766
Position 9547: 0.002200625834893359
Position 9011: 0.0021910185057137837
Position 1845: 0.0017546566708452084
Position 7359: 0.0016338247453613387
Position 229: 0.00146808025133896
Position 4446: 0.0014603601492564097
Position 7835: 0.001054971855158953
Position 9442: 0.0009101598050054025
Position 4891: 0.0006818602327216278
Position 144: 0.0006474315959383871
Position 9590: 0.0005862933747396653
Position 8671: 0.0005322410582842891
Position 8950: 0.000520086005794006
Position 9644: 0.0004075823442485114
Position 4450: 0.0003866423823270334
Position 1242: 0.0002886923985405241
Position 9427: 0.0002300818999579311
Position 189: 0.0001753315207219439
Position 1335: 0.00014825306006047796
Position 1381: 0.00012069752178954557
Position 1438: 0.0001133695858384201
Position 241: 0.00010503415970500429
Position 170: 8.923664762439634e-05
Position 636: 5.961079903375424e-05
Position 1313: 5.95396806384693e-05
Position 341: 4.845967945798873e-05
Position 302: 3.7449003469016646e-05
Position 329: 2.4957193308681015e-05
Position 704: 2.1123272882539377e-05
Position 9114: 1.7957851798037796e-05
Position 485: 6.042194223575795e-06
Position 4202: 1.946185083010945e-06
Position 7730: 2.3434709247286416e-08
Position 344: 2.4355934901658384e-09
Position 154: 2.1877785801009487e-09
Position 182: 5.963705965613669e-10
Position 305: 5.962417049950178e-10
Position 238: 4.93952822356486e-10
Position 195: 2.708404384378672e-10
Position 148: 2.25069427095121e-11
