Gene = LDLRAD1
index = 774
Annotated 5SS: [  39  755 3895 5988 7849]
Annotated 3SS: [ 702 3765 5849 7719 8999]
SMsplice 5SS: [ 158 4957 5988 7849]
SMsplice 3SS: [4798 5849 7719 8472]
top_k =  100
Partition function (log Z): -3.400263973081296

Sorted 5' Splice Sites (High to Low Probability):
Position 5988: 0.958767489469981
Position 7849: 0.9315610527531469
Position 4957: 0.8177512316455959
Position 3895: 0.502680271202006
Position 158: 0.3667993994962439
Position 5785: 0.3496627089710562
Position 124: 0.23266877280405665
Position 8669: 0.1848783960666758
Position 755: 0.1517122542535572
Position 39: 0.14453246535831357
Position 4444: 0.14100494636084776
Position 8690: 0.13770711046070572
Position 56: 0.12955890711419246
Position 4886: 0.11093324757710024
Position 73: 0.06571678194468566
Position 3915: 0.052034061408751504
Position 8581: 0.04924068805145343
Position 7369: 0.045455322542153294
Position 107: 0.04496974759497985
Position 8227: 0.04227244956467847
Position 2227: 0.03869825398041472
Position 4924: 0.03113378406335194
Position 8545: 0.02570842821542978
Position 2399: 0.014832262219259365
Position 2245: 0.013544444744335686
Position 141: 0.012278426897897186
Position 3298: 0.00999485388804271
Position 8585: 0.00775881787121438
Position 8104: 0.0042556782274145106
Position 4018: 0.0026865684114481462
Position 90: 0.0021670101789244196
Position 527: 0.0006442424033964216
Position 347: 0.00036743066342932544
Position 27: 0.00018381660361689535
Position 368: 0.0001129989402617355
Position 1713: 0.00010058042906810599

Sorted 3' Splice Sites (High to Low Probability):
Position 4798: 0.9609808261937411
Position 8472: 0.7883650040732854
Position 7719: 0.7871209852891169
Position 5849: 0.6341428843393984
Position 3765: 0.5350939086673083
Position 8999: 0.3804155241858358
Position 5573: 0.3496627089710564
Position 5880: 0.26566753306333823
Position 702: 0.1436008727462667
Position 7961: 0.13988868159219645
Position 4268: 0.1368002975621544
Position 7668: 0.13509459432541523
Position 2142: 0.06707496094400973
Position 5828: 0.05895707206724406
Position 8856: 0.0491864928375494
Position 9058: 0.029847677314547325
Position 8365: 0.02977324798019165
Position 7271: 0.026941256509029114
Position 3768: 0.019620423943448984
Position 7286: 0.01851406603312418
Position 8054: 0.013551509330427668
Position 7573: 0.011064877686131812
Position 3237: 0.00999485388804272
Position 604: 0.00757732824434802
Position 6979: 0.0065892634782563145
Position 9103: 0.0051483658912785035
Position 4300: 0.004204648798693408
Position 3993: 0.0026865684114481454
Position 7348: 0.0025586429509936097
Position 7531: 0.0025213492316404147
Position 6101: 0.0010938421361593197
Position 651: 0.0002740172977884881
Position 474: 0.00026003596515381325
Position 1607: 0.000100580429068106
