Gene = XPA
index = 1575
Annotated 5SS: [  237  3709  7824 10262 12435]
Annotated 3SS: [ 3597  7717 10095 12316 21769]
SMsplice 5SS: [  237  3709  7824 12435 20929 21587 21869]
SMsplice 3SS: [ 3597  7717 12316 20846 21397 21769 21966]
top_k =  100
Partition function (log Z): 2.4546244008067357

Sorted 5' Splice Sites (High to Low Probability):
Position 12435: 0.9999983895271768
Position 7824: 0.9987375855766232
Position 21869: 0.9704658829382647
Position 4152: 0.6667984523408488
Position 21587: 0.6600081801155284
Position 3709: 0.6409773479060121
Position 237: 0.6269513176186188
Position 3714: 0.35902265209398937
Position 134: 0.2570894097958064
Position 21595: 0.1923083886994004
Position 1568: 0.06826576064303173
Position 1473: 0.06810766220532649
Position 6490: 0.04625355348655227
Position 4983: 0.03889294825182468
Position 8607: 0.03393097032813351
Position 144: 0.031398448873833876
Position 347: 0.030807089631655134
Position 4164: 0.030442365028581622
Position 13879: 0.029667479266062224
Position 12754: 0.0244263548814018
Position 564: 0.02356699889620542
Position 5769: 0.02106963744251025
Position 15158: 0.01849871509375851
Position 2775: 0.016244748328455866
Position 12640: 0.01552867750445235
Position 6448: 0.015360238780573604
Position 6501: 0.013656595844685523
Position 1260: 0.011071834365768703
Position 12002: 0.002946496954320462
Position 9021: 0.0024455193078242775
Position 22191: 0.0023476487917236176
Position 10262: 0.001962332251922001
Position 9812: 0.001796206062587779
Position 22176: 0.0016034413294578154
Position 22064: 0.0012028406088775679
Position 7866: 0.00027152282351918064
Position 24: 7.161897313085815e-05
Position 8440: 3.418782354979864e-05
Position 248: 3.2936150109335895e-05
Position 952: 2.873199447530519e-05
Position 284: 8.566608199640262e-06
Position 21915: 5.33730515819122e-06
Position 45: 4.79641852919282e-06
Position 351: 3.6649068546765916e-06
Position 327: 2.1141944728613913e-06
Position 21864: 1.5841090041798137e-06
Position 311: 7.380852760588851e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 21769: 0.9999983895271781
Position 7717: 0.9990091084001429
Position 3597: 0.9959877073683256
Position 12316: 0.97754580732329
Position 21397: 0.8523165688149289
Position 4021: 0.37976378319639054
Position 3965: 0.3174106905629822
Position 21966: 0.29427748324072367
Position 22154: 0.20587815631010734
Position 22020: 0.14293603182059936
Position 22353: 0.11788355023969754
Position 21946: 0.0781409361758248
Position 6331: 0.06516379733227277
Position 22331: 0.05470070675033547
Position 1383: 0.04517585713479422
Position 22082: 0.041640210427771
Position 8502: 0.03393205073353493
Position 1367: 0.0319999833484922
Position 13754: 0.029667479266062256
Position 21975: 0.026443112544719056
Position 4890: 0.02581636222400415
Position 12252: 0.02245258220388679
Position 12569: 0.018995393343302053
Position 14926: 0.01849871509375852
Position 2570: 0.01624474832845587
Position 5646: 0.014068843019980803
Position 4952: 0.012619411519921516
Position 6334: 0.01010659077953863
Position 429: 0.008913905356233404
Position 1391: 0.008037428616483855
Position 12678: 0.007708044500937697
Position 22086: 0.0074872653955243874
Position 1288: 0.0073997711790064575
Position 5671: 0.00700079442252944
Position 12527: 0.00570190917191505
Position 12546: 0.005262954263955595
Position 358: 0.004812909360514103
Position 1165: 0.004664530526101058
Position 1136: 0.003214151313925545
Position 11856: 0.002946496954320462
Position 22385: 0.002191453046731387
Position 10095: 0.001962332251922001
Position 3435: 0.0017569092596050214
Position 1109: 0.001643041749381664
Position 1031: 0.0015501107763604336
Position 8937: 0.0013717637669586362
Position 3329: 0.0013311360689066912
Position 12596: 0.0013274177543345879
Position 8868: 0.0010737555408656414
Position 22006: 0.0010604523863099052
Position 12580: 0.0009593133514091783
Position 9514: 0.0009523767871298444
Position 3302: 0.0009242473031640019
Position 22053: 0.0008844005661663519
Position 21931: 0.0008668467331222439
Position 9692: 0.000843829275457936
Position 22156: 0.0008005407849415857
Position 4830: 0.0004571745078990137
Position 22338: 0.0004355886599102287
Position 3994: 4.556536804907403e-05
Position 8325: 3.4187823549798686e-05
Position 3969: 1.610799564654859e-05
Position 4089: 4.670246362027349e-06
Position 8181: 5.30067422629879e-07
