Gene = PPCS
index = 1057
Annotated 5SS: [515 792]
Annotated 3SS: [ 687 3043]
SMsplice 5SS: [515]
SMsplice 3SS: [687]
top_k =  100
Partition function (log Z): -9.818980476569486

Sorted 5' Splice Sites (High to Low Probability):
Position 792: 0.7365627176855164
Position 515: 0.6603860677414148
Position 166: 0.22438765444339462
Position 1009: 0.14521082206644964
Position 255: 0.08070977189314407
Position 1769: 0.07152535790736445
Position 70: 0.04288356777798785
Position 50: 0.017978931026379718
Position 25: 0.017939853578669823
Position 145: 0.009363390859926796
Position 203: 0.0029402147170737854
Position 621: 0.0019628721609369244
Position 244: 0.0010987836249366308
Position 445: 0.0005329489327714134
Position 530: 0.000251178285228641
Position 386: 0.0002508043395293215
Position 450: 0.00016610469524953156
Position 115: 0.0001271881708775771
Position 120: 0.00010208509168820914
Position 129: 7.83367756593716e-05
Position 312: 4.735727496071351e-05
Position 124: 3.4727762807072304e-05
Position 118: 6.414353099851551e-09
Position 33: 4.002372856433624e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 687: 0.98373167939535
Position 3043: 0.275024619272962
Position 892: 0.177997235321127
Position 1594: 0.14382543801361966
Position 3089: 0.08171656017633426
Position 303: 0.05526563689829477
Position 3664: 0.054668102029405315
Position 3023: 0.052209063352485235
Position 864: 0.03812752805574174
Position 2973: 0.030157302194279118
Position 3124: 0.021982019475511518
Position 1983: 0.01786444502915416
Position 3789: 0.012870442292645994
Position 2789: 0.009549205310528804
Position 2815: 0.008285193680732515
Position 337: 0.008259165588850058
Position 2648: 0.006951341765059589
Position 1891: 0.006582169831476983
Position 2171: 0.005226153825648052
Position 1922: 0.003654518911755468
Position 898: 0.003322624845325566
Position 486: 0.0030928031215914477
Position 2541: 0.002847852992906182
Position 1145: 0.002807916140283385
Position 1790: 0.0027184095572913305
Position 951: 0.0016965615999188699
Position 1003: 0.0014180611289210227
Position 1623: 0.0013019852250795636
Position 607: 0.00037667060644988815
Position 396: 0.00025235431206206184
Position 726: 0.00015490353850392837
Position 430: 0.00012558031915165153
Position 791: 0.00012490255731018165
Position 567: 0.00012311845185527
Position 813: 8.975755441208959e-05
Position 1570: 4.7134860792805226e-05
Position 445: 2.9644177283264352e-05
Position 986: 2.809740706231775e-05
Position 133: 2.1146800624936554e-05
Position 1573: 1.3388509914510353e-05
Position 363: 4.730947435216216e-09
Position 448: 4.42890266490878e-09
Position 356: 3.941140802660994e-09
