Gene = C4BPB
index = 211
Annotated 5SS: [ 105  748 1640 2979 7774 9423]
Annotated 3SS: [  639  1465  2801  7679  9307 10946]
SMsplice 5SS: [ 105  748 1640 9423]
SMsplice 3SS: [  639  1465  9307 10958]
top_k =  100
Partition function (log Z): -7.189537388043725

Sorted 5' Splice Sites (High to Low Probability):
Position 748: 0.8997996622923159
Position 105: 0.781747825891112
Position 1640: 0.7689788386536207
Position 2979: 0.44161320842647533
Position 2864: 0.28103760677687434
Position 1573: 0.18782245404252076
Position 110: 0.14838914436242726
Position 520: 0.1017078346224835
Position 554: 0.07984418091702529
Position 2428: 0.030793604480207362
Position 2083: 0.02514984936514232
Position 317: 0.015466928523990741
Position 752: 0.014485517237320505
Position 190: 0.010258103136784585
Position 703: 0.0021225978118978653
Position 382: 0.0019169635013518275
Position 53: 0.0016314020448773114
Position 49: 0.0008267816537507496
Position 342: 0.0006228499558754476
Position 1199: 0.0003462766176478411
Position 168: 0.00019303300273299033
Position 141: 1.613415381799002e-07
Position 13: 5.7456367664967566e-08
Position 114: 2.0172192677484095e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 639: 0.8421818995068894
Position 1465: 0.6225692089270954
Position 2801: 0.44082141003962233
Position 10958: 0.39098639938811874
Position 1468: 0.35303710133375776
Position 7261: 0.24195196310508046
Position 2777: 0.23946407377929022
Position 3082: 0.2089443160941338
Position 256: 0.10828700093396686
Position 1757: 0.05216978360213192
Position 548: 0.05041513719489046
Position 2763: 0.0426685793288568
Position 2726: 0.04233925773151193
Position 2307: 0.02862006369488137
Position 474: 0.026659147998641476
Position 6513: 0.02183563972149192
Position 3806: 0.020652764670531204
Position 404: 0.015487236546322922
Position 1712: 0.01519186145397298
Position 6448: 0.009760419948062152
Position 579: 0.007078119592851041
Position 689: 0.002369710353592932
Position 2276: 0.0021735407853260024
Position 355: 0.0014287692224580525
Position 1887: 0.0014276214650596553
Position 308: 0.001288261021982315
Position 377: 0.0012506409352877439
Position 609: 0.0011818438845733704
Position 663: 0.0009198690299207606
Position 411: 0.0004320094379358173
Position 501: 0.0003520243635757699
Position 1043: 0.0003462766176478411
Position 524: 0.00020218534877472285
Position 490: 0.00011183760016491103
Position 1423: 6.33331340541794e-05
Position 175: 4.444042623486537e-05
Position 1781: 2.471374209526388e-05
Position 1760: 1.53382095641853e-05
Position 222: 8.399015743886153e-07
Position 744: 1.263912630544986e-07
Position 266: 7.812346924072675e-08
Position 238: 3.017380779687584e-08
Position 228: 2.7526071830136785e-08
