Gene = PDPN
index = 1008
Annotated 5SS: [  636 23842 27052 30261 30947]
Annotated 3SS: [23707 26921 30221 30834 32439]
SMsplice 5SS: [  636 23842 27052 30947]
SMsplice 3SS: [23707 26921 30834 33261]
top_k =  100
Partition function (log Z): -24.216924547871468

Sorted 5' Splice Sites (High to Low Probability):
Position 636: 0.9907298015618511
Position 2250: 0.546243528952256
Position 398: 0.29928604084180743
Position 376: 0.12323691879333591
Position 1730: 0.11959639779410794
Position 1250: 0.07517140600287708
Position 383: 0.0631485556516072
Position 2274: 0.06060514920480265
Position 211: 0.04295544481983873
Position 77: 0.04008562080673724
Position 361: 0.015755548741768682
Position 877: 0.008046623401782521
Position 1295: 0.0022763367100948955
Position 39: 0.001713625608440633
Position 112: 0.0004919548532510436
Position 715: 0.0002537374249120982
Position 754: 0.0001067668818571329
Position 724: 9.644153988339501e-05
Position 463: 5.666980731483546e-05
Position 144: 3.0062554213098907e-05
Position 123: 2.3853403249883477e-05
Position 126: 2.017031079442997e-05
Position 578: 7.6470276332206e-06
Position 496: 1.4755555912992655e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 544: 0.44992240027381897
Position 2127: 0.4353634443775724
Position 5238: 0.4228875996220956
Position 1541: 0.14575006629274484
Position 517: 0.1356306086512861
Position 2174: 0.12510684543452963
Position 2490: 0.09888338976437153
Position 1201: 0.08958898879847373
Position 8062: 0.07087197791554066
Position 2042: 0.057215938186613156
Position 7497: 0.05602848907680627
Position 3821: 0.053150286420082196
Position 2154: 0.05267734030650859
Position 4928: 0.03827528709751908
Position 2603: 0.037818877003297016
Position 991: 0.027140683838495716
Position 1557: 0.022629795479819272
Position 5708: 0.02164849162272628
Position 1885: 0.014997804523321508
Position 768: 0.010567566607471336
Position 1157: 0.0074516303213043545
Position 1127: 0.0060426712463497855
Position 2458: 0.004608877628345625
Position 1908: 0.003951312872270561
Position 522: 0.0010934043823241251
Position 1986: 0.00045171142342989617
Position 477: 0.0001364881832741843
Position 547: 1.589585437139359e-05
Position 732: 1.0674650908787285e-05
Position 815: 1.0434284007412936e-05
Position 629: 2.88712671091683e-06
Position 396: 2.0902197311018888e-06
Position 606: 1.4498630320382906e-06
Position 824: 1.0518452897034627e-06
Position 797: 9.161451201931873e-07
Position 723: 8.440913937551157e-07
Position 791: 8.396256494266098e-07
Position 577: 2.648877268066567e-07
Position 152: 1.3689714025635268e-07
Position 549: 1.218674311200763e-07
Position 584: 9.65266301049758e-08
Position 632: 6.90345099674882e-08
Position 182: 2.7979963616850805e-08
