Gene = NDC1
index = 921
Annotated 5SS: [  656  3361  6371 10862 13063 19890 29166 31205 32436 34933 38168 41962
 42172 45632 49728 51703 66532]
Annotated 3SS: [ 3239  6268 10686 12923 19780 29113 31068 32342 34850 38011 41715 42055
 45580 49663 51601 66370 70826]
SMsplice 5SS: [  656  3361  6371 10862 13063 31205 32436 34933 38168 42172 45632 49799
 51703 66299 66532]
SMsplice 3SS: [ 3239  6268 10686 12923 31068 32342 34850 38011 42055 45580 49663 51601
 66208 66370 70826]
top_k =  100
Partition function (log Z): -35.70620786948576

Sorted 5' Splice Sites (High to Low Probability):
Position 6371: 0.9991910296485262
Position 3361: 0.9559078264833493
Position 13063: 0.9391970177533983
Position 10862: 0.8155747502959019
Position 656: 0.44895830164986117
Position 4426: 0.32677559615893936
Position 947: 0.21978016956035348
Position 49: 0.1388926977535965
Position 13812: 0.1054776141827821
Position 11919: 0.08623601710455986
Position 954: 0.07468255388428567
Position 19890: 0.0682339441042159
Position 11233: 0.0604484655082311
Position 1264: 0.04420669920689508
Position 4013: 0.03786446320187005
Position 942: 0.029728670266380732
Position 634: 0.029514345459712703
Position 5975: 0.0272596668853024
Position 61: 0.02427170630417638
Position 13106: 0.024055009489469495
Position 15765: 0.011921411463383132
Position 844: 0.011751648376998816
Position 1058: 0.005312039277706011
Position 1506: 0.004363263048290463
Position 611: 0.004205235584928232
Position 919: 0.004034332699401721
Position 958: 0.0038329365714595822
Position 1085: 0.0028424815096913998
Position 3092: 0.0026935416885903824
Position 457: 0.00021616324902805342
Position 3365: 0.00013273066742782211
Position 367: 0.00010935758567712219
Position 398: 7.020373829327704e-05
Position 422: 6.232372922104322e-05
Position 569: 4.263524640337753e-05
Position 353: 2.657189864330393e-05
Position 213: 2.6379634466496505e-05
Position 400: 2.0407515086112685e-05
Position 511: 4.793399878916868e-06
Position 36: 1.9499404245571595e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 12923: 0.9757377415372628
Position 3239: 0.95538568557497
Position 6268: 0.9154232092021908
Position 10686: 0.41484751161629563
Position 10711: 0.4007272386796063
Position 19780: 0.358426009210987
Position 4315: 0.2585029474883436
Position 13694: 0.22639936545008948
Position 13319: 0.1641506211044188
Position 11741: 0.09017999708606048
Position 6207: 0.08376782044633303
Position 4350: 0.06827264867059576
Position 19985: 0.06823394410421542
Position 18240: 0.06631168162765116
Position 11024: 0.06503691157017218
Position 13159: 0.06494561792215145
Position 15855: 0.0417694342491517
Position 14653: 0.03986483899175683
Position 18198: 0.02936914398998334
Position 5875: 0.02725966688530249
Position 17798: 0.02526026226340014
Position 1129: 0.018308989640514535
Position 13690: 0.016206890257976808
Position 14633: 0.01597552399890132
Position 3861: 0.014807771961230303
Position 15611: 0.011921411463383047
Position 15976: 0.009966746712180402
Position 14060: 0.008275494803388628
Position 13179: 0.007608582417112972
Position 579: 0.007261075740613319
Position 7064: 0.006790360921147303
Position 807: 0.006405465151084689
Position 3679: 0.005546426195033869
Position 3785: 0.005148890674424901
Position 3805: 0.0049412854165726515
Position 3645: 0.004751508275105671
Position 265: 0.004043055729831617
Position 1317: 0.0030570769054547634
Position 3916: 0.00276118920799503
Position 2770: 0.0026935416885903764
Position 1084: 0.0026622201180785286
Position 633: 0.0022307541583805545
Position 10958: 0.0021267045058676296
Position 1366: 0.0013061861428356996
Position 759: 0.0010849186823296629
Position 6557: 0.0006947414827115238
Position 3306: 0.0006156839071104573
Position 1144: 0.0006036867088224187
Position 7195: 0.0001933910133485077
Position 3325: 6.068478548839158e-05
Position 3322: 4.395390338271908e-06
